sampleID	BasalTumor	ClassicalTumor	ActivatedStroma	NormalStroma	Immune	Endocrine	Exocrine	Olfactory	Histone
PCSI_0612_Ag_M_526	1.273191	2.644865	0.185153	0.000000	0.000000	0.000000	0.000000	0.000000	2.084362
PCSI_0630_Lv_M_526	1.415529	2.148642	0.421131	0.000000	0.000000	0.000000	0.000000	0.099739	2.210625
PCSI_0632_Lv_M	1.019663	1.721585	0.013512	0.010530	0.052784	0.000000	0.442363	0.201517	2.525302
PCSI_0634_Lv_M_526	1.242586	2.479586	0.234190	0.000000	0.000000	0.000000	0.000000	0.066152	2.305603
PCSI_0637_Lv_M_526	1.848373	1.987012	0.070931	0.000000	0.000000	0.000000	0.003804	0.000000	2.273367
PCSI_0640_Om_M_526	0.697661	2.986383	0.464815	0.000000	0.000000	0.000000	0.047574	0.000000	2.216012
PCSI_0641_Lv_M_526	2.286761	1.570646	0.149510	0.000000	0.000000	0.000000	0.000000	0.000000	2.365494
PCSI_0644_Lv_M	1.364653	2.255005	0.551162	0.000000	0.000000	0.000000	0.061101	0.000000	2.278869
PCSI_0646_Lv_M	2.287606	0.840321	0.411663	0.000000	0.000000	0.000000	0.000000	0.230345	2.385097
PCSI_0647_Lv_M_526	1.847839	1.858462	0.296122	0.000000	0.000000	0.000000	0.045825	0.083470	2.117979
PCSI_0648_Lv_M_526	2.048317	0.476106	0.000000	0.553553	0.000000	0.000000	0.093216	0.000000	2.755590
PCSI_0650_Lv_M_526	1.407216	2.469259	0.000000	0.000000	0.000000	0.000000	0.058972	0.000000	2.155027
PCSI_0651_Lv_M_526	2.506906	0.546396	0.207092	0.000000	0.000000	0.000000	0.044062	0.000000	2.425653
PCSI_0654_Lv_M_526	2.246688	0.836107	0.047610	0.000000	0.114217	0.000000	0.000000	0.151671	2.651364
PCSI_0661_Pa_P_526	1.562285	2.195356	0.246320	0.000000	0.000000	0.000000	0.000000	0.003928	2.179657
PCSI_0662_Lv_M_526	2.282715	0.541278	0.582721	0.000000	0.257016	0.000000	0.006829	0.000000	2.411275
PCSI_0663_Lv_M	1.670445	2.057383	0.055425	0.000000	0.000000	0.000000	0.000000	0.259315	2.254409
PCSI_0664_Lv_M	2.727574	0.819963	0.000000	0.000000	0.000000	0.000000	0.028434	0.000000	2.528143
PCSI_0665_Lv_M_526	2.573359	1.073000	0.164037	0.000000	0.124729	0.000000	0.000000	0.000000	1.998703
PCSI_0667_Lv_M_526	1.639107	2.155401	0.000000	0.000000	0.000000	0.000000	0.007583	0.000000	2.292982
PCSI_0669_Lv_M_526	1.217114	2.619651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.065439
PCSI_0670_Lv_M_526	2.055730	1.258707	0.000000	0.000000	0.000000	0.000000	0.002948	0.000000	2.649952
PCSI_0672_Lv_M_526	1.081176	2.317520	0.000000	0.002346	0.132126	0.000000	0.179398	0.000000	2.538145
PCSI_0673_Lv_M_526	1.412720	2.185026	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.501317
PCSI_0674_Pa_P_526	0.820618	3.170715	0.000000	0.000000	0.000000	0.000000	0.100487	0.000000	2.211776
PCSI_0675_Lv_M_526	1.158182	1.746993	0.208654	0.009939	0.126161	0.000000	0.028097	0.572279	2.185065
PCSI_0676_Lv_M_526	1.255182	2.550976	0.000000	0.000000	0.000000	0.000000	0.009240	0.000000	2.558438
PCSI_0678_Lv_M_526	2.405605	1.048045	0.096322	0.000000	0.078714	0.000000	0.000773	0.133386	2.478594
PCSI_0679_Pa_P_526	1.368866	2.215632	0.223839	0.000000	0.000000	0.000000	0.000000	0.000000	2.250443
PCSI_0680_Pa_P_526	1.108993	2.722413	0.200143	0.000000	0.000000	0.000000	0.004721	0.000000	2.160971
PCSI_0681_Lv_M_526	1.677169	2.208462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.339966
PCSI_0685_Lv_M_526	1.288967	2.459832	0.000000	0.000000	0.000000	0.000000	0.006063	0.000000	2.516261
PCSI_0686_Lv_M	2.580790	0.742153	0.000000	0.000000	0.000000	0.000000	0.055926	0.000000	2.779034
PCSI_0687_Pa_P_526	1.020828	2.494199	0.000000	0.000000	0.000000	0.000000	0.029023	0.569536	2.490498
PCSI_0690_Pa_P_526	1.847152	2.182726	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.335429
PCSI_0691_Pa_P_526	1.759794	1.777056	0.014014	0.000000	0.000000	0.000000	0.000000	0.160893	2.546312
PCSI_0692_Pa_P_526	1.807835	2.171451	0.178098	0.000000	0.000000	0.000000	0.042638	0.000000	2.287499
PCSI_0693_Lv_M_526	2.595234	1.011693	0.099023	0.000000	0.116470	0.000000	0.044847	0.103980	2.439692
PCSI_0695_Lv_M_526	2.010093	1.804606	0.048437	0.000000	0.000000	0.000000	0.012271	0.000000	2.534412
PCSI_0697_Lv_M_526	1.376809	2.416159	0.000000	0.000000	0.000000	0.000000	0.048956	0.000000	2.374210
PCSI_0698_Lv_M_526	2.398980	1.785514	0.247627	0.000000	0.055375	0.000000	0.020993	0.000000	1.652825
PCSI_0699_Lv_M_526	1.587409	2.512668	0.000000	0.000000	0.000000	0.000000	0.030037	0.000000	2.154676
PCSI_0700_Pa_P_526	1.557254	1.933218	0.254767	0.000000	0.000000	0.000000	0.000000	0.099042	2.330536
PCSI_0701_Pa_P_526	1.822696	2.202473	0.000000	0.000000	0.000000	0.000000	0.004888	0.000000	2.296180
PCSI_0702_Ln_M_526	1.201141	1.303030	0.000000	0.000000	0.000000	0.000000	0.476163	0.143215	2.627546
