sampleID	BasalTumor	ClassicalTumor	ActivatedStroma	NormalStroma	Immune	Endocrine	Exocrine	Olfactory	Histone
SA407858	0.732766	1.992337	0.770519	0.000000	0.000000	0.000000	0.143561	0.025359	1.476416
SA408414	1.001364	1.330906	1.267752	0.000000	0.000000	0.000000	0.080965	0.000000	1.406880
SA408530	1.708662	0.535078	0.734526	0.000000	0.046646	0.000000	0.222935	0.359523	1.737617
SA408570	1.400505	1.183366	0.434572	0.000000	0.000000	0.000000	0.274639	0.000000	1.434395
SA408758	0.779931	1.436457	0.629192	0.122364	0.000000	0.057617	0.165601	0.248476	1.749270
SA408867	1.345722	0.847990	0.998530	0.000000	0.000000	0.000000	0.095355	0.011759	1.502101
SA409775	1.177042	1.166128	0.664672	0.000000	0.000000	0.000000	0.011611	0.217917	1.777066
SA409923	1.060512	2.073729	0.572929	0.000000	0.000000	0.000000	0.012953	0.000000	1.259916
SA409990	2.123032	0.027022	0.000000	0.248101	0.000000	0.000000	0.077807	0.000000	1.122373
SA410103	1.106922	1.483641	0.857594	0.000000	0.046913	0.000000	0.155386	0.000000	1.734038
SA410118	1.006020	1.539141	1.055062	0.047725	0.000000	0.000000	0.104315	0.178882	1.346972
SA410263	1.150273	0.283731	1.221397	0.100500	0.242371	0.000000	0.123275	0.000000	1.693619
SA410311	0.633254	1.768766	1.061553	0.000000	0.000000	0.000000	0.059220	0.000000	1.617675
SA410566	0.673906	2.167011	0.621747	0.000000	0.000000	0.014796	0.120274	0.000000	1.402395
SA410742	0.878663	1.757369	0.565016	0.000000	0.000000	0.000000	0.069533	0.206472	1.834409
SA410750	0.716964	1.663028	1.024084	0.000000	0.000000	0.000000	0.070665	0.000000	1.632330
SA410758	0.681224	2.336473	0.314806	0.000000	0.000000	0.000000	0.095526	0.000000	1.648291
SA410763	0.729982	1.764593	0.741578	0.000000	0.141328	0.000000	0.142591	0.000000	1.585805
SA410859	1.457612	0.887919	1.044195	0.119792	0.000000	0.000000	0.024153	0.000000	1.403537
SA410883	1.031000	1.562123	0.605694	0.000000	0.000000	0.000000	0.344577	0.150292	1.648442
SA410899	1.258630	2.026013	0.615290	0.000000	0.000000	0.016285	0.067662	0.000000	1.337272
SA410911	1.754901	0.194059	0.727292	0.000000	0.072562	0.000000	0.281371	0.000000	1.592300
SA410933	0.784587	2.673501	0.000000	0.000000	0.000000	0.000000	0.057036	0.000000	1.581679
SA410977	2.346920	0.882544	0.000000	0.000000	0.000000	0.000000	0.024027	0.000000	1.601405
SA411001	1.320612	1.752902	0.256009	0.000000	0.000000	0.000000	0.057527	0.000000	1.388250
SA411025	2.598584	0.622152	0.000000	0.000000	0.000000	0.000000	0.029918	0.000000	1.642088
SA411029	0.789805	1.851432	1.070402	0.000000	0.035143	0.012633	0.123544	0.000000	1.177609
SA411189	1.449492	1.094750	0.989519	0.000000	0.000000	0.019254	0.081118	0.000000	1.282627
SA411209	0.887949	1.231095	0.987887	0.206978	0.000000	0.000000	0.287524	0.000000	1.094668
SA411241	0.943538	1.802326	0.576647	0.290796	0.000000	0.000000	0.052989	0.000000	1.663022
SA411305	1.475014	1.329228	0.754952	0.000000	0.000000	0.000000	0.075091	0.000000	1.341261
SA411397	1.242810	1.589129	0.788262	0.000000	0.000000	0.016897	0.113542	0.070970	1.565219
SA411406	0.783990	2.010811	0.759779	0.000000	0.000000	0.000000	0.080980	0.000000	1.245411
SA411430	0.968385	1.867661	0.702275	0.000000	0.000000	0.000000	0.090880	0.000000	1.158846
SA411557	0.986967	1.850323	0.492151	0.000000	0.017009	0.000000	0.103341	0.000000	1.622387
SA411578	1.446519	1.075418	0.673970	0.330840	0.000000	0.000000	0.038616	0.000000	1.301941
SA411682	2.197203	0.483048	0.056456	0.000000	0.000000	0.000000	0.055775	0.000000	1.396607
SA411709	2.176822	0.795069	0.000000	0.000000	0.000000	0.000000	0.014969	0.000000	0.928040
SA411721	0.754767	2.322710	0.554399	0.000000	0.000000	0.000000	0.081206	0.000000	1.618402
SA411745	0.734060	1.942050	0.851481	0.000000	0.000000	0.000000	0.055843	0.000000	1.596625
SA411769	0.587952	2.442429	0.643392	0.000000	0.000000	0.000000	0.155781	0.000000	1.363951
