pValue	topAUC	KSstat	GSname
0.0000000000	0.8260	0.8738	GNF2_CDH3
0.0000000000	0.8252	0.8766	GNF2_SERPINB5
0.0000000000	0.7285	0.7815	SINGH_KRAS_DEPENDENCY_SIGNATURE_
0.0000000000	0.6712	0.7964	AIGNER_ZEB1_TARGETS
0.0001975700	0.5547	0.5848	JI_CARCINOGENESIS_BY_KRAS_AND_STK11_UP
0.0000000000	0.5146	0.5649	CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP
0.0002716768	0.5062	0.6537	PYEON_HPV_POSITIVE_TUMORS_DN
0.0031015659	0.4900	0.5150	PID_INTEGRIN4_PATHWAY
0.0000004212	0.4820	0.6159	KOBAYASHI_EGFR_SIGNALING_6HR_DN
0.0000001355	0.4712	0.4810	MODULE_153
0.0000027824	0.4704	0.4901	MODULE_68
0.0000027824	0.4704	0.4901	MODULE_298
0.0000000000	0.4678	0.4961	LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT
0.0000005093	0.4670	0.5596	HINATA_NFKB_TARGETS_KERATINOCYTE_DN
0.0000000000	0.4594	0.4755	MODULE_357
0.0024213020	0.4504	0.4853	INAMURA_LUNG_CANCER_SCC_UP
0.0000000000	0.4487	0.5100	COLDREN_GEFITINIB_RESISTANCE_DN
0.0000000000	0.4478	0.4630	MODULE_297
0.0000000000	0.4466	0.4737	ONDER_CDH1_TARGETS_3_DN
0.0000018542	0.4313	0.6200	KANG_FLUOROURACIL_RESISTANCE_DN
0.0000000000	0.4209	0.4305	MODULE_154
0.0000901592	0.4172	0.6310	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS
0.0000000000	0.4080	0.4353	BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE
0.0063111584	0.4042	0.4504	CORNIFIED_ENVELOPE
0.0000001446	0.3830	0.3869	HUPER_BREAST_BASAL_VS_LUMINAL_UP
0.0000000000	0.3759	0.4142	ONDER_CDH1_TARGETS_2_DN
0.0000014180	0.3682	0.4143	GU_PDEF_TARGETS_DN
0.0000000000	0.3659	0.3802	JAEGER_METASTASIS_DN
0.0000105903	0.3633	0.5041	ROY_WOUND_BLOOD_VESSEL_DN
0.0072136749	0.3598	0.4037	LEE_LIVER_CANCER_HEPATOBLAST
0.0000000031	0.3555	0.4078	HUPER_BREAST_BASAL_VS_LUMINAL_DN
0.0000000000	0.3479	0.3701	WU_CELL_MIGRATION
0.0059963200	0.3436	0.5660	MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_29
0.0019808404	0.3435	0.4604	SCHAVOLT_TARGETS_OF_TP53_AND_TP63
0.0000319245	0.3433	0.4924	FERRARI_RESPONSE_TO_FENRETINIDE_UP
0.0000000002	0.3397	0.6023	MOSERLE_IFNA_RESPONSE
0.0013142340	0.3396	0.3790	MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_DN
0.0001030798	0.3369	0.3475	MUELLER_METHYLATED_IN_GLIOBLASTOMA
0.0000000502	0.3311	0.6898	BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX
0.0000158451	0.3236	0.4507	JI_METASTASIS_REPRESSED_BY_STK11
0.0011231652	0.3200	0.3557	REACTOME_TIGHT_JUNCTION_INTERACTIONS
0.0003320687	0.3199	0.4207	GNF2_SPRR1B
0.0000004409	0.3194	0.5508	ZHANG_INTERFERON_RESPONSE
0.0006228501	0.3155	0.4678	AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
0.0000380313	0.3047	0.4503	WANG_BARRETTS_ESOPHAGUS_DN
0.0042410539	0.3023	0.4351	KERATINOCYTE_DIFFERENTIATION
0.0000025129	0.2982	0.3876	LANDIS_BREAST_CANCER_PROGRESSION_UP
0.0003163761	0.2972	0.5936	WHITESIDE_CISPLATIN_RESISTANCE_UP
0.0000000141	0.2926	0.3583	SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP
0.0000002033	0.2924	0.6441	BOWIE_RESPONSE_TO_TAMOXIFEN
