ID	Score	Type	TopGSEA
D13.3	0.952	Primary	CAR-HPX	Liver
D15.6	0.94	Primary	CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	Immune
D16.14	0.932	Primary	GNF2-TTN	Muscle
D12.9	0.924	Primary	GNF2-SERPINI2	Exocrine
D25.2	0.904	Primary	SCHLOSSER-MYC-AND-SERUM-RESPONSE-SYNERGY	F2
D17.2	0.892	Primary	REACTOME-OLFACTORY-SIGNALING-PATHWAY	F14_Olfactory
D11.5	0.888	Primary	JIANG-CORE-DUPLICON-GENES	F10
D16.2	0.888	Primary	FINETTI-BREAST-CANCER-KINOME-RED	CellCycle
D13.11	0.872	Primary	NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	Lung
D15.7	0.868	Primary	FARMER-BREAST-CANCER-CLUSTER-5	ActivatedStroma
D18.12	0.848	Primary	NIELSEN-LEIOMYOSARCOMA-CNN1-UP	NormalStroma
D20.17	0.832	Primary	XENOBIOTIC-METABOLIC-PROCESS	ClassicalTumor
D22.17	0.8	Primary	GNF2-TM4SF2	Endocrine
D20.11	0.796	Primary	GNF2-CDH3	BasalTumor
D16.10	0.9	Secondary	JIANG-CORE-DUPLICON-GENES	NA
D22.4	0.872	Unstable	REACTOME-OLFACTORY-SIGNALING-PATHWAY	NA
