geneID	D13.3_CAR-HPX	D15.6_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D16.14_GNF2-TTN	D12.9_GNF2-SERPINI2	D25.2_SCHLOSSER-MYC-AND-SERUM-RESPONSE-SYNERGY	D17.2_REACTOME-OLFACTORY-SIGNALING-PATHWAY	D11.5_JIANG-CORE-DUPLICON-GENES	D16.2_FINETTI-BREAST-CANCER-KINOME-RED	D13.11_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D15.7_FARMER-BREAST-CANCER-CLUSTER-5	D18.12_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D20.17_XENOBIOTIC-METABOLIC-PROCESS	D22.17_GNF2-TM4SF2	D20.11_GNF2-CDH3	D16.10_JIANG-CORE-DUPLICON-GENES	D22.4_REACTOME-OLFACTORY-SIGNALING-PATHWAY
A1BG	2.130769e+00	1.061628e+00	3.839986e-01	4.427652e-01	9.973255e-01	1.141182e+00	1.152894e+00	4.960724e-01	6.948586e-01	1.036224e+00	5.524165e-01	0	1.467756e+00	0	8.718788e-01	1.499649e+00
A1CF	2.651652e+00	2.399972e-01	3.991448e-01	1.396726e+00	6.811048e-01	9.258811e-01	3.920067e-01	3.589210e-01	1.865189e-01	0	2.040867e-01	2.835788e+00	2.989057e+00	1.450708e-01	6.324278e-01	1.103919e+00
A2BP1	2.839889e-01	0	3.510454e+00	5.030962e-01	0	8.239846e-01	8.455029e-01	2.025854e-01	0	0	6.443548e-01	4.935951e-01	7.185879e-01	2.703547e-01	6.027768e-01	1.702669e+00
A2LD1	1.258076e+00	8.460556e-01	7.447259e-01	1.884657e+00	0	5.952121e-01	2.188551e-01	2.088302e+00	7.376275e-01	8.946512e-01	1.172231e+00	1.561425e+00	6.222064e-01	1.162489e+00	6.209337e-01	5.941194e-01
A2M	1.875626e+00	2.255620e+00	1.978838e+00	1.455102e+00	1.280778e+00	1.281662e+00	1.637108e+00	0	2.093439e+00	2.745406e+00	2.185733e+00	2.280289e+00	1.309676e+00	7.364882e-01	1.771041e+00	1.217614e+00
A2ML1	1.092089e+00	7.435466e-01	8.535389e-01	1.383861e+00	2.982682e+00	9.566006e-01	1.846536e+00	8.746362e-01	6.142210e-01	6.596490e-01	5.833342e-01	0	8.245917e-01	7.224709e-01	1.340676e+00	8.757713e-01
A3GALT2	1.840519e-01	1.332314e-01	2.240561e-01	0	0	1.521941e+00	7.498117e-02	2.305890e-01	1.976719e-01	4.911553e-01	1.182360e-01	1.666047e-01	2.132899e-01	3.937831e-01	1.494417e-01	1.761639e-01
A4GALT	7.247387e-01	1.247706e+00	1.378437e+00	0	1.084631e+00	5.841743e-01	2.039125e+00	1.907026e-01	9.553068e-01	1.409387e+00	1.189405e+00	0	7.602794e-01	2.178768e+00	3.003736e-01	5.514163e-01
A4GNT	8.017787e-01	1.454908e-01	4.572788e-01	1.358376e+00	0	1.069265e+00	0	1.973440e-01	6.014373e-01	4.449855e-02	0	2.750264e+00	1.359419e+00	0	2.321015e-01	0
AAAS	7.811329e-01	7.321859e-01	7.626628e-01	1.009011e+00	1.927703e+00	1.299407e+00	1.054689e+00	1.244326e+00	7.026048e-01	4.330423e-01	4.570952e-01	3.653170e-01	1.137264e+00	5.680004e-01	9.988195e-01	9.729506e-01
AACS	8.254949e-01	6.246443e-01	9.670904e-01	1.052375e+00	9.257381e-01	1.191719e+00	8.746674e-01	1.637015e+00	8.644586e-01	4.743543e-01	6.270706e-01	1.074219e+00	1.830318e+00	8.840342e-01	1.011224e+00	9.050233e-01
AADAC	2.813078e+00	0	1.081899e-01	2.416502e+00	0	2.572347e-01	0	9.833351e-01	1.129119e+00	5.026928e-01	9.808770e-01	5.289610e+00	0	1.404926e+00	2.198748e-01	3.270773e-01
AADACL1	8.095686e-01	8.335382e-01	8.105786e-01	8.519534e-01	4.885392e-01	1.130566e+00	1.046705e+00	2.595287e+00	9.918126e-01	5.827266e-01	8.836973e-03	3.713581e-01	1.002007e+00	6.747942e-01	7.353455e-01	5.138118e-01
AADACL2	2.949654e-01	2.456552e-01	1.484218e-01	0	0	5.346190e-01	0	7.228770e-01	6.163569e-01	0	1.089052e+00	0	0	3.568943e-01	0	1.335380e+00
AADAT	1.598133e+00	0	3.827347e-01	7.529252e-01	0	5.205842e-01	2.811409e-01	2.032128e+00	9.334607e-01	5.554607e-01	1.261923e+00	2.188257e-01	1.069198e+00	0	1.791498e+00	4.362734e-01
AAK1	4.639860e-01	3.755656e-01	3.938625e-01	2.761902e-01	1.397833e+00	1.079972e+00	4.214044e-01	4.991059e-01	2.520882e-01	1.304622e-01	1.280129e-01	1.695416e-01	2.954626e-01	3.972586e-01	0	0
AAMP	9.928982e-01	1.110432e+00	1.260811e+00	1.050062e+00	1.588613e+00	9.792112e-01	8.246045e-01	1.790046e+00	1.015397e+00	7.608304e-01	1.024579e+00	1.182566e+00	1.380361e+00	1.371937e+00	6.346603e-01	1.037018e+00
AANAT	5.875894e-01	5.442367e-01	6.280367e-01	9.189035e-01	1.495537e+00	2.466748e+00	7.478152e-01	6.927961e-01	4.334738e-01	5.259206e-01	2.820841e-01	2.032551e-01	6.305505e-01	4.119483e-01	3.578163e-01	9.945851e-01
AARS	9.959256e-01	8.800629e-01	1.205130e+00	1.000170e+00	1.732094e+00	6.193282e-01	7.003064e-01	1.781918e+00	8.529313e-01	4.795602e-01	6.611774e-01	4.540639e-01	1.163657e+00	8.981010e-01	7.081456e-01	8.176763e-01
AARS2	9.906309e-01	6.649313e-01	7.599918e-01	8.045575e-01	2.677886e-01	1.357250e+00	1.263140e+00	1.765213e+00	6.935401e-01	5.633005e-01	6.370166e-01	2.266874e-01	8.032470e-01	1.304452e-01	1.819886e+00	1.617157e+00
AARSD1	7.343341e-01	4.747290e-01	2.174043e+00	6.916053e-01	1.025976e+00	7.273184e-01	8.571205e-01	1.427079e+00	5.311639e-01	2.798860e-01	1.083526e+00	5.211789e-01	7.247391e-01	5.583038e-01	4.390478e-01	9.208227e-01
AASDH	9.109097e-01	7.829378e-01	6.747426e-01	6.264870e-01	6.355670e-01	0	7.364074e-01	1.439963e+00	6.625014e-01	1.827875e-01	3.527964e-01	5.312874e-02	1.224897e+00	4.179734e-01	5.152742e-01	0
AASDHPPT	1.199754e+00	8.574067e-01	1.307871e+00	1.185055e+00	1.029183e+00	7.033575e-01	6.919855e-01	2.483416e+00	9.395913e-01	4.517070e-01	9.361719e-01	1.934669e-01	1.213212e+00	6.596268e-01	7.310418e-01	7.176400e-01
AASS	1.603469e+00	4.759072e-01	8.359106e-01	1.024645e+00	0	0	4.800804e-01	1.828053e+00	1.217628e+00	1.499863e+00	1.869289e+00	0	3.105606e-01	0	1.863599e+00	0
AATF	9.193387e-01	9.180391e-01	1.356012e+00	9.169543e-01	1.577291e+00	1.125509e+00	1.090710e+00	1.903488e+00	9.042392e-01	6.369964e-01	8.399510e-01	5.117423e-01	9.679221e-01	1.062447e+00	9.484306e-01	1.255802e+00
AATK	5.688296e-01	4.077267e-01	3.506855e-01	1.236306e+00	1.567535e+00	1.374485e+00	1.541376e+00	3.779236e-01	9.749252e-01	5.453849e-01	8.828875e-01	1.451740e+00	6.237697e-01	3.277933e-01	1.735272e+00	1.288657e+00
ABAT	2.334336e+00	6.775696e-01	2.844850e-01	1.722186e+00	4.428011e-01	1.004008e+00	5.188754e-01	6.226368e-01	8.361740e-01	3.014168e-01	1.033894e+00	1.585694e+00	2.222509e+00	1.250721e-01	1.218144e+00	1.284423e+00
ABCA1	1.508392e+00	1.385025e+00	9.052159e-01	3.714495e-01	6.835830e-01	1.131378e-01	2.387446e-01	6.061938e-01	9.555610e-01	1.142787e+00	1.003871e+00	1.302455e-01	4.179183e-01	8.413830e-01	1.253443e-01	1.415142e-01
ABCA10	2.073912e-01	0	4.091684e-01	6.766389e-01	0	0	0	1.842660e+00	2.615814e-01	0	9.795476e-01	0	1.407017e+00	0	1.716560e+00	0
ABCA11P	3.263819e-01	2.396242e-01	7.942528e-01	8.905032e-01	0	0	4.423814e-01	2.232576e+00	5.497793e-01	8.891916e-02	1.365479e+00	0	1.479503e+00	1.713935e-01	1.855385e+00	0
ABCA12	3.560210e-01	0	7.816129e-01	1.433137e-01	0	2.424054e-01	1.106129e-01	4.973076e-01	1.440609e-01	3.426232e-01	2.019622e-01	2.667850e-01	1.867165e-01	2.126733e+00	0	0
ABCA13	6.962076e-01	0	1.169182e-02	9.436826e-01	0	8.294752e-02	0	8.556794e-01	1.563464e+00	6.961946e-01	0	3.046430e-01	0	8.515286e-01	2.537518e-01	0
ABCA17P	5.589444e-01	2.038525e-01	1.900829e+00	9.092453e-01	0	9.171732e-01	9.282871e-01	5.227195e-01	4.168978e-01	5.602739e-01	5.880840e-01	0	1.308093e+00	0	1.718089e+00	0
ABCA2	5.317965e-01	5.543971e-01	5.235277e-01	2.957029e-01	1.911824e+00	5.968025e-01	7.620540e-01	6.765107e-01	3.982051e-01	5.747118e-01	3.964644e-01	3.770571e-01	1.219222e+00	6.892216e-01	6.904936e-01	0
ABCA3	4.819647e-01	7.235754e-01	9.835251e-01	8.065957e-01	1.099613e+00	1.023522e+00	1.309033e+00	1.205437e+00	2.034540e+00	2.402331e-01	8.387050e-01	6.765768e-01	1.984599e+00	0	1.414773e+00	7.247925e-01
ABCA4	8.397347e-01	7.600025e-01	8.685879e-01	1.544262e-01	0	0	4.763953e-01	6.439836e-01	5.119564e-01	0	6.568479e-01	2.348194e-01	2.627219e-01	9.566685e-01	5.891908e-01	0
ABCA5	1.950410e+00	8.988905e-01	2.102764e+00	2.084354e+00	2.880948e-01	3.072760e-01	1.000434e+00	5.865365e-01	9.069183e-01	0	1.056153e+00	9.258942e-01	1.641651e+00	7.947408e-01	2.212580e+00	5.477289e-01
ABCA6	1.877631e+00	1.942419e+00	1.539978e+00	7.455270e-01	0	0	7.968317e-01	0	1.957985e+00	2.057430e+00	2.879905e+00	8.095220e-01	1.457459e+00	6.867131e-01	1.802846e+00	0
ABCA7	4.764133e-01	1.376260e+00	4.065886e-01	6.771498e-01	2.275252e+00	5.787514e-01	1.919647e+00	0	8.117763e-01	3.960506e-01	0	3.673714e-01	6.609865e-01	1.611007e+00	2.538018e+00	8.056835e-02
ABCA8	1.361361e+00	1.794924e+00	1.859164e+00	2.220257e-01	0	0	0	0	1.947716e+00	9.965435e-01	4.358815e+00	2.438416e-01	9.097615e-01	2.151663e-01	2.097412e-01	0
ABCA9	1.529020e+00	1.101718e+00	1.523708e+00	6.518185e-02	0	0	0	0	1.126575e+00	6.747504e-01	2.567662e+00	3.718591e-01	9.322777e-01	0	1.990680e-01	0
ABCB1	1.618920e+00	1.364780e+00	6.219553e-01	3.220643e-01	0	5.138327e-01	0	6.686827e-01	8.674802e-01	2.055160e-02	1.412101e+00	9.091617e-01	2.264677e+00	0	0	5.199318e-01
ABCB10	9.122912e-01	7.030675e-01	8.493126e-01	7.872346e-01	1.088638e-01	2.439643e-01	1.993811e-01	2.018427e+00	7.090202e-01	0	7.953641e-01	3.264122e-01	5.520857e-01	3.274152e-01	4.029938e-01	6.431649e-01
