sampleID	D13.3_CAR-HPX	D15.6_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D16.14_GNF2-TTN	D12.9_GNF2-SERPINI2	D25.2_SCHLOSSER-MYC-AND-SERUM-RESPONSE-SYNERGY	D17.2_REACTOME-OLFACTORY-SIGNALING-PATHWAY	D11.5_JIANG-CORE-DUPLICON-GENES	D16.2_FINETTI-BREAST-CANCER-KINOME-RED	D13.11_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D15.7_FARMER-BREAST-CANCER-CLUSTER-5	D18.12_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D20.17_XENOBIOTIC-METABOLIC-PROCESS	D22.17_GNF2-TM4SF2	D20.11_GNF2-CDH3	D16.10_JIANG-CORE-DUPLICON-GENES	D22.4_REACTOME-OLFACTORY-SIGNALING-PATHWAY
PDX_64486	8.094735e-02	2.816605e-02	7.204059e-02	5.332208e-02	1.962059e-01	1.579253e-01	1.414653e-01	4.544650e-01	0	4.047725e-02	0	1.523237e-01	2.538084e-02	2.669947e-01	1.668898e-01	1.577584e-01
PDX_64484	8.306034e-02	1.882734e-02	5.572857e-02	2.267770e-02	1.731681e-01	1.896733e-01	1.486162e-01	4.708538e-01	2.641796e-02	1.777101e-02	0	1.841086e-01	3.815071e-03	2.516511e-01	2.002326e-01	1.679472e-01
PDX_64489	7.106544e-02	3.687156e-01	4.338229e-02	6.075137e-02	1.795351e-01	2.272202e-01	1.254741e-01	5.037312e-01	0	0	0	2.302100e-02	0	5.840186e-02	2.266744e-01	1.994169e-01
PDX_73519	5.946066e-02	3.068037e-02	8.318031e-02	5.832867e-03	1.478068e-01	2.035237e-01	1.312639e-01	4.510516e-01	5.131945e-02	4.391724e-02	0	2.584276e-01	0	2.000764e-01	2.078166e-01	1.577268e-01
PDX_72526	7.196308e-02	4.110467e-02	5.358609e-02	5.700064e-02	1.503519e-01	1.858387e-01	1.341271e-01	4.630731e-01	3.342674e-02	3.217782e-02	0	1.724759e-01	1.085996e-02	2.325316e-01	2.006819e-01	1.856853e-01
PDX_64487	8.288852e-02	3.212125e-01	5.087508e-02	6.067457e-02	1.864393e-01	2.665302e-01	1.492301e-01	4.964876e-01	0	0	0	3.695016e-02	0	7.157268e-02	1.994396e-01	2.344779e-01
PDX_64488	9.289240e-02	2.058165e-02	6.927945e-02	4.312322e-02	1.847651e-01	1.917511e-01	1.263034e-01	4.671818e-01	4.443553e-02	4.968977e-03	0	1.826612e-01	1.295423e-02	2.256544e-01	1.756201e-01	1.821142e-01
PDX_73521	4.490757e-02	1.529572e-02	8.288475e-02	7.836589e-03	1.467981e-01	2.213586e-01	1.169949e-01	5.163938e-01	9.140075e-02	5.480547e-02	0	1.505710e-02	0	3.468891e-01	1.842761e-01	1.791272e-01
PDX_64483	1.021250e-01	9.275418e-02	8.018960e-02	1.794765e-01	2.522177e-01	4.079480e-01	2.815519e-01	2.244109e-01	0	9.445902e-02	0	2.875033e-02	5.277541e-02	2.838878e-02	1.357976e-01	3.615995e-01
PDX_64485	8.270857e-02	3.166079e-02	5.998012e-02	3.229936e-02	1.792915e-01	1.801612e-01	1.237635e-01	4.682636e-01	0	0	0	2.611921e-01	1.542404e-02	1.725472e-01	1.856442e-01	1.781390e-01
