geneID	Endocrine	Immune	Exocrine	ActivatedStroma	ClassicalTumor	NormalStroma	BasalTumor
A1BG	1.857438e+00	1.567214e+00	1.279036e-01	1.040918e+00	5.529247e-01	7.861446e-01	6.349870e-01
A1CF	3.115748e+00	4.443745e-01	7.417202e-01	0	1.279155e+00	1.295115e+00	0
A2BP1	1.302272e+00	4.397616e-01	0	0	3.678865e-02	1.190305e-01	0
A2LD1	1.111032e+00	4.906095e-01	1.808815e+00	4.645855e-01	7.650664e-01	7.468596e-01	6.715389e-01
A2M	2.727466e+00	1.905780e+00	1.463036e+00	1.846913e+00	9.799271e-01	2.125926e+00	4.313484e-01
A2ML1	0	0	2.191475e-01	1.029632e+00	0	0	5.279975e+00
A4GALT	1.672055e-01	8.960491e-01	3.965989e-01	1.379495e+00	5.944184e-01	9.903997e-01	1.558267e+00
A4GNT	2.117858e+00	1.616033e+00	3.781445e+00	0	1.497578e+00	1.174244e+00	0
AAA1	6.811058e-01	0	0	0	4.786644e-01	4.512401e-02	0
AAAS	7.747327e-01	9.323975e-01	7.952090e-01	6.422525e-01	8.953770e-01	7.853915e-01	1.003325e+00
AACS	1.527657e+00	6.803173e-01	7.022988e-01	5.740024e-01	1.098369e+00	1.081277e+00	8.891141e-01
AACSL	0	0	6.650406e-01	0	5.104083e-02	0	2.248061e-01
AADAC	0	9.994195e-01	3.159918e+00	1.269076e+00	1.569763e+00	8.386453e-01	0
AADACL2	0	0	0	0	3.825481e-02	1.507235e-01	0
AADACL3	3.134081e-02	1.764655e-01	0	0	0	0	0
AADACL4	2.024946e-01	1.605259e-01	0	0	0	2.152852e-01	0
AADAT	1.315050e+00	1.796859e-02	6.471766e-01	8.636253e-01	4.155020e-01	8.761555e-01	3.828770e-03
AAGAB	9.623268e-01	9.187348e-01	9.060133e-01	7.019586e-01	9.610838e-01	7.245391e-01	1.230186e+00
AAK1	9.193492e-01	1.342437e+00	8.444430e-01	8.264483e-01	6.039660e-01	1.002328e+00	6.170275e-01
AAMP	7.525780e-01	7.640847e-01	9.119058e-01	7.254437e-01	1.225700e+00	8.610538e-01	1.321546e+00
AANAT	0	8.026537e-01	9.371799e-02	0	0	0	4.657127e-01
AARS	9.788585e-01	7.404239e-01	9.977082e-01	8.512762e-01	8.654637e-01	7.732920e-01	1.131151e+00
AARS2	5.915198e-01	1.021860e+00	5.591859e-01	5.886727e-01	7.405840e-01	7.331697e-01	6.838123e-01
AARSD1	9.242450e-01	7.851974e-01	9.810258e-01	8.044475e-01	7.155857e-01	1.042950e+00	1.008765e+00
AASDH	7.819172e-01	1.025091e+00	5.901229e-01	6.093563e-01	4.703792e-01	6.209026e-01	4.422900e-01
AASDHPPT	6.354951e-01	9.360855e-01	1.064565e+00	7.271472e-01	5.606409e-01	7.396693e-01	6.912189e-01
AASS	9.483807e-01	1.080699e+00	8.493070e-01	9.047222e-01	6.765986e-01	1.319289e+00	0
AATF	6.145706e-01	9.107614e-01	9.879586e-01	5.593202e-01	1.025304e+00	6.276117e-01	1.380889e+00
AATK	6.244963e-01	5.201415e-01	1.564343e+00	2.487702e-01	1.311519e+00	1.501645e+00	4.101521e-01
ABAT	4.049009e+00	1.147617e+00	2.117959e+00	4.556919e-01	7.819375e-01	1.266154e+00	2.657337e-01
ABCA1	3.991133e-01	1.199665e+00	8.427751e-01	1.892929e+00	3.081382e-01	1.014306e+00	1.707961e-01
ABCA10	1.629168e+00	1.920965e+00	8.254760e-01	4.124044e-01	5.315748e-01	1.422846e+00	0
ABCA11P	1.039099e+00	1.037702e+00	3.825610e-01	2.925258e-01	5.342481e-01	6.785796e-01	6.128531e-01
ABCA12	1.338336e+00	0	0	1.559094e+00	3.829190e-01	0	9.694292e-01
ABCA13	0	5.618482e-02	0	7.000281e-01	1.097241e+00	5.670854e-01	8.932938e-01
ABCA17P	9.451993e-01	5.983310e-01	4.129744e-02	0	1.871336e-01	2.004968e-01	4.722120e-01
ABCA2	1.551515e+00	6.730067e-01	1.470982e-01	7.848829e-01	8.688638e-01	8.892804e-01	1.018279e+00
ABCA3	2.593151e+00	1.353439e+00	8.013254e-01	1.187682e-02	7.267583e-01	1.318141e+00	5.640134e-01
ABCA4	4.483126e-01	8.398271e-01	0	5.409617e-01	0	3.395134e-01	1.224230e+00
ABCA5	1.453523e+00	1.482991e+00	1.008603e+00	9.148281e-02	7.657590e-01	1.222788e+00	1.473761e-01
ABCA6	1.528608e+00	2.714642e+00	2.964748e-01	1.350798e+00	4.709306e-02	1.313705e+00	0
ABCA7	7.434082e-01	1.558217e+00	3.719411e-01	1.862433e-01	1.222129e+00	5.162475e-01	1.401025e+00
