sampleID	D20.18_BRCA-Her2+	D29.14_Nonspecific	D28.6_UCEC	D29.25_Nonspecific	D28.23_TGCT	D28.16_Nonspecific	D29.10_PRAD	D29.22_SKCM	D28.19_LIHC	D29.27_LUAD	D28.11_BRCA-Chr8qAmp	D29.26_STAD+ESCA(Digestive)	D29.13_GBM+LGG	D27.13_BRCA-Luminal	D29.24_BLCA	D29.9_PCPG	D14.8_KIRC+KIRP(Pan-Kidney)	D21.5_COAD+STAD+ESCA(Pan-GI)	D27.24_BRCA-Basal	D21.12_THCA	D16.12_Pan-Squamous	D28.15_ACC	D29.18_NA	D29.1_NA	D20.2_NA
ACCx_025FE5F8_885E_433D_9018_7AE322A92285_X034_S09_L133_B1_T1_PMRG	0	2.648930e-01	0	6.062099e-02	1.051951e-01	8.622367e-01	1.351402e-02	6.818914e-02	0	0	0	0	3.346316e-02	0	0	2.843170e+00	1.143853e+00	0	0	0	0	5.717463e+00	9.267565e-01	2.284697e+00	1.145544e+00
ACCx_025FE5F8_885E_433D_9018_7AE322A92285_X034_S09_L134_B1_T2_PMRG	0	2.722954e-01	0	5.172169e-02	1.467541e-01	8.127295e-01	0	9.591711e-02	0	0	0	0	3.515417e-02	0	0	2.854352e+00	1.077050e+00	0	0	0	0	5.509090e+00	9.532566e-01	2.982277e+00	1.388757e+00
ACCx_2A5AE757_20D5_49B6_95FF_CAE08E8197A0_X012_S05_L033_B1_T1_P024	0	3.259070e-01	1.596595e-01	9.405825e-02	7.959631e-01	1.100685e+00	0	0	0	0	1.027960e+00	4.492867e-01	0	0	0	2.603461e+00	5.982212e-01	0	0	0	0	4.296077e+00	6.859422e-01	0	3.011238e+00
ACCx_2A5AE757_20D5_49B6_95FF_CAE08E8197A0_X012_S05_L034_B1_T2_P025	0	3.403409e-01	1.929782e-01	9.197007e-02	7.921059e-01	1.102524e+00	0	0	0	0	1.058046e+00	4.993348e-01	0	0	0	2.703509e+00	6.229482e-01	0	0	0	0	4.265558e+00	6.537664e-01	0	3.133810e+00
ACCx_3D0CD3BD_3960_46FB_92C3_777F11CCD0FC_X011_S06_L011_B1_T1_P024	0	0	0	0	5.797089e-01	1.137774e+00	0	0	8.398625e-03	2.399471e-01	0	0	6.093166e-02	0	0	2.436762e+00	1.077725e+00	0	0	1.720071e-01	0	4.058530e+00	9.619861e-01	2.410636e+00	1.210245e+00
ACCx_3D0CD3BD_3960_46FB_92C3_777F11CCD0FC_X011_S06_L012_B1_T2_P026	0	0	0	5.192297e-03	6.028271e-01	1.110024e+00	0	0	3.759773e-02	2.708427e-01	0	0	4.509422e-02	0	0	2.456431e+00	1.078990e+00	0	0	2.388490e-01	0	4.000302e+00	9.265151e-01	2.472133e+00	1.286907e+00
ACCx_4D0D43F5_D8F0_4735_92D5_F40E321C7A05_X010_S09_L065_B1_T1_P019	0	5.000155e-01	5.893757e-02	0	4.868275e-01	2.491087e-01	0	3.033309e-01	3.730720e-01	0	3.441508e-01	0	0	0	0	2.176980e+00	1.096210e-01	0	0	0	0	1.908646e+00	8.058195e-01	4.956927e+00	3.634130e+00
ACCx_4D0D43F5_D8F0_4735_92D5_F40E321C7A05_X010_S09_L066_B1_T2_P020	0	5.130592e-01	0	0	2.682948e-01	1.333281e-01	0	2.397716e-01	2.950269e-01	0	2.759920e-01	0	2.012052e-01	0	0	1.969912e+00	9.071145e-02	0	0	0	0	1.497940e+00	7.471099e-01	5.511125e+00	2.757279e+00
ACCx_81A262BD_3078_4BDB_8EB1_30DD6D7948C3_X027_S03_L081_B1_T1_P063	0	1.067110e+00	5.068544e-01	1.556588e-01	4.965279e-01	0	0	0	0	0	4.289493e-01	0	0	0	0	2.328837e+00	0	0	0	0	0	2.425325e+00	2.210041e+00	2.465694e+00	3.509299e+00
ACCx_81A262BD_3078_4BDB_8EB1_30DD6D7948C3_X027_S03_L082_B1_T2_P067	0	1.058673e+00	5.175491e-01	1.749764e-01	5.152390e-01	0	0	0	0	0	4.371967e-01	0	0	0	0	2.276570e+00	0	0	0	0	0	2.433466e+00	2.185026e+00	2.446922e+00	3.622021e+00
