pValue	topAUC	KSstat	GSname
0.0000000146	0.6715	0.8743	MODULE_293
0.0000000252	0.5795	0.7974	MODULE_143
0.0010127756	0.5408	0.5800	REACTOME_ETHANOL_OXIDATION
0.0000370959	0.5105	0.7493	REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY
0.0025094082	0.4676	0.5024	BIOCARTA_FIBRINOLYSIS_PATHWAY
0.0000354256	0.4472	0.5557	YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN
0.0003772802	0.3988	0.4266	MODULE_373
0.0012968136	0.3931	0.4893	REACTOME_COMMON_PATHWAY
0.0004662494	0.3565	0.3892	GNF2_IGF1
0.0016214105	0.3560	0.4990	BIOCARTA_EXTRINSIC_PATHWAY
0.0002159584	0.3337	0.6053	BIOCARTA_LECTIN_PATHWAY
0.0000000001	0.3277	0.5682	KEGG_ALLOGRAFT_REJECTION
0.0000000000	0.3228	0.5754	KEGG_GRAFT_VERSUS_HOST_DISEASE
0.0116944611	0.3219	0.3862	MODULE_543
0.0153979370	0.3194	0.4691	RESPONSE_TO_TOXIN
0.0009114895	0.3191	0.3961	BIOCARTA_INTRINSIC_PATHWAY
0.0000001593	0.3049	0.3298	CAR_HPX
0.0021339867	0.3041	0.4443	REACTOME_INTRINSIC_PATHWAY
0.0000059402	0.3031	0.6132	REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS
0.0000609972	0.2938	0.3980	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE
0.0000230880	0.2934	0.6209	REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE
0.0000000028	0.2917	0.4881	KEGG_TYPE_I_DIABETES_MELLITUS
0.0000039445	0.2864	0.4675	KEGG_ASTHMA
0.0000000007	0.2815	0.3639	NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN
0.0039480310	0.2803	0.3193	KEGG_HISTIDINE_METABOLISM
0.0012586060	0.2799	0.5479	ACUTE_INFLAMMATORY_RESPONSE
0.0000085057	0.2795	0.3054	GNF2_CEBPA
0.0007191454	0.2785	0.5670	BIOCARTA_BLYMPHOCYTE_PATHWAY
0.0049543657	0.2753	0.5747	chr3p13
0.0000000001	0.2752	0.4058	GAURNIER_PSMD4_TARGETS
0.0000678019	0.2741	0.7319	ROETH_TERT_TARGETS_DN
0.0020147014	0.2711	0.3836	GAVIN_PDE3B_TARGETS
0.0114885901	0.2707	0.3478	SINGH_KRAS_DEPENDENCY_SIGNATURE_
0.0000121904	0.2692	0.3922	MODULE_247
0.0000018359	0.2678	0.3015	RGTTAMWNATT_V$HNF1_01
0.0017461122	0.2673	0.4263	MODULE_424
0.0015256307	0.2656	0.2657	GNF2_CYP2B6
0.0035022721	0.2608	0.4902	CARBOXYPEPTIDASE_ACTIVITY
0.0000148102	0.2555	0.4443	KAMIKUBO_MYELOID_CEBPA_NETWORK
0.0027622531	0.2539	0.3179	CAVARD_LIVER_CANCER_MALIGNANT_VS_BENIGN
0.0096181357	0.2509	0.2909	MONOOXYGENASE_ACTIVITY
0.0000000000	0.2499	0.2781	HSIAO_LIVER_SPECIFIC_GENES
0.0000852830	0.2489	0.2919	CAR_IGFBP1
0.0032166937	0.2460	0.4933	BIOCARTA_ASBCELL_PATHWAY
0.0000000017	0.2446	0.2757	GNF2_HPX
0.0000000028	0.2446	0.2743	GNF2_HPN
0.0000003394	0.2443	0.2645	GNF2_GSTM1
0.0060416145	0.2438	0.3686	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC
0.0000630195	0.2434	0.5270	REACTOME_PD1_SIGNALING
0.0002051080	0.2418	0.4232	WEST_ADRENOCORTICAL_CARCINOMA_VS_ADENOMA_DN
