sampleID	D7.5_WEST-ADRENOCORTICAL-TUMOR-MARKERS-DN	D8.8_MODULE-293	D9.5_REACTOME-GABA-SYNTHESIS-RELEASE-REUPTAKE-AND-DEGRADATION	D6.1_FARMER-BREAST-CANCER-CLUSTER-5	D9.2_REACTOME-GLUCURONIDATION
TCGA-OR-A5J1-01A-11R-A29S-07	1.452114e+00	2.531110e-01	5.045718e-01	2.959613e+00	0
TCGA-OR-A5J2-01A-11R-A29S-07	2.587298e+00	3.043483e-01	5.134863e-01	3.522558e+00	8.191377e-01
TCGA-OR-A5J3-01A-11R-A29S-07	1.651120e+00	1.708431e-01	1.923619e+00	2.464207e+00	1.104212e+00
TCGA-OR-A5J5-01A-11R-A29S-07	6.766764e-01	0	2.476543e+00	2.980417e+00	7.212407e-02
TCGA-OR-A5J6-01A-31R-A29S-07	0	2.234656e+00	7.138784e-01	1.986294e+00	1.095189e+00
TCGA-OR-A5J7-01A-11R-A29S-07	6.924277e-01	0	4.815273e-01	2.660746e+00	7.153489e-01
TCGA-OR-A5J8-01A-11R-A29S-07	3.422540e-01	2.658589e-01	0	7.674886e+00	3.740570e-01
TCGA-OR-A5J9-01A-11R-A29S-07	2.126451e+00	0	1.401903e+00	2.876703e+00	0
TCGA-OR-A5JA-01A-11R-A29S-07	1.674618e-01	6.188154e-01	2.620387e+00	2.732228e+00	8.569828e-01
TCGA-OR-A5JB-01A-11R-A29S-07	0	1.377737e-01	0	7.357236e+00	9.462696e-02
TCGA-OR-A5JC-01A-11R-A29S-07	6.005332e-01	5.276827e-01	2.602090e+00	2.703204e+00	5.761246e-01
TCGA-OR-A5JD-01A-11R-A29S-07	1.255921e+00	1.117224e-01	2.427451e-01	3.020448e+00	4.067594e+00
TCGA-OR-A5JE-01A-11R-A29S-07	8.447419e-01	0	0	2.877913e+00	0
TCGA-OR-A5JF-01A-11R-A29S-07	2.219574e+00	0	1.556147e+00	2.476193e+00	1.451816e+00
TCGA-OR-A5JG-01A-11R-A29S-07	3.734144e-01	0	1.746140e+00	3.261283e+00	8.624558e-01
TCGA-OR-A5JI-01A-11R-A29S-07	1.339589e+00	0	1.245371e-01	3.646479e+00	3.634064e+00
TCGA-OR-A5JJ-01A-11R-A29S-07	2.287906e+00	0	1.559272e+00	3.162826e+00	0
TCGA-OR-A5JK-01A-11R-A29S-07	9.488588e-01	6.921581e-01	2.089998e+00	3.042365e+00	5.804950e-01
TCGA-OR-A5JL-01A-11R-A29S-07	6.144996e-01	1.328704e+00	2.534522e+00	1.796999e+00	1.227809e+00
TCGA-OR-A5JM-01A-11R-A29S-07	1.912841e+00	0	5.815641e-03	2.177270e+00	4.831901e-01
TCGA-OR-A5JO-01A-11R-A29S-07	6.803136e-02	2.694361e+00	4.199178e-01	5.023586e+00	5.858959e-01
TCGA-OR-A5JP-01A-11R-A29S-07	7.695295e-01	0	0	3.273802e+00	6.264670e-01
TCGA-OR-A5JQ-01A-11R-A29S-07	1.693662e+00	0	0	3.624764e+00	3.822939e+00
TCGA-OR-A5JR-01A-11R-A29S-07	4.354018e-01	4.483114e-02	7.832110e-01	2.279470e+00	5.256549e+00
TCGA-OR-A5JS-01A-11R-A29S-07	2.052297e+00	0	1.727712e-01	2.289841e+00	1.255439e+00
TCGA-OR-A5JT-01A-11R-A29S-07	3.453067e-01	0	4.551279e-01	2.282494e+00	5.587826e+00
TCGA-OR-A5JV-01A-11R-A29S-07	1.750834e-01	5.262278e-01	1.993973e+00	2.583133e+00	3.195481e+00
TCGA-OR-A5JW-01A-11R-A29S-07	1.288042e+00	2.821260e-01	1.951249e+00	2.242110e+00	1.581378e+00
TCGA-OR-A5JX-01A-11R-A29S-07	1.334926e+00	9.382679e-02	1.763547e+00	2.989254e+00	5.479836e-01
TCGA-OR-A5JY-01A-31R-A29S-07	1.751133e+00	4.173990e-01	4.898627e-01	2.775026e+00	8.144893e-01
TCGA-OR-A5JZ-01A-11R-A29S-07	0	2.117166e-01	7.037088e-01	2.342635e+00	4.886953e+00
TCGA-OR-A5K0-01A-11R-A29S-07	2.459575e+00	2.078133e-01	0	2.519996e+00	2.164670e-01
TCGA-OR-A5K1-01A-11R-A29S-07	0	3.140715e-01	8.353459e-01	2.462221e+00	4.100546e+00
TCGA-OR-A5K2-01A-11R-A29S-07	7.848849e-01	0	5.687443e-01	2.534643e+00	0
TCGA-OR-A5K3-01A-11R-A29S-07	0	3.049980e-01	2.248249e+00	2.078843e+00	2.743992e+00
TCGA-OR-A5K4-01A-11R-A29S-07	0	1.369134e-01	1.019286e+00	1.397834e+00	4.472691e+00
TCGA-OR-A5K5-01A-11R-A29S-07	2.149266e+00	0	0	2.786987e+00	0
TCGA-OR-A5K6-01A-11R-A29S-07	2.350405e+00	0	0	2.563917e+00	8.592565e-01
TCGA-OR-A5K8-01A-11R-A29S-07	7.278898e-01	0	1.968138e+00	2.510590e+00	1.806488e+00
TCGA-OR-A5K9-01A-11R-A29S-07	1.893289e+00	0	0	2.406532e+00	4.817111e-01
TCGA-OR-A5KO-01A-11R-A29S-07	1.210158e+00	2.062978e-01	1.310486e+00	2.321720e+00	1.710567e+00
TCGA-OR-A5KT-01A-11R-A29S-07	3.448848e-01	6.414983e-01	4.131270e-01	3.718273e+00	9.764875e-01
TCGA-OR-A5KU-01A-11R-A29S-07	2.478417e+00	0	1.794592e+00	2.784977e+00	1.378802e+00
