pValue	topAUC	KSstat	GSname
0.0000000831	0.7144	0.8487	HAEGERSTRAND_RESPONSE_TO_IMATINIB
0.0000000000	0.6405	0.8866	FARMER_BREAST_CANCER_CLUSTER_5
0.0000000000	0.5963	0.8522	THUM_MIR21_TARGETS_HEART_DISEASE_UP
0.0000002392	0.5871	0.7212	INAMURA_LUNG_CANCER_SCC_DN
0.0000003545	0.5648	0.6043	NIELSEN_LEIOMYOSARCOMA_CNN1_UP
0.0000050578	0.5583	0.7654	COLLER_MYC_TARGETS_DN
0.0000000000	0.5494	0.6892	WONG_ENDMETRIUM_CANCER_DN
0.0000000000	0.5239	0.7853	ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE
0.0000000000	0.5220	0.6064	MODULE_512
0.0040269189	0.4868	0.5537	MILICIC_FAMILIAL_ADENOMATOUS_POLYPOSIS_DN
0.0000000000	0.4779	0.7268	BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN
0.0000000000	0.4773	0.6083	PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_DN
0.0000000000	0.4741	0.5226	MODULE_387
0.0000000000	0.4601	0.5455	SMID_BREAST_CANCER_LUMINAL_A_UP
0.0000000000	0.4559	0.7511	GNF2_CDH11
0.0000000000	0.4555	0.5023	MODULE_329
0.0000000000	0.4553	0.5915	BOQUEST_STEM_CELL_UP
0.0000078924	0.4530	0.6947	SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX5_UP
0.0000037637	0.4460	0.5893	JI_CARCINOGENESIS_BY_KRAS_AND_STK11_DN
0.0031564645	0.4406	0.5143	REACTOME_KERATAN_SULFATE_DEGRADATION
0.0000038505	0.4383	0.6628	LU_TUMOR_VASCULATURE_DN
0.0000001886	0.4362	0.5746	REACTOME_SMOOTH_MUSCLE_CONTRACTION
0.0000000000	0.4308	0.7024	LIEN_BREAST_CARCINOMA_METAPLASTIC
0.0000000000	0.4303	0.6498	BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
0.0000000000	0.4267	0.4865	RICKMAN_HEAD_AND_NECK_CANCER_F
0.0000001404	0.4263	0.4612	SMID_BREAST_CANCER_RELAPSE_IN_LUNG_DN
0.0000111069	0.4239	0.7144	MAINA_VHL_TARGETS_UP
0.0000031058	0.4203	0.6907	MODULE_190
0.0000000776	0.4187	0.7403	YAGUE_PRETUMOR_DRUG_RESISTANCE_DN
0.0000000000	0.4183	0.6250	GNF2_PTX3
0.0000301491	0.4176	0.5442	LEI_HOXC8_TARGETS_DN
0.0021218897	0.4145	0.6113	GALIE_TUMOR_ANGIOGENESIS
0.0000000002	0.4123	0.6627	STEGER_ADIPOGENESIS_DN
0.0010705655	0.4067	0.6384	OXFORD_RALB_TARGETS_UP
0.0000207847	0.4065	0.7653	TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_DN
0.0067253617	0.4024	0.5063	SCHLESINGER_METHYLATED_IN_COLON_CANCER
0.0000000219	0.4015	0.6116	COLLAGEN
0.0000103574	0.4001	0.5399	MODULE_400
0.0000000000	0.3971	0.6254	CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_DN
0.0000025482	0.3890	0.5549	MAHADEVAN_IMATINIB_RESISTANCE_DN
0.0000168758	0.3853	0.5173	WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN
0.0016189536	0.3845	0.6222	SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX6_UP
0.0000000002	0.3818	0.4738	MODULE_201
0.0000729991	0.3813	0.5914	3_5_CYCLIC_NUCLEOTIDE_PHOSPHODIESTERASE_ACTIVITY
0.0042516851	0.3801	0.4493	LY_AGING_MIDDLE_UP
0.0000000000	0.3775	0.4800	NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN
0.0000016492	0.3764	0.4820	MODULE_330
0.0002127017	0.3725	0.4716	MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_DN
0.0062785706	0.3715	0.5092	JU_AGING_TERC_TARGETS_UP
0.0000054209	0.3712	0.4872	REGULATION_OF_HEART_CONTRACTION
