sampleID	D7.6_HAEGERSTRAND-RESPONSE-TO-IMATINIB	D12.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D7.7_GNF2-SERPINB5	D13.11_RUNNE-GENDER-EFFECT-UP	D7.5_EPITHELIAL-CELL-DIFFERENTIATION	D14.5_ANASTASSIOU-CANCER-MESENCHYMAL-TRANSITION-SIGNATURE	D13.2_REACTOME-BETA-DEFENSINS	D13.4_PID-INTEGRIN4-PATHWAY	D13.3_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN
TCGA-2F-A9KO-01A-11R-A38B-07	9.757123e-01	9.893601e-01	4.911718e-01	7.329152e-01	7.294180e-01	3.966905e-01	1.655526e+00	4.406775e-01	7.700329e-01
TCGA-2F-A9KP-01A-11R-A38B-07	4.784256e-01	0	9.590319e-02	6.260661e-01	1.395492e+00	2.232685e-01	1.733848e+00	4.254497e-01	1.309056e+00
TCGA-2F-A9KQ-01A-11R-A38B-07	5.697077e-01	0	6.894397e-02	8.538727e-01	8.494425e-01	3.339728e-01	2.660875e+00	3.636085e-01	5.464085e-01
TCGA-2F-A9KR-01A-11R-A38B-07	6.396941e-01	4.127972e-01	1.261199e+00	5.505301e-01	4.983141e-02	2.138919e-01	2.014862e+00	3.161551e-01	1.236934e+00
TCGA-2F-A9KT-01A-11R-A38B-07	2.969810e-01	0	1.112201e+00	6.013094e-01	6.641140e-01	8.257383e-01	1.328166e+00	1.288893e+00	1.464570e+00
TCGA-2F-A9KW-01A-11R-A38B-07	7.714010e-01	3.604082e-01	0	1.402324e-01	1.501813e+00	6.016687e-01	0	1.214555e+00	1.877157e+00
TCGA-4Z-AA7M-01A-11R-A39I-07	4.740489e-01	2.303008e-01	2.356026e-01	7.971556e-01	1.422343e+00	7.576520e-01	1.244770e+00	3.234184e-01	1.695899e+00
TCGA-4Z-AA7N-01A-11R-A39I-07	1.611103e+00	8.706995e-01	2.089590e-01	5.397877e-01	9.046690e-01	5.281351e-01	1.805315e+00	6.184470e-01	1.026036e+00
TCGA-4Z-AA7O-01A-31R-A39I-07	5.449301e-01	5.394856e-01	6.446619e-01	8.312423e-01	5.234040e-01	5.088223e-01	2.276412e+00	6.467164e-01	1.006721e-01
TCGA-4Z-AA7Q-01A-11R-A39I-07	4.826138e-01	1.162770e+00	9.646207e-01	8.942437e-01	6.824057e-01	2.720718e-01	6.651576e-01	5.717009e-02	4.694635e-01
TCGA-4Z-AA7R-01A-11R-A39I-07	4.032119e-01	2.953894e-01	0	5.040722e-01	1.332807e+00	4.540346e-01	7.298727e-01	4.939149e-01	2.707658e+00
TCGA-4Z-AA7S-01A-11R-A39I-07	6.052069e-01	0	1.162730e-01	8.229093e-01	9.606068e-01	2.240756e-01	2.298412e+00	1.692343e-01	5.556611e-01
TCGA-4Z-AA7W-01A-11R-A39I-07	1.047308e-01	1.484095e+00	8.347777e-01	4.588187e-01	2.805151e-01	5.818471e-01	3.297483e-01	5.478875e-01	0
TCGA-4Z-AA7Y-01A-11R-A39I-07	2.670155e-01	0	5.114374e-01	9.071064e-01	2.338211e-01	0	2.540803e+00	1.078722e+00	0
TCGA-4Z-AA80-01A-11R-A39I-07	1.176391e-01	3.327280e-01	0	4.386638e-01	1.723823e+00	7.076108e-03	1.100022e+00	6.521889e-01	2.246705e+00
TCGA-4Z-AA81-01A-11R-A39I-07	0	6.650148e-01	7.720134e-01	5.682588e-01	5.771527e-01	2.168493e-01	5.391538e-01	1.709079e+00	9.823496e-03
TCGA-4Z-AA82-01A-11R-A39I-07	7.638904e-01	4.236721e-01	1.506450e+00	6.107889e-01	5.012907e-02	9.649910e-01	5.080749e-01	1.820818e+00	6.794090e-01
TCGA-4Z-AA83-01A-11R-A39I-07	4.734091e-01	5.191683e-01	2.406003e-01	7.949225e-01	1.202544e-01	2.724113e-01	2.674520e+00	1.065557e+00	0
TCGA-4Z-AA84-01A-11R-A39I-07	2.330295e-01	3.626309e-01	4.516006e-01	3.274340e-01	9.051519e-01	6.614531e-01	1.850469e-01	1.275548e+00	1.632341e+00
TCGA-4Z-AA86-01A-11R-A39I-07	6.903157e-01	8.865780e-01	1.276065e+00	6.901418e-01	2.167975e-01	1.023795e+00	1.483696e-01	2.341131e+00	5.183958e-01
TCGA-4Z-AA87-01A-11R-A39I-07	2.928969e-01	5.071726e-01	0	3.591766e-01	1.913686e+00	6.558194e-01	5.088570e-01	0	2.101956e+00
TCGA-4Z-AA89-01A-11R-A39I-07	0	3.305990e-01	2.603350e-01	8.117519e-01	0	0	3.605305e+00	5.171060e-01	2.449043e-01
TCGA-5N-A9KI-01A-31R-A42T-07	9.119982e-01	7.855175e-01	3.749744e-02	4.472934e-01	1.560891e+00	7.345066e-01	1.280812e-01	9.785054e-02	1.372814e-01
TCGA-5N-A9KM-01A-11R-A42T-07	8.570768e-01	5.574255e-01	0	4.820427e-01	9.173923e-01	6.707368e-01	1.189666e+00	3.591729e-01	0
TCGA-BL-A0C8-01A-11R-A10U-07	7.252870e-01	7.766515e-02	0	5.753900e-01	1.749167e+00	3.805254e-01	7.326433e-01	5.255391e-01	1.356331e+00
TCGA-BL-A13I-01A-11R-A13Y-07	1.013019e+00	8.333447e-01	0	2.768542e-01	0	3.473885e-01	0	8.662756e-01	1.275872e+00
TCGA-BL-A13J-11A-13R-A10U-07	3.053990e+00	0	0	9.359620e-01	0	0	0	1.880656e-01	0
TCGA-BL-A13J-01A-11R-A10U-07	9.733820e-01	1.067160e-01	1.095061e+00	9.754968e-01	1.202577e+00	1.049211e+00	9.347016e-01	6.091056e-01	2.127322e-01
TCGA-BL-A3JM-01A-12R-A21D-07	7.842464e-01	4.674278e-01	2.266230e-01	8.011333e-01	4.466015e-01	6.207561e-01	2.411803e-01	5.189188e-01	3.873870e+00
TCGA-BL-A5ZZ-01A-31R-A30C-07	1.428369e+00	4.808866e-01	8.256116e-01	1.829090e-01	2.719412e-01	8.392067e-01	3.351294e-01	1.866797e+00	1.598020e+00
TCGA-BT-A0S7-01A-11R-A10U-07	8.692994e-01	3.367966e-01	1.268994e+00	5.956606e-01	2.974826e-01	5.207342e-01	2.729582e-01	7.320191e-01	2.055198e+00
TCGA-BT-A0YX-01A-11R-A10U-07	5.079855e-01	6.379457e-01	1.759962e+00	1.645871e-01	0	3.331773e-01	3.017034e-01	1.241357e+00	5.524026e-01
TCGA-BT-A20J-01A-11R-A14Y-07	7.369333e-01	1.172055e+00	2.803055e-01	3.491361e-01	5.550360e-01	2.432847e-01	3.494804e-01	6.580469e-01	2.876775e+00
TCGA-BT-A20N-11A-11R-A14Y-07	3.020192e+00	1.544375e-01	0	8.957343e-01	0	0	0	5.190453e-01	0
TCGA-BT-A20N-01A-11R-A14Y-07	3.291087e-01	0	1.035129e+00	7.853636e-01	7.295598e-01	6.275203e-01	9.519745e-01	1.181819e+00	7.688249e-01
TCGA-BT-A20O-01A-21R-A14Y-07	1.155351e+00	1.298494e+00	0	8.181536e-01	0	4.571981e-01	0	9.957961e-01	1.232593e+00
TCGA-BT-A20P-01A-11R-A14Y-07	2.596095e-01	3.707207e-01	0	3.620103e-01	0	1.104703e-01	2.910717e+00	4.618144e-01	9.580479e-01
TCGA-BT-A20Q-11A-11R-A14Y-07	2.978290e+00	0	0	8.716635e-01	0	7.306888e-02	0	2.342589e-01	1.237635e-01
TCGA-BT-A20Q-01A-11R-A14Y-07	1.124742e+00	5.565591e-01	3.803804e-01	1.022908e+00	6.007298e-01	8.814621e-01	1.757219e+00	3.536953e-01	4.556819e-02
TCGA-BT-A20R-11A-11R-A16R-07	3.051348e+00	0	0	5.864310e-01	0	0	0	9.111946e-01	1.689357e-01
TCGA-BT-A20R-01A-12R-A16R-07	1.308186e+00	5.270682e-01	1.102325e-01	3.783839e-01	1.809496e+00	1.024835e+00	0	2.967640e-01	1.313693e+00
TCGA-BT-A20T-01A-11R-A14Y-07	8.327849e-01	6.568631e-01	8.286059e-01	8.447240e-01	6.659915e-01	7.970574e-01	1.922115e+00	2.759416e-01	4.240480e-01
TCGA-BT-A20U-11A-11R-A14Y-07	1.312154e+00	5.063198e-01	1.883460e+00	3.131978e-02	1.514888e-01	0	4.463190e-01	3.361867e-01	0
TCGA-BT-A20U-01A-11R-A14Y-07	6.628405e-01	4.159591e-01	1.553530e+00	1.908587e-01	1.414825e-01	7.348742e-01	4.793016e-01	9.978196e-01	8.429027e-01
TCGA-BT-A20V-01A-11R-A14Y-07	1.150577e-01	5.907944e-01	7.531782e-01	1.700406e-01	4.804087e-01	1.646979e-01	7.165951e-01	1.129587e+00	2.512212e+00
TCGA-BT-A20W-11A-11R-A14Y-07	2.055110e+00	6.148977e-01	3.629439e-01	4.255526e-01	7.089192e-01	3.754480e-01	1.330224e+00	9.264307e-01	8.567213e-01
TCGA-BT-A20W-01A-21R-A14Y-07	8.392501e-01	4.848189e-01	0	3.988503e-01	1.519636e+00	4.840361e-01	1.508686e+00	5.058024e-01	1.733714e+00
TCGA-BT-A20X-01A-11R-A16R-07	4.259743e-01	6.936819e-01	2.020433e+00	5.030317e-01	0	4.802212e-01	1.091384e-01	2.141818e+00	7.617528e-01
TCGA-BT-A2LA-11A-11R-A18C-07	1.304892e+00	4.797141e-01	2.973581e-02	1.944144e-01	4.215684e-01	5.771283e-02	2.734885e+00	8.209410e-01	0
TCGA-BT-A2LA-01A-11R-A18C-07	8.812877e-01	7.858604e-02	3.644570e-02	2.920525e-01	4.373194e-01	3.572351e-01	3.748685e-01	4.897097e-01	5.197806e+00
TCGA-BT-A2LB-11A-11R-A18C-07	1.338804e+00	5.952144e-01	1.818201e+00	5.369708e-03	2.886283e-01	0	5.184071e-01	1.181104e+00	0
TCGA-BT-A2LB-01A-11R-A18C-07	9.801686e-01	7.138924e-01	4.523067e-01	2.638967e-01	1.057939e+00	8.877600e-01	1.617002e+00	1.014834e+00	5.973173e-01
TCGA-BT-A2LD-01A-12R-A20F-07	7.139847e-01	3.944412e-01	5.035770e-01	6.857699e-02	8.338764e-01	1.000377e+00	0	1.279790e+00	1.810363e+00
TCGA-BT-A3PH-01A-11R-A220-07	3.998973e-01	0	5.069388e-01	4.574753e-01	1.677083e+00	7.115955e-01	1.077627e+00	5.621823e-01	2.421934e-01
