pValue	topAUC	KSstat	GSname
0.0044264432	0.2689	0.3695	FINETTI_BREAST_CANCERS_KINOME_BLUE
0.0011439573	0.2554	0.5756	PROTEIN_DEACETYLASE_ACTIVITY
0.0000000000	0.2337	0.3895	NIKOLSKY_BREAST_CANCER_16P13_AMPLICON
0.0042428174	0.2322	0.5029	DEACETYLASE_ACTIVITY
0.0264247546	0.2091	0.4428	MIPS_TRAP_SMCC_MEDIATOR_COMPLEX
0.0109474092	0.2037	0.2562	chr17q24
0.0000005429	0.1931	0.2641	chr16p11
0.0000000000	0.1777	0.2857	chr16p13
0.0000655554	0.1693	0.2124	chr4p16
0.0201641009	0.1692	0.3208	HYDROLASE_ACTIVITY_ACTING_ON_CARBON_NITROGEN_NOT_PEPTIDEBONDSIN_LINEAR_AMIDES
0.0000008407	0.1677	0.3182	SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A5
0.0028204781	0.1670	0.3079	YANG_BREAST_CANCER_ESR1_LASER_UP
0.0000000001	0.1622	0.1781	CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP
0.0000000000	0.1619	0.2727	VANTVEER_BREAST_CANCER_ESR1_UP
0.0041778470	0.1567	0.1336	SMID_BREAST_CANCER_LUMINAL_B_UP
0.0200077175	0.1477	0.4367	EHRLICH_ICF_SYNDROM_UP
0.0012778188	0.1453	0.2090	LAIHO_COLORECTAL_CANCER_SERRATED_DN
0.0184771863	0.1390	0.1828	chr7q36
0.0021453746	0.1352	0.1481	chr8q24
0.0000066890	0.1317	0.4369	BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
0.0032767042	0.1315	0.4438	NIKOLSKY_BREAST_CANCER_12Q24_AMPLICON
0.0134742225	0.1308	0.1287	CSR_EARLY_UP.V1_DN
0.0000000125	0.1285	0.2272	chr17q25
0.0000000011	0.1284	0.1541	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP
0.0020239809	0.1280	0.1125	chr17q21
0.0018743675	0.1277	0.4035	HISTONE_DEACETYLASE_COMPLEX
0.0186856974	0.1268	0.1825	HUANG_DASATINIB_RESISTANCE_DN
0.0022816243	0.1242	0.4874	BIOCARTA_CBL_PATHWAY
0.0000369002	0.1193	0.4203	PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_6
0.0000028758	0.1186	0.2586	chr17q12
0.0268584425	0.1169	0.3649	MIPS_BRM_SIN3A_COMPLEX
0.0111118769	0.1154	0.3075	REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER
0.0001031075	0.1146	0.6842	RUNNE_GENDER_EFFECT_UP
0.0181763064	0.1123	0.1680	MORF_HEAB
0.0082132722	0.1120	0.3428	BONOME_OVARIAN_CANCER_POOR_SURVIVAL_DN
0.0000788483	0.1109	0.6923	MILICIC_FAMILIAL_ADENOMATOUS_POLYPOSIS_DN
0.0001740641	0.1097	0.1978	chr7q11
0.0102033475	0.1087	0.1284	NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON
0.0139453544	0.1077	0.0934	BHAT_ESR1_TARGETS_VIA_AKT1_UP
0.0000000220	0.1075	0.2561	MORF_IKBKG
0.0000000020	0.1069	0.1219	SMID_BREAST_CANCER_BASAL_DN
0.0230821813	0.1063	0.3316	SCIBETTA_KDM5B_TARGETS_UP
0.0035528687	0.1027	0.5589	WONG_ENDOMETRIAL_CANCER_LATE
0.0194656246	0.1020	0.3082	CREIGHTON_AKT1_SIGNALING_VIA_MTOR_DN
0.0000000046	0.1020	0.2069	chr9q34
0.0013267070	0.1012	0.1772	chr17q11
0.0000226046	0.1009	0.1116	CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2
0.0000000176	0.1005	0.2605	POOLA_INVASIVE_BREAST_CANCER_DN
0.0089506421	0.0994	0.1937	ZHONG_RESPONSE_TO_AZACITIDINE_AND_TSA_DN
0.0080835108	0.0988	0.5520	MIKKELSEN_PLURIPOTENT_STATE_DN
