sampleID	D11.8_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D8.6_DOANE-BREAST-CANCER-ESR1-DN	D11.3_FARMER-BREAST-CANCER-CLUSTER-5	D11.5_NAKAYAMA-SOFT-TISSUE-TUMORS-PCA2-DN	D11.10_REACTOME-GLUCURONIDATION	D11.1_MODULE-352	D11.2_NADH-DEHYDROGENASE-COMPLEX	D9.8_SMID-BREAST-CANCER-RELAPSE-IN-LIVER-DN	D9.2_FINETTI-BREAST-CANCERS-KINOME-BLUE
TCGA-3C-AAAU-01A-11R-A41B-07	0	0	9.298453e-01	3.065417e-01	0	3.490303e+00	3.286501e+00	1.655781e+00	2.117747e+00
TCGA-3C-AALI-01A-11R-A41B-07	4.567037e-01	0	1.168321e+00	4.278649e-01	5.477068e-01	3.297441e+00	3.389397e+00	2.130335e-01	1.493627e+00
TCGA-3C-AALJ-01A-31R-A41B-07	2.685599e-01	0	1.080403e+00	7.871418e-01	0	3.097579e+00	3.727944e+00	3.839538e-01	2.515895e+00
TCGA-3C-AALK-01A-11R-A41B-07	2.645840e-01	4.700144e-01	1.419210e+00	5.770720e-01	2.962623e-01	2.965028e+00	3.219750e+00	7.945657e-02	2.678582e+00
TCGA-4H-AAAK-01A-12R-A41B-07	1.956162e-01	4.594053e-01	1.554313e+00	5.372927e-01	0	3.081644e+00	3.175954e+00	0	3.108444e+00
TCGA-5L-AAT0-01A-12R-A41B-07	3.534092e-01	5.507526e-01	1.333121e+00	6.350915e-01	0	2.873559e+00	3.246450e+00	7.222461e-02	3.213077e+00
TCGA-5L-AAT1-01A-12R-A41B-07	5.947552e-01	2.239390e-01	1.218384e+00	6.286180e-01	1.803226e-01	2.845154e+00	3.318163e+00	2.387477e-02	2.428774e+00
TCGA-5T-A9QA-01A-11R-A41B-07	0	0	5.775407e-01	0	1.975506e-01	3.184249e+00	4.053238e+00	1.180123e+00	2.215162e+00
TCGA-A1-A0SB-01A-11R-A144-07	0	2.243127e+00	7.590247e-01	7.995905e-01	0	3.929682e+00	2.524628e+00	0	1.096527e+00
TCGA-A1-A0SD-01A-11R-A115-07	3.173088e-01	5.578985e-01	1.221165e+00	8.025566e-01	0	3.557771e+00	2.484419e+00	9.683507e-01	2.185674e+00
TCGA-A1-A0SE-01A-11R-A084-07	9.911096e-02	8.027758e-01	1.172168e+00	5.672434e-01	0	3.485447e+00	2.834722e+00	2.880102e-01	3.023620e+00
TCGA-A1-A0SF-01A-11R-A144-07	3.233519e-01	6.180139e-01	9.467991e-01	8.485981e-01	0	3.067111e+00	3.077373e+00	0	3.267577e+00
TCGA-A1-A0SG-01A-11R-A144-07	2.274850e-01	1.816454e-01	1.228938e+00	5.421308e-01	3.653448e-02	3.143441e+00	3.257857e+00	0	3.463175e+00
TCGA-A1-A0SH-01A-11R-A084-07	4.196668e-02	4.448232e-01	1.864671e+00	4.497486e-01	2.340818e-01	3.664153e+00	2.646079e+00	1.077069e-01	1.783462e+00
TCGA-A1-A0SI-01A-11R-A144-07	4.432360e-01	1.485256e-01	1.594113e+00	4.466658e-01	2.822129e-01	3.570061e+00	2.676416e+00	5.857926e-01	8.508074e-01
TCGA-A1-A0SJ-01A-11R-A084-07	2.115009e-01	6.031516e-01	1.013959e+00	1.062894e+00	1.022888e-01	3.553750e+00	2.814585e+00	3.450624e-01	2.642404e+00
TCGA-A1-A0SK-01A-12R-A084-07	0	1.218622e+00	9.402416e-01	4.293596e-02	0	4.371962e+00	3.125197e+00	0	1.228349e+00
TCGA-A1-A0SM-01A-11R-A084-07	8.688961e-02	1.392880e-01	1.719395e+00	1.839386e-01	3.449191e-01	3.494596e+00	3.022374e+00	7.329848e-01	1.358516e+00
TCGA-A1-A0SN-01A-11R-A144-07	3.573591e-01	3.528006e-02	1.473639e+00	2.333832e-01	6.551264e-03	3.777687e+00	2.866683e+00	7.998904e-01	1.638848e+00
TCGA-A1-A0SO-01A-22R-A084-07	2.381380e-01	1.159638e+00	7.059513e-01	2.481084e-01	0	4.540210e+00	2.993110e+00	0	5.635371e-01
TCGA-A1-A0SP-01A-11R-A084-07	5.684634e-01	1.462145e+00	1.075390e+00	4.891219e-01	0	3.829859e+00	3.187976e+00	0	6.525230e-01
TCGA-A1-A0SQ-01A-21R-A144-07	1.096977e-01	2.363168e-01	7.825053e-01	6.194931e-01	0	3.552244e+00	2.902316e+00	1.780533e+00	1.865612e+00
TCGA-A2-A04N-01A-11R-A115-07	1.462387e-01	1.734280e-01	1.395255e+00	4.385689e-01	0	3.219247e+00	3.181721e+00	0	3.412127e+00
TCGA-A2-A04P-01A-31R-A034-07	6.953498e-01	1.389539e+00	8.981122e-01	6.562416e-01	1.956861e-01	3.069109e+00	3.644761e+00	6.124415e-02	2.333799e-01
TCGA-A2-A04Q-01A-21R-A034-07	1.062253e+00	1.062776e+00	1.052146e+00	5.470074e-01	3.636786e-02	3.479818e+00	3.101835e+00	4.541457e-02	7.053418e-01
TCGA-A2-A04R-01A-41R-A109-07	0	2.379557e-01	1.100117e+00	4.056352e-01	0	3.639339e+00	3.193015e+00	9.745957e-01	2.697439e+00
TCGA-A2-A04T-01A-21R-A034-07	5.523194e-01	1.665455e+00	8.941963e-01	3.234347e-01	0	4.048649e+00	3.217870e+00	0	2.504305e-01
TCGA-A2-A04U-01A-11R-A115-07	1.085738e-01	1.480904e+00	1.158627e+00	1.911828e-01	0	3.402179e+00	4.017008e+00	0	1.009131e-01
TCGA-A2-A04V-01A-21R-A034-07	1.773081e-02	0	1.138849e+00	7.930118e-01	0	3.279094e+00	3.379991e+00	9.618563e-02	3.655889e+00
TCGA-A2-A04W-01A-31R-A115-07	1.899351e-01	3.764517e-01	1.682557e+00	2.539813e-01	9.995844e-01	3.279209e+00	3.279332e+00	3.591278e-01	0
TCGA-A2-A04X-01A-21R-A034-07	6.574207e-01	0	1.015663e+00	1.909544e-01	5.727053e-01	3.399816e+00	3.182333e+00	8.997898e-01	1.141490e+00
TCGA-A2-A04Y-01A-21R-A034-07	5.307678e-01	2.082839e-01	7.930831e-01	8.046716e-01	2.419463e-01	3.311082e+00	3.169944e+00	4.096984e-01	2.345437e+00
TCGA-A2-A0CK-01A-11R-A22K-07	2.340256e-01	6.644669e-01	8.172739e-01	1.266028e+00	0	2.674471e+00	3.387557e+00	4.207347e-01	3.194317e+00
TCGA-A2-A0CL-01A-11R-A115-07	8.525914e-01	1.814428e-01	1.008326e+00	1.044640e+00	0	3.699764e+00	2.612337e+00	4.367013e-02	2.223116e+00
TCGA-A2-A0CM-01A-31R-A034-07	8.425875e-01	1.120703e+00	1.330841e+00	1.910820e-01	0	4.038167e+00	3.108651e+00	0	0
TCGA-A2-A0CO-01A-13R-A22K-07	5.203109e-01	7.162420e-01	8.526369e-01	1.478154e+00	0	2.733468e+00	2.740876e+00	8.127640e-01	2.220761e+00
TCGA-A2-A0CP-01A-11R-A034-07	1.573171e-01	7.880760e-01	1.305198e+00	9.237679e-01	0	2.671985e+00	3.420267e+00	7.359213e-02	2.783508e+00
TCGA-A2-A0CQ-01A-21R-A034-07	1.512888e-01	1.349116e-01	9.042433e-01	4.073987e-01	0	2.889642e+00	3.586711e+00	1.585480e+00	2.094399e+00
TCGA-A2-A0CR-01A-11R-A22K-07	7.876363e-01	8.552091e-01	8.712710e-01	1.148066e+00	1.825879e-02	1.816527e+00	3.857545e+00	4.535450e-01	2.365140e+00
TCGA-A2-A0CS-01A-11R-A115-07	8.155621e-02	0	1.425060e+00	1.563430e-01	0	3.086774e+00	3.416452e+00	1.406434e+00	1.667366e+00
TCGA-A2-A0CT-01A-31R-A056-07	1.275283e-01	2.970299e-01	1.019091e+00	3.736508e-01	1.015798e-03	3.788101e+00	3.128735e+00	3.645664e-01	2.972489e+00
TCGA-A2-A0CU-01A-12R-A034-07	0	3.461717e-01	8.446148e-01	1.052612e+00	0	3.549252e+00	3.008627e+00	5.197387e-01	3.303635e+00
TCGA-A2-A0CV-01A-31R-A115-07	3.338373e-01	8.932505e-01	1.092167e+00	7.366679e-01	1.849230e-02	3.149877e+00	2.859146e+00	4.995106e-01	1.985674e+00
TCGA-A2-A0CW-01A-21R-A115-07	4.988560e-01	0	9.622957e-01	7.467860e-03	1.679435e-01	3.656952e+00	3.393205e+00	6.555467e-01	2.123026e+00
TCGA-A2-A0CX-01A-21R-A00Z-07	4.276867e-01	1.222564e-01	1.507531e+00	2.426587e-01	7.833113e-01	3.701071e+00	2.954823e+00	6.169022e-02	6.797412e-01
TCGA-A2-A0CY-01A-12R-A034-07	5.860894e-02	9.797466e-01	1.056344e+00	2.725799e-02	3.177679e-01	3.191945e+00	4.054894e+00	3.927116e-01	1.103448e+00
TCGA-A2-A0CZ-01A-11R-A034-07	3.137013e-01	8.150021e-01	1.262193e+00	1.227686e+00	0	3.014204e+00	2.926261e+00	1.890553e-01	2.232284e+00
TCGA-A2-A0D0-01A-11R-A00Z-07	6.073323e-01	1.527446e+00	8.845132e-01	6.047302e-02	0	3.550989e+00	3.899949e+00	0	0
TCGA-A2-A0D1-01A-11R-A034-07	1.998564e-03	1.707018e-01	1.217033e+00	1.384083e-01	6.537457e-01	3.754421e+00	3.643665e+00	0	1.289688e+00
TCGA-A2-A0D2-01A-21R-A034-07	5.929441e-01	1.483773e+00	1.106821e+00	4.397851e-01	0	3.767852e+00	3.292508e+00	0	1.990448e-01
TCGA-A2-A0D3-01A-11R-A115-07	2.472960e-01	2.017994e-01	9.686233e-01	3.021020e-01	4.470533e-02	3.646187e+00	2.987527e+00	1.448568e-01	2.669898e+00
TCGA-A2-A0D4-01A-11R-A00Z-07	2.061953e-02	2.876248e-01	6.418962e-01	7.530522e-01	0	3.564405e+00	3.207203e+00	9.243330e-01	2.772325e+00
TCGA-A2-A0EM-01A-11R-A034-07	0	2.835737e-01	1.239056e+00	5.385247e-01	0	3.541043e+00	2.744520e+00	1.079651e+00	2.253212e+00
TCGA-A2-A0EN-01A-13R-A084-07	5.092541e-01	1.413052e-01	1.121264e+00	1.218647e+00	0	3.287488e+00	2.575824e+00	4.906120e-01	1.771001e+00
TCGA-A2-A0EO-01A-11R-A034-07	2.746340e-01	7.213731e-01	1.338247e+00	7.515416e-01	0	3.292376e+00	2.759131e+00	1.056002e-01	2.899097e+00
TCGA-A2-A0EP-01A-52R-A22U-07	6.383808e-01	9.438981e-03	1.025834e+00	1.663182e+00	0	2.838667e+00	2.898679e+00	4.232312e-01	1.568882e+00
TCGA-A2-A0EQ-01A-11R-A034-07	7.652464e-01	0	8.654607e-01	5.066627e-01	3.244739e-01	3.738068e+00	3.164159e+00	0	1.933937e+00
TCGA-A2-A0ER-01A-21R-A034-07	8.756800e-02	1.895045e-01	7.676667e-01	5.492336e-01	0	3.838965e+00	2.674447e+00	1.347386e+00	2.853484e+00
TCGA-A2-A0ES-01A-11R-A115-07	2.153927e-01	1.227192e+00	8.123908e-01	1.236536e+00	3.258934e-02	3.423160e+00	2.173197e+00	3.876059e-01	2.467864e+00
TCGA-A2-A0ET-01A-31R-A034-07	1.161288e-01	0	3.533830e-01	5.817284e-01	0	3.979049e+00	2.758082e+00	1.845309e+00	2.110515e+00
TCGA-A2-A0EU-01A-22R-A056-07	1.742353e-01	3.457327e-01	1.143125e+00	4.918971e-01	0	3.541330e+00	3.088238e+00	3.735389e-01	3.251556e+00
TCGA-A2-A0EV-01A-11R-A034-07	3.991522e-01	9.754918e-02	1.256635e+00	6.113898e-01	0	3.530392e+00	2.737886e+00	9.667185e-01	2.015963e+00
TCGA-A2-A0EW-01A-21R-A115-07	2.779711e-01	8.312817e-01	9.211882e-01	1.469891e+00	0	3.352387e+00	2.225807e+00	4.581530e-01	2.236797e+00
TCGA-A2-A0EX-01A-21R-A034-07	1.919119e-01	4.673701e-01	1.279937e+00	7.262616e-01	3.443824e-02	3.293353e+00	2.925153e+00	0	3.027311e+00
TCGA-A2-A0EY-01A-11R-A034-07	4.136857e-01	0	9.762592e-01	5.828843e-01	7.965632e-01	3.556441e+00	2.780504e+00	0	1.416625e+00
TCGA-A2-A0ST-01A-12R-A084-07	1.109402e+00	1.318112e+00	6.986868e-01	7.091802e-01	3.089883e-02	3.595854e+00	2.657246e+00	2.739241e-01	8.977875e-01
TCGA-A2-A0SU-01A-11R-A084-07	1.638274e-01	6.555025e-01	1.087696e+00	6.168073e-01	0	3.335316e+00	2.961651e+00	1.130575e+00	2.300898e+00
TCGA-A2-A0SV-01A-11R-A084-07	4.416339e-01	0	1.389060e+00	2.700937e-01	1.573356e-01	3.248742e+00	3.654696e+00	5.262572e-01	1.510980e+00
TCGA-A2-A0SW-01A-11R-A084-07	6.064340e-01	0	1.024780e+00	6.288587e-01	3.155075e-01	3.469241e+00	3.073808e+00	6.235176e-01	1.200223e+00
TCGA-A2-A0SX-01A-12R-A084-07	7.812188e-01	1.324101e+00	1.208475e+00	7.372696e-01	0	3.875892e+00	2.682976e+00	0	6.561399e-01
TCGA-A2-A0SY-01A-31R-A084-07	3.225289e-01	3.157603e-01	1.068760e+00	1.065157e+00	0	3.243341e+00	2.867451e+00	0	3.262845e+00
TCGA-A2-A0T0-01A-22R-A084-07	3.077556e-01	1.340952e+00	1.345193e+00	6.437041e-02	1.576729e-01	3.780395e+00	3.573753e+00	0	0
TCGA-A2-A0T1-01A-21R-A084-07	6.532994e-01	0	1.291837e+00	7.817818e-01	7.045858e-01	3.317995e+00	3.097515e+00	0	7.805444e-01
TCGA-A2-A0T2-01A-11R-A084-07	3.525540e-01	1.454249e+00	1.192820e+00	2.517659e-01	2.616061e-01	3.341363e+00	3.833286e+00	8.088404e-02	0
TCGA-A2-A0T3-01A-21R-A115-07	1.428501e-01	5.870446e-01	1.039204e+00	5.007654e-01	3.553740e-02	3.784129e+00	2.858476e+00	6.175783e-01	2.275849e+00
TCGA-A2-A0T4-01A-31R-A084-07	3.422566e-01	1.248284e-01	1.102270e+00	1.174239e+00	0	3.164353e+00	2.940299e+00	9.690538e-01	2.276061e+00
TCGA-A2-A0T5-01A-21R-A084-07	1.715067e-01	8.358814e-01	1.290094e+00	3.617760e-01	0	3.292010e+00	3.171858e+00	2.120938e-01	2.479655e+00
TCGA-A2-A0T6-01A-11R-A084-07	2.308423e-01	0	1.288574e+00	1.204732e+00	0	3.676806e+00	2.466166e+00	0	2.503578e+00
TCGA-A2-A0T7-01A-21R-A084-07	3.276440e-01	9.134740e-01	1.371147e+00	5.233812e-01	2.968406e-02	3.584056e+00	2.717711e+00	2.651834e-01	1.798107e+00
TCGA-A2-A0YC-01A-11R-A109-07	1.695386e-01	0	1.013899e+00	7.016469e-01	0	3.478023e+00	2.811213e+00	1.481384e+00	2.344739e+00
TCGA-A2-A0YD-01A-11R-A109-07	3.558605e-01	2.707300e-01	1.368685e+00	1.029896e+00	0	3.386877e+00	2.552095e+00	6.261032e-01	2.283789e+00
TCGA-A2-A0YE-01A-11R-A109-07	3.637582e-01	1.479916e+00	1.307428e+00	2.401156e-01	0	3.961919e+00	3.213855e+00	4.471363e-02	1.725531e-01
TCGA-A2-A0YF-01A-21R-A109-07	2.108354e-01	1.446168e-01	8.423291e-01	6.158142e-01	0	3.882198e+00	2.376171e+00	1.797752e+00	1.541937e+00
TCGA-A2-A0YG-01A-21R-A109-07	2.682249e-01	7.339534e-02	1.165370e+00	8.984102e-02	3.463685e-01	4.238207e+00	2.601084e+00	8.352641e-01	1.115313e+00
TCGA-A2-A0YH-01A-11R-A109-07	5.673525e-01	0	1.228581e+00	3.009030e-01	0	3.652614e+00	2.976609e+00	6.457845e-01	2.503337e+00
TCGA-A2-A0YI-01A-31R-A10J-07	4.239629e-01	2.778883e-01	9.665565e-01	8.198849e-01	0	3.646463e+00	2.250847e+00	1.664366e+00	1.497601e+00
TCGA-A2-A0YJ-01A-11R-A109-07	3.068355e-02	1.761252e+00	1.139545e+00	0	0	4.197024e+00	3.309298e+00	0	0
