pValue	topAUC	KSstat	GSname
0.0000000000	0.9412	0.9644	GNF2_SPRR1B
0.0000000002	0.8368	0.8935	CORNIFIED_ENVELOPE
0.0000009363	0.7492	0.8383	LIU_CDX2_TARGETS_DN
0.0000001233	0.6492	0.7126	KERATINOCYTE_DIFFERENTIATION
0.0000192805	0.6238	0.6477	JI_CARCINOGENESIS_BY_KRAS_AND_STK11_UP
0.0000000000	0.5946	0.6364	WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_DN
0.0000000000	0.5669	0.6281	BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE
0.0000000000	0.5644	0.5733	HUPER_BREAST_BASAL_VS_LUMINAL_UP
0.0000000000	0.5547	0.5720	RICKMAN_HEAD_AND_NECK_CANCER_E
0.0001496924	0.5385	0.5529	EMBRYO_IMPLANTATION
0.0000004031	0.5028	0.5290	MODULE_68
0.0000004031	0.5028	0.5290	MODULE_298
0.0000000457	0.4997	0.5453	GNF2_SERPINB5
0.0012005658	0.4884	0.4918	OVULATION_CYCLE
0.0000000081	0.4797	0.5205	MODULE_153
0.0000000000	0.4729	0.5282	MODULE_297
0.0000000000	0.4729	0.5282	MODULE_357
0.0000000000	0.4686	0.5448	JAEGER_METASTASIS_DN
0.0031030538	0.4629	0.5380	EPITHELIAL_CELL_DIFFERENTIATION
0.0000000000	0.4560	0.5032	MODULE_154
0.0000014488	0.4552	0.4924	GNF2_CDH3
0.0095257857	0.4513	0.4698	AUJLA_IL22_AND_IL17A_SIGNALING
0.0033974413	0.4317	0.4572	INAMURA_LUNG_CANCER_SCC_UP
0.0000249655	0.4307	0.5090	SINGH_KRAS_DEPENDENCY_SIGNATURE_
0.0000000713	0.4239	0.5685	WANG_BARRETTS_ESOPHAGUS_DN
0.0000000000	0.4179	0.4963	EPIDERMIS_DEVELOPMENT
0.0012867141	0.4138	0.4352	HUMMERICH_BENIGN_SKIN_TUMOR_UP
0.0000000000	0.4062	0.4907	ECTODERM_DEVELOPMENT
0.0000000036	0.3912	0.4099	ONDER_CDH1_TARGETS_3_DN
0.0001624506	0.3835	0.4371	HINATA_NFKB_TARGETS_KERATINOCYTE_DN
0.0000000000	0.3814	0.3937	RICKMAN_HEAD_AND_NECK_CANCER_C
0.0000000147	0.3810	0.4208	CROMER_TUMORIGENESIS_DN
0.0019591785	0.3584	0.3687	INTERMEDIATE_FILAMENT_CYTOSKELETON
0.0019591785	0.3584	0.3687	INTERMEDIATE_FILAMENT
0.0009235438	0.3539	0.5586	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS
0.0135603741	0.3421	0.3699	AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
0.0007365617	0.3412	0.4765	MORPHOGENESIS_OF_AN_EPITHELIUM
0.0000000000	0.3393	0.4112	LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT
0.0000141090	0.3326	0.4060	AIGNER_ZEB1_TARGETS
0.0000000000	0.3247	0.3243	KRAS.LUNG_UP.V1_DN
0.0000000000	0.3171	0.3547	RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_DN
0.0000074602	0.3052	0.3566	KRAS.50_UP.V1_DN
0.0000000000	0.3043	0.4368	CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP
0.0000000002	0.3002	0.5957	MOSERLE_IFNA_RESPONSE
0.0000968434	0.2987	0.5312	FARMER_BREAST_CANCER_CLUSTER_4
0.0000506701	0.2964	0.4287	DAZARD_UV_RESPONSE_CLUSTER_G24
0.0000000002	0.2868	0.3743	CROMER_METASTASIS_DN
0.0000000000	0.2768	0.3492	ONDER_CDH1_TARGETS_2_DN
0.0000000000	0.2697	0.3038	TISSUE_DEVELOPMENT
0.0000009219	0.2653	0.3194	ENGELMANN_CANCER_PROGENITORS_DN
