sampleID	D5.3_RICKMAN-HEAD-AND-NECK-CANCER-D	D8.8_HAEGERSTRAND-RESPONSE-TO-IMATINIB	D5.4_GNF2-SPRR1B	D11.4_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D10.6_GNF2-GLTSCR2
TCGA-2W-A8YY-01A-11R-A37O-07	2.233429e+00	5.102043e-01	0	8.931468e-01	6.858024e-01
TCGA-4J-AA1J-01A-21R-A38B-07	1.772264e+00	7.238733e-01	2.193584e+00	8.637659e-01	8.686039e-01
TCGA-BI-A0VR-01A-11R-A10U-07	9.896608e-01	6.809336e-01	2.572228e+00	1.613114e+00	6.179985e-01
TCGA-BI-A0VS-01A-11R-A10U-07	0	7.090636e-01	1.633464e+00	1.090775e+00	6.378742e-01
TCGA-BI-A20A-01A-11R-A14Y-07	2.110383e+00	7.324900e-01	1.675346e+00	1.460458e+00	1.000369e+00
TCGA-C5-A0TN-01A-21R-A14Y-07	0	0	1.448731e-01	1.194530e+00	6.513783e-01
TCGA-C5-A1BE-01B-11R-A13Y-07	5.777188e-02	5.486277e-01	2.688557e+00	1.235738e+00	6.197786e-01
TCGA-C5-A1BF-01B-11R-A13Y-07	1.336960e+00	4.813574e-01	6.514735e-01	1.192138e+00	5.031923e-01
TCGA-C5-A1BI-01B-11R-A13Y-07	4.803293e-01	6.014097e-01	3.130023e+00	1.489113e+00	4.598236e-01
TCGA-C5-A1BJ-01A-11R-A13Y-07	8.253868e-01	6.754701e-01	2.449022e+00	1.278035e+00	5.335998e-01
TCGA-C5-A1BK-01B-11R-A13Y-07	1.180114e+00	4.783694e-01	2.371764e+00	1.849110e+00	9.520432e-01
TCGA-C5-A1BL-01A-11R-A13Y-07	3.696763e-01	6.421581e-02	2.655001e+00	1.654180e+00	1.347846e-01
TCGA-C5-A1BM-01A-11R-A13Y-07	1.006833e+00	3.492575e-01	2.975708e+00	1.734688e+00	3.157528e-01
TCGA-C5-A1BN-01B-11R-A14Y-07	7.834958e-01	0	1.427928e+00	7.226818e-01	7.868859e-01
TCGA-C5-A1BQ-01C-11R-A213-07	4.332376e-01	1.189776e-01	2.048405e+00	1.676775e+00	5.822566e-01
TCGA-C5-A1M5-01A-11R-A13Y-07	1.103166e+00	7.299748e-01	2.725837e+00	1.537863e+00	6.517783e-01
TCGA-C5-A1M6-01A-11R-A13Y-07	3.052248e+00	4.618943e-01	4.663512e-01	6.205893e-01	6.842720e-01
TCGA-C5-A1M7-01A-11R-A13Y-07	7.649448e-01	1.613936e-01	2.162032e+00	1.424148e+00	2.901536e-01
TCGA-C5-A1M8-01A-21R-A13Y-07	1.815784e-01	5.197564e-01	2.585515e+00	8.264804e-01	2.113441e+00
TCGA-C5-A1M9-01A-11R-A13Y-07	3.166634e+00	0	0	9.844549e-01	6.465053e-01
TCGA-C5-A1ME-01A-11R-A13Y-07	4.938803e+00	5.689983e-01	0	9.039617e-01	1.956218e+00
TCGA-C5-A1MF-01A-11R-A13Y-07	2.411677e+00	5.728696e-01	1.281725e-01	1.220723e+00	2.623852e+00
TCGA-C5-A1MH-01A-11R-A14Y-07	3.781417e-01	5.340565e-01	2.282450e+00	1.862000e+00	5.690685e-01
TCGA-C5-A1MI-01A-11R-A14Y-07	2.473764e+00	5.176794e-01	5.260128e-01	1.075031e+00	5.150152e-01
TCGA-C5-A1MJ-01A-11R-A14Y-07	3.227007e+00	7.637916e-01	0	8.864423e-01	4.377410e-01
TCGA-C5-A1MK-01A-11R-A14Y-07	5.360229e-01	6.960410e-01	2.636622e+00	1.195383e+00	7.945209e-01
TCGA-C5-A1ML-01A-11R-A14Y-07	1.395755e+00	6.782135e-01	2.034047e+00	1.155467e+00	4.731999e-01
TCGA-C5-A1MN-01A-11R-A14Y-07	0	9.190582e-02	2.064073e+00	9.846315e-01	5.567213e-01
TCGA-C5-A1MP-01A-11R-A14Y-07	9.950115e-01	9.473093e-01	2.241624e+00	1.551080e+00	1.078416e+00
TCGA-C5-A1MQ-01A-11R-A14Y-07	2.202633e+00	6.935227e-01	0	1.725448e+00	1.645169e+00
TCGA-C5-A2LS-01A-22R-A22U-07	5.336656e+00	1.347033e-01	2.760310e-01	7.128407e-01	6.933654e-01
TCGA-C5-A2LT-01A-11R-A18M-07	4.480871e-01	4.771418e-01	6.202170e-01	1.225930e+00	6.796037e-01
TCGA-C5-A2LV-01A-11R-A18M-07	0	3.086907e-02	0	1.354037e+00	1.006715e+00
TCGA-C5-A2LX-01A-11R-A18M-07	9.797836e-01	8.668700e-01	1.033134e+00	1.795441e+00	1.724959e+00
TCGA-C5-A2LY-01A-31R-A18M-07	5.732613e-01	1.977126e-01	1.268845e+00	1.875002e+00	1.740707e+00
TCGA-C5-A2LZ-01A-11R-A213-07	1.122852e+00	1.550882e-01	2.880846e+00	1.445928e+00	7.414129e-01
TCGA-C5-A2M1-01A-11R-A18M-07	4.151128e+00	5.521387e-02	0	1.432699e+00	2.831082e-01
TCGA-C5-A2M2-01A-21R-A18M-07	5.060148e+00	0	0	7.223007e-01	4.663661e-01
TCGA-C5-A3HD-01B-11R-A213-07	1.279296e+00	0	9.448823e-01	9.089699e-01	6.010476e-01
TCGA-C5-A3HE-01A-21R-A22U-07	3.565205e+00	1.704118e-01	0	1.335617e+00	7.753781e-01
TCGA-C5-A3HF-01A-11R-A213-07	3.971141e+00	7.137383e-01	1.461161e+00	1.075172e+00	6.279438e-01
TCGA-C5-A3HL-01A-11R-A213-07	2.468629e-01	5.589603e-01	2.931123e+00	1.074832e+00	4.690807e-01
TCGA-C5-A7CG-01A-11R-A32P-07	1.186505e+00	6.080721e-01	1.787328e+00	1.981358e+00	3.179772e-01
TCGA-C5-A7CH-01A-11R-A33Z-07	2.545324e-01	3.182869e-01	2.519816e+00	9.440335e-01	1.064266e+00
TCGA-C5-A7CJ-01A-11R-A32P-07	1.126059e+00	8.555061e-01	2.820721e+00	1.317773e+00	3.344196e-01
TCGA-C5-A7CK-01A-11R-A32P-07	1.094391e-01	7.385312e-01	2.157254e+00	7.613890e-01	5.644582e-01
TCGA-C5-A7CL-01A-11R-A32P-07	7.530255e-01	3.324358e-01	2.160958e+00	1.165914e+00	4.163389e-01
TCGA-C5-A7CM-01A-11R-A33Z-07	4.103181e+00	3.984900e-01	0	5.679164e-01	6.893341e-01
TCGA-C5-A7CO-01A-11R-A352-07	9.635542e-01	4.075137e-01	2.318825e+00	1.212581e+00	1.327319e+00
TCGA-C5-A7UC-01A-11R-A352-07	5.904480e-01	0	9.946883e-01	6.578644e-01	6.078798e-01
TCGA-C5-A7UE-01A-11R-A33Z-07	0	3.312300e-01	2.813405e+00	1.085601e+00	1.275871e+00
TCGA-C5-A7UH-01A-11R-A352-07	2.478600e-02	2.532320e-02	1.694989e+00	1.078672e+00	8.391459e-01
TCGA-C5-A7UI-01A-11R-A36F-07	5.843861e-01	3.723774e-01	1.526449e+00	1.869083e+00	1.645163e+00
TCGA-C5-A7X3-01A-11R-A352-07	1.082023e+00	3.055513e-01	5.253664e-02	1.335884e+00	9.867188e-01
TCGA-C5-A7X5-01A-11R-A36F-07	0	0	1.219826e+00	8.501197e-01	9.154378e-01
TCGA-C5-A7X8-01A-11R-A36F-07	3.738313e+00	1.165208e+00	4.523404e-01	7.962056e-01	1.598252e+00
TCGA-C5-A7XC-01A-11R-A38B-07	2.535516e+00	7.451926e-01	2.239506e+00	1.297494e+00	5.631601e-01
TCGA-C5-A8XH-01A-11R-A37O-07	8.410589e-01	2.758369e-01	1.680583e+00	1.501533e+00	9.389491e-01
TCGA-C5-A8XI-01A-11R-A37O-07	1.317198e+00	6.714857e-01	2.137271e+00	1.371396e+00	5.427879e-01
TCGA-C5-A8XJ-01A-11R-A37O-07	9.785673e-01	8.988390e-01	1.566620e+00	1.079487e+00	5.340476e-01
TCGA-C5-A8XK-01A-11R-A37O-07	1.405446e+00	0	8.393866e-01	1.104615e+00	8.659016e-01
TCGA-C5-A8YQ-01A-11R-A37O-07	1.956995e-01	2.766944e-01	1.999980e+00	9.941220e-01	1.263406e+00
TCGA-C5-A8YR-01A-12R-A37O-07	8.272292e-01	0	0	1.402128e+00	2.813512e-01
TCGA-C5-A8YT-01A-11R-A37O-07	2.341240e+00	1.173898e+00	0	7.896527e-01	3.549755e-01
TCGA-C5-A8ZZ-01A-11R-A37O-07	0	9.931859e-01	2.178886e+00	8.111509e-01	5.954587e-01
TCGA-C5-A901-01A-11R-A37O-07	2.461499e-01	4.555368e-01	3.214328e+00	1.138278e+00	5.184288e-01
TCGA-C5-A902-01A-11R-A37O-07	1.229738e+00	0	3.109915e-01	1.465864e+00	1.103958e+00
TCGA-C5-A905-01A-11R-A37O-07	1.131606e+00	9.722876e-02	2.633441e+00	7.536319e-01	1.429976e+00
TCGA-C5-A907-01A-11R-A37O-07	2.471145e+00	0	6.307887e-02	1.233222e+00	5.923025e-01
TCGA-DG-A2KH-01A-21R-A22U-07	5.062937e+00	0	0	7.060649e-01	7.465553e-01
TCGA-DG-A2KJ-01A-11R-A32Y-07	4.336845e+00	7.614125e-01	0	1.270596e+00	3.228193e+00
TCGA-DG-A2KK-01A-11R-A180-07	3.295658e+00	2.809287e-01	7.908612e-01	1.198564e+00	1.050959e+00
TCGA-DG-A2KL-01A-11R-A180-07	4.781297e-01	9.016753e-01	2.755693e+00	1.421613e+00	1.618143e-01
TCGA-DG-A2KM-01A-11R-A180-07	1.234345e+00	8.700976e-01	2.560371e+00	2.155946e+00	0
TCGA-DR-A0ZL-01A-11R-A10U-07	9.255231e-01	1.043061e-01	2.024762e+00	7.940745e-01	1.123287e+00
TCGA-DR-A0ZM-01A-12R-A10U-07	9.891449e-01	4.615903e-01	2.249453e+00	1.869768e+00	1.172272e+00
TCGA-DS-A0VK-01A-21R-A10U-07	1.043087e+00	8.814380e-01	2.085674e+00	7.824193e-01	1.272079e+00
TCGA-DS-A0VL-01A-21R-A10U-07	1.750607e+00	4.519259e-01	2.466946e+00	1.322707e+00	6.410075e-01
TCGA-DS-A0VM-01A-11R-A10U-07	1.277227e+00	5.513202e-01	1.589695e+00	1.188845e+00	1.326075e+00
TCGA-DS-A0VN-01A-21R-A10U-07	0	4.419339e-01	2.268282e+00	1.671031e+00	6.960234e-01
TCGA-DS-A1O9-01A-11R-A14Y-07	0	5.725259e-01	1.765444e+00	1.572935e+00	4.441628e-01
TCGA-DS-A1OA-01A-11R-A14Y-07	1.390558e+00	7.888841e-01	2.670426e+00	1.378823e+00	9.891405e-01
TCGA-DS-A1OB-01A-11R-A14Y-07	2.915800e-01	1.186812e-01	1.641086e+00	1.536653e+00	7.078499e-01
TCGA-DS-A1OC-01A-11R-A14Y-07	1.173819e+00	1.329619e-01	1.665097e+00	1.364262e+00	3.522693e-01
TCGA-DS-A1OD-01A-11R-A14Y-07	1.473629e+00	8.519259e-01	9.527836e-01	1.751673e+00	9.330562e-01
TCGA-DS-A3LQ-01A-21R-A21T-07	0	8.380581e-01	2.112651e+00	1.140001e+00	5.703379e-01
TCGA-DS-A5RQ-01A-11R-A28H-07	1.573587e+00	6.565048e-01	3.053853e+00	1.380177e+00	8.976422e-01
TCGA-DS-A7WF-01A-11R-A352-07	2.844901e+00	5.643910e-01	0	1.039792e+00	2.600160e-01
TCGA-DS-A7WH-01A-22R-A352-07	4.280655e+00	6.781668e-01	1.614592e-01	4.709676e-01	2.307706e-01
TCGA-DS-A7WI-01A-12R-A352-07	1.474147e+00	0	9.770753e-01	1.186757e+00	1.806300e+00
TCGA-EA-A1QS-01A-61R-A22U-07	0	1.331678e+00	1.345163e+00	9.948220e-01	4.686240e-01
TCGA-EA-A1QT-01A-11R-A14Y-07	6.908315e-02	2.039790e-01	1.960195e+00	1.271712e+00	9.948939e-01
TCGA-EA-A3HQ-01A-11R-A213-07	5.456165e-01	4.607902e-01	2.346463e+00	1.397238e+00	6.512654e-01
TCGA-EA-A3HR-01A-11R-A213-07	1.066771e+00	7.420386e-01	3.036724e+00	9.883785e-01	5.843277e-01
TCGA-EA-A3HS-01A-11R-A213-07	4.810808e-01	4.472468e-01	2.479099e+00	1.241365e+00	7.617325e-01
TCGA-EA-A3HT-01A-61R-A21T-07	9.554061e-01	8.333085e-01	2.969093e+00	1.249534e+00	4.189145e-01
TCGA-EA-A3HU-01A-11R-A213-07	5.604815e-01	3.086228e-01	1.961514e+00	1.964432e+00	5.917204e-02
TCGA-EA-A3QD-01A-32R-A22U-07	9.790166e-01	8.041072e-01	1.435824e+00	1.776615e+00	1.244699e+00
TCGA-EA-A3QE-01A-21R-A21T-07	1.019837e+00	5.072118e-01	3.291361e+00	1.782324e+00	4.456082e-02
TCGA-EA-A3Y4-01A-51R-A24H-07	1.821294e+00	1.164810e-01	9.578089e-02	1.616922e+00	1.227888e+00
TCGA-EA-A410-01A-11R-A32Y-07	8.190766e-01	8.150103e-01	0	1.116569e+00	2.173894e-01
TCGA-EA-A411-01A-11R-A24H-07	1.727626e+00	9.916124e-01	1.967576e+00	9.633798e-01	1.131252e+00
TCGA-EA-A439-01A-11R-A24H-07	2.800123e+00	8.885223e-01	3.501604e-01	1.021424e+00	1.526756e-01
TCGA-EA-A43B-01A-81R-A32Y-07	1.536065e+00	3.204183e-01	6.440866e-01	1.602817e+00	1.540546e+00
TCGA-EA-A44S-01A-12R-A26T-07	0	5.057874e-01	2.757887e+00	1.317311e+00	1.459452e+00
TCGA-EA-A4BA-01A-21R-A26T-07	2.385844e+00	9.569852e-01	0	3.178691e-01	1.495786e+00
TCGA-EA-A50E-01A-21R-A26T-07	4.084052e-01	7.806440e-01	2.454979e+00	1.017240e+00	9.823477e-01
TCGA-EA-A556-01A-11R-A26T-07	2.354938e+00	9.094429e-01	0	8.825859e-01	7.728993e-01
TCGA-EA-A5FO-01A-21R-A28H-07	2.375688e+00	0	1.272200e+00	6.136233e-01	6.864683e-01
TCGA-EA-A5O9-01A-11R-A28H-07	4.664774e-01	0	1.929608e+00	1.488145e+00	1.303355e+00
TCGA-EA-A5ZD-01A-11R-A28H-07	1.056471e+00	4.640050e-01	2.726922e+00	1.513686e+00	5.126637e-01
TCGA-EA-A5ZE-01A-11R-A28H-07	1.989179e+00	6.038274e-01	7.849187e-01	1.325823e+00	6.710414e-01
TCGA-EA-A5ZF-01A-11R-A28H-07	3.198249e+00	8.659088e-01	3.967965e-01	6.957099e-01	8.111475e-01
TCGA-EA-A6QX-01A-12R-A33Z-07	1.664487e+00	4.405429e-01	2.139146e+00	1.409338e+00	1.357708e+00
TCGA-EA-A78R-01A-11R-A32P-07	8.004645e-01	7.695415e-01	2.200915e+00	1.385818e+00	1.439444e+00
TCGA-EA-A97N-01A-11R-A38B-07	5.088500e-01	7.997881e-01	2.974902e+00	1.012020e+00	3.959311e-01
TCGA-EK-A2GZ-01A-11R-A180-07	2.285026e-01	3.239276e-01	2.217072e+00	1.001195e+00	8.162274e-01
TCGA-EK-A2H0-01A-11R-A180-07	9.676931e-02	0	1.458950e+00	1.213491e+00	9.689800e-01
TCGA-EK-A2H1-01A-11R-A180-07	1.058278e+00	5.105193e-01	8.824019e-01	1.457492e+00	8.528016e-01
TCGA-EK-A2IP-01A-11R-A180-07	1.131405e+00	2.727796e-01	1.898602e+00	8.825311e-01	1.539403e+00
TCGA-EK-A2IR-01A-11R-A180-07	0	4.048795e-01	1.035426e+00	3.725028e-01	6.998799e-01
TCGA-EK-A2PG-01A-11R-A18M-07	6.119782e-01	0	2.271362e+00	8.518835e-01	1.888431e+00
TCGA-EK-A2PI-01A-11R-A18M-07	0	8.527834e-01	2.264859e+00	7.436515e-01	1.208435e+00
TCGA-EK-A2PK-01A-11R-A18M-07	2.725335e+00	1.734784e-01	0	1.533331e+00	1.580346e-02
TCGA-EK-A2PL-01A-11R-A18M-07	1.119491e+00	2.999816e-02	2.491902e+00	9.555477e-01	1.205707e+00
TCGA-EK-A2PM-01A-11R-A18M-07	0	3.698435e-01	1.544576e+00	4.240819e-01	1.015914e+00
TCGA-EK-A2R7-01A-11R-A18M-07	3.605548e+00	7.307694e-01	8.309515e-01	1.124858e+00	9.222807e-01
TCGA-EK-A2R8-01A-21R-A18M-07	2.064183e+00	2.584507e-02	0	9.979958e-01	3.411550e-01
TCGA-EK-A2R9-01A-11R-A18M-07	9.667107e-01	1.095488e+00	7.122143e-01	1.334881e+00	1.319317e+00
TCGA-EK-A2RA-01A-11R-A18M-07	9.267796e-01	1.681432e-01	1.791930e+00	1.573378e+00	1.029272e+00
TCGA-EK-A2RB-01A-11R-A18M-07	4.707407e-01	1.878491e-01	2.746970e+00	1.234562e+00	1.898462e+00
TCGA-EK-A2RC-01A-11R-A18M-07	2.122509e+00	8.101509e-01	2.370547e+00	1.389357e+00	1.175412e+00
TCGA-EK-A2RE-01A-11R-A18M-07	0	1.962508e-01	2.857428e+00	7.422259e-01	5.720791e-01
TCGA-EK-A2RJ-01A-11R-A18M-07	1.376171e+00	0	4.972777e-01	1.564170e+00	0
TCGA-EK-A2RK-01A-11R-A18M-07	5.392676e-01	3.442466e-01	1.715343e+00	1.567319e+00	1.198662e+00
TCGA-EK-A2RL-01A-11R-A18M-07	5.060971e+00	2.671630e-01	9.268394e-02	5.513886e-01	1.073839e+00
TCGA-EK-A2RM-01A-21R-A18M-07	2.847525e+00	7.590570e-01	4.514560e-01	7.986180e-01	1.352116e+00
TCGA-EK-A2RN-01A-12R-A213-07	3.954672e-01	5.608158e-02	2.876752e+00	1.376633e+00	1.058609e+00
TCGA-EK-A2RO-01A-11R-A18M-07	5.718194e-02	8.830208e-01	2.153196e+00	1.029078e+00	1.469566e+00
TCGA-EK-A3GJ-01A-21R-A213-07	0	0	9.309982e-01	1.868055e+00	7.234481e-01
TCGA-EK-A3GK-01A-11R-A213-07	3.896830e+00	0	7.103176e-01	1.164380e+00	6.011275e-01
TCGA-EK-A3GM-01A-11R-A213-07	4.300947e+00	0	0	7.013658e-01	3.839316e-01
TCGA-EK-A3GN-01A-11R-A213-07	1.926610e+00	0	8.453821e-01	6.007858e-01	1.402258e+00
TCGA-EX-A1H5-01A-31R-A13Y-07	8.965797e-01	5.823468e-01	1.892761e+00	1.028533e+00	9.429656e-01
TCGA-EX-A1H6-01B-11R-A22U-07	4.335549e+00	7.380831e-01	4.193823e-01	8.226819e-01	1.662612e+00
TCGA-EX-A3L1-01A-11R-A32Y-07	1.602013e+00	3.289237e-01	1.068138e+00	1.127809e+00	3.044297e-01
TCGA-EX-A449-01A-11R-A32Y-07	4.620733e+00	8.332945e-02	0	9.325483e-01	1.029976e+00
TCGA-EX-A69L-01A-11R-A32P-07	1.492021e+00	3.115185e-01	1.287120e+00	1.759134e+00	7.979737e-01
TCGA-EX-A69M-01A-11R-A32P-07	2.675926e+00	0	1.151138e+00	1.615328e+00	1.912199e-01
TCGA-EX-A8YF-01A-11R-A37O-07	4.076992e+00	1.166140e-01	5.597220e-02	1.449629e+00	2.169163e-01
TCGA-FU-A23K-01A-11R-A16R-07	2.415005e+00	6.728086e-01	0	1.406104e+00	1.944711e+00
TCGA-FU-A23L-01A-11R-A16R-07	1.704029e+00	6.112630e-01	2.114641e+00	1.442705e+00	7.426071e-01
TCGA-FU-A2QG-01A-11R-A18M-07	1.282044e+00	2.489475e-02	2.533719e+00	1.051960e+00	5.183902e-01
TCGA-FU-A3EO-11A-13R-A213-07	1.102662e+00	1.819592e+00	0	7.231012e-01	6.668811e-01
TCGA-FU-A3EO-01A-11R-A213-07	5.079078e+00	6.245137e-01	0	8.659291e-01	2.505448e+00
TCGA-FU-A3HY-01A-11R-A21T-07	1.000418e+00	1.696502e-01	2.666732e+00	6.347159e-01	1.007729e+00
TCGA-FU-A3HZ-01A-11R-A213-07	6.766567e-01	5.550982e-01	3.789154e-01	9.696600e-01	3.481867e-01
TCGA-FU-A3NI-01A-11R-A21T-07	3.021067e-01	5.640987e-01	1.899904e+00	1.039636e+00	1.424136e+00
TCGA-FU-A3TQ-01A-11R-A22U-07	6.773901e-01	4.535871e-01	2.911634e+00	1.320322e+00	2.488335e-01
TCGA-FU-A3TX-01A-11R-A22U-07	6.436974e-01	4.385797e-01	1.035966e+00	1.464720e+00	3.763707e-01
TCGA-FU-A3WB-01A-11R-A22U-07	5.983514e-01	4.458006e-01	1.710966e+00	9.380403e-01	1.014857e+00
TCGA-FU-A3YQ-01A-11R-A22U-07	9.132197e-01	6.913384e-01	2.918762e+00	1.742834e+00	0
TCGA-FU-A40J-01A-11R-A24H-07	4.602945e+00	5.168897e-01	1.381740e-01	1.059208e+00	7.178492e-01
TCGA-FU-A57G-01A-11R-A26T-07	2.744824e+00	1.212959e+00	0	6.781196e-01	3.073477e-01
TCGA-FU-A5XV-01A-11R-A28H-07	1.206185e+00	3.607674e-01	3.255077e+00	9.703904e-01	4.197860e-01
TCGA-FU-A770-01A-11R-A33Z-07	4.327879e+00	2.036584e-01	3.329168e-01	7.802993e-01	5.446389e-01
TCGA-GH-A9DA-01A-21R-A37O-07	6.088106e-01	0	4.890336e-01	1.306799e+00	6.089694e-01
TCGA-HG-A2PA-01A-11R-A213-07	2.318481e+00	9.312955e-01	2.341997e+00	1.226340e+00	2.169647e-01
TCGA-HM-A3JJ-11A-12R-A21T-07	2.226353e-01	1.998269e+00	0	8.276472e-01	4.951212e-01
TCGA-HM-A3JJ-01A-21R-A21T-07	1.355440e+00	9.298159e-01	2.076806e+00	1.302335e+00	9.424321e-01
