pValue	topAUC	KSstat	GSname
0.0000000000	0.9202	0.9697	CAR_IGFBP1
0.0000000000	0.9053	0.9501	CAR_HPX
0.0000000000	0.8651	0.9159	GNF2_IGF1
0.0000000000	0.8542	0.9269	GNF2_CYP2B6
0.0000000000	0.8231	0.9151	GNF2_CEBPA
0.0000000000	0.8224	0.9093	GNF2_HPX
0.0000000000	0.8134	0.9088	GNF2_HPN
0.0000000000	0.8124	0.9060	GNF2_LCAT
0.0000000000	0.8057	0.9005	GNF2_GSTM1
0.0000000000	0.8009	0.8906	GNF2_TST
0.0000000001	0.7984	0.8545	REACTOME_XENOBIOTICS
0.0000000000	0.7928	0.8576	SU_LIVER
0.0000000125	0.7724	0.8780	BIOCARTA_LECTIN_PATHWAY
0.0000007784	0.7510	0.8420	KHETCHOUMIAN_TRIM24_TARGETS_DN
0.0000000017	0.7444	0.8259	MODULE_106
0.0000000473	0.7154	0.8276	REACTOME_ETHANOL_OXIDATION
0.0000000000	0.7127	0.8636	CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN
0.0000000000	0.7048	0.8135	HSIAO_LIVER_SPECIFIC_GENES
0.0000000239	0.6938	0.7986	BIOCARTA_EXTRINSIC_PATHWAY
0.0000000000	0.6877	0.8152	REACTOME_GLUCURONIDATION
0.0000000005	0.6772	0.7980	YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN
0.0000026427	0.6772	0.7486	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL
0.0000000000	0.6766	0.7614	LEE_LIVER_CANCER
0.0000000036	0.6722	0.7850	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL
0.0000000227	0.6702	0.8396	REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS
0.0000001255	0.6635	0.8226	XENOBIOTIC_METABOLIC_PROCESS
0.0000000000	0.6500	0.7219	MODULE_135
0.0000071793	0.6498	0.6969	ACUTE_INFLAMMATORY_RESPONSE
0.0000124014	0.6356	0.6836	REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS
0.0000000175	0.6118	0.7309	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS
0.0000000000	0.6105	0.7897	WOO_LIVER_CANCER_RECURRENCE_DN
0.0000000053	0.6101	0.6485	OXYGEN_BINDING
0.0000002013	0.6082	0.7469	RESPONSE_TO_XENOBIOTIC_STIMULUS
0.0000011734	0.6076	0.6667	REACTOME_COMMON_PATHWAY
0.0000000026	0.6053	0.7079	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS
0.0000000002	0.5958	0.7335	MODULE_58
0.0000000000	0.5916	0.8218	BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN
0.0000000000	0.5876	0.6591	REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM
0.0000001208	0.5862	0.7323	REACTOME_REGULATION_OF_COMPLEMENT_CASCADE
0.0000000000	0.5744	0.6545	KEGG_RETINOL_METABOLISM
0.0000000351	0.5731	0.6783	BIOCARTA_COMP_PATHWAY
0.0000000001	0.5730	0.7062	MODULE_130
0.0000160260	0.5726	0.7051	chr6q26
0.0000000000	0.5685	0.8209	MODULE_78
0.0000000000	0.5685	0.7235	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
0.0000002561	0.5667	0.6578	REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT
0.0000000087	0.5638	0.6268	BIOCARTA_INTRINSIC_PATHWAY
0.0000000000	0.5622	0.6523	REACTOME_COMPLEMENT_CASCADE
0.0000000028	0.5608	0.7900	BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN
0.0000000003	0.5589	0.6647	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
