sampleID	D5.3_CAR-IGFBP1	D5.4_BIOCARTA-TCRA-PATHWAY	D7.7_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	D12.4_REACTOME-BETA-DEFENSINS	D13.10_REACTOME-BETA-DEFENSINS	D7.1_MODULE-89	D16.11_BIOCARTA-KREB-PATHWAY	D16.5_REACTOME-BETA-DEFENSINS	D11.8_BIOCARTA-ETC-PATHWAY	D13.9_NIKOLSKY-BREAST-CANCER-19Q13.1-AMPLICON
TCGA-3X-AAV9-01A-72R-A41I-07	1.447927e-01	3.387838e+00	1.117396e+00	1.200047e+00	9.684500e-02	7.933405e-01	0	1.481067e-01	1.075155e+00	2.000859e-01
TCGA-3X-AAVA-01A-11R-A41I-07	4.683388e-01	2.101292e+00	1.136453e-02	1.576694e+00	1.881813e-01	3.318777e+00	0	5.614963e-01	1.592319e+00	0
TCGA-3X-AAVB-01A-31R-A41I-07	0	2.750870e+00	1.374984e+00	1.594381e+00	0	9.364492e-01	0	2.347714e-01	1.572993e+00	0
TCGA-3X-AAVC-01A-21R-A41I-07	1.339556e-01	2.230941e+00	1.496531e+00	3.117456e+00	0	2.465080e+00	1.695225e-01	6.052710e+00	4.675031e-01	0
TCGA-3X-AAVE-01A-11R-A41I-07	7.449879e-01	2.544147e+00	3.203016e-01	1.059646e+00	1.637623e+00	2.605788e+00	2.263701e-01	5.161717e-01	7.293225e-01	1.340392e-01
TCGA-4G-AAZO-01A-12R-A41I-07	0	1.117971e+00	4.304068e-01	2.440912e+00	2.835646e-01	4.810818e+00	0	7.409012e-01	2.212318e+00	0
TCGA-4G-AAZT-01A-11R-A41I-07	3.881624e-01	2.105031e+00	3.275344e-01	4.638106e-01	1.083362e-01	4.801338e+00	3.965630e-02	1.736775e+00	1.692541e+00	0
TCGA-W5-AA2G-01A-11R-A41I-07	2.740141e+00	1.891354e+00	4.512846e-03	1.203827e+00	4.413364e-01	2.609043e+00	0	0	5.906434e-01	8.479546e-02
TCGA-W5-AA2H-01A-31R-A41I-07	0	7.157745e+00	0	0	0	2.158433e-01	0	0	1.528453e+00	0
TCGA-W5-AA2I-11A-11R-A41I-07	4.617104e+00	1.853648e+00	0	7.499675e-01	1.868835e-01	9.710351e-01	9.506908e-01	4.171630e-01	1.335465e+00	0
TCGA-W5-AA2I-01A-32R-A41I-07	1.382281e+00	8.432339e-01	3.391725e-01	0	1.165892e-01	4.932942e+00	4.012063e-01	1.363124e+00	4.384497e-01	7.869153e-01
TCGA-W5-AA2O-01A-11R-A41I-07	2.224938e+00	1.651573e+00	0	3.394634e-01	0	3.615159e+00	5.281893e-01	0	4.901622e-01	0
TCGA-W5-AA2Q-11A-11R-A41I-07	4.395638e+00	2.915965e+00	0	6.383778e-01	5.610456e-02	8.227567e-01	4.734067e-01	1.975506e-01	1.182936e+00	0
TCGA-W5-AA2Q-01A-11R-A41I-07	2.737743e-02	8.099541e-01	0	4.667976e-01	0	1.155879e+00	7.873350e-01	0	8.868175e-01	2.432380e+00
TCGA-W5-AA2R-11A-11R-A41I-07	4.485690e+00	2.159870e+00	0	1.383649e+00	1.877547e-01	7.356899e-01	3.818232e-01	2.826765e-01	1.651238e+00	0
TCGA-W5-AA2R-01A-11R-A41I-07	3.107965e-01	2.542689e+00	0	1.303956e+00	1.715772e+00	2.325193e+00	0	2.317849e-01	1.500786e+00	1.171233e-01
TCGA-W5-AA2T-01A-12R-A41I-07	3.024950e-01	4.313189e-01	0	1.218117e+00	1.734420e-01	3.187472e+00	1.961525e-01	4.243249e-01	1.037970e+00	1.700663e+00
TCGA-W5-AA2U-11A-11R-A41I-07	4.520519e+00	2.379881e+00	0	1.312464e+00	0	9.084768e-01	2.051564e-01	5.272544e-01	1.583659e+00	0
TCGA-W5-AA2U-01A-11R-A41I-07	2.834787e-01	1.618141e+00	3.102161e-01	1.691505e+00	1.431870e+00	2.931540e+00	1.034193e-01	1.207703e+00	1.188083e+00	8.376283e-01
TCGA-W5-AA2W-01A-11R-A41I-07	1.097056e-01	1.323427e+00	0	5.157347e-01	3.092712e-01	2.351369e+00	2.801572e-01	5.347948e-01	1.743692e+00	1.132940e+00
TCGA-W5-AA2X-11A-11R-A41I-07	4.415781e+00	2.213793e+00	1.645739e-01	9.236896e-01	8.828972e-02	1.020088e+00	5.293569e-01	4.638484e-01	8.412257e-01	1.282562e-01
TCGA-W5-AA2X-01A-11R-A41I-07	5.976081e-01	1.997566e+00	1.185955e+00	0	2.477005e-02	9.941607e-01	1.879030e-01	2.858080e-01	1.488935e-01	6.950822e-02
TCGA-W5-AA2Z-01A-11R-A41I-07	1.292503e-01	1.559690e+00	1.598987e-01	1.281147e+00	7.352463e-01	1.940835e+00	1.401286e-01	2.703850e-02	1.548577e+00	1.482033e+00
TCGA-W5-AA30-11A-11R-A41I-07	4.485703e+00	2.438889e+00	1.137821e-01	8.744554e-01	1.748584e-02	9.134355e-01	4.276984e-01	4.522727e-01	1.113251e+00	8.748347e-02
TCGA-W5-AA30-01A-31R-A41I-07	5.724540e-01	1.777648e+00	6.214682e-01	1.461745e+00	9.560484e-01	2.009397e+00	4.941225e-01	1.475154e+00	3.854014e-01	1.224723e+00
TCGA-W5-AA31-11A-11R-A41I-07	4.674695e+00	1.993582e+00	0	1.212574e+00	2.039718e-01	6.657664e-01	5.990442e-01	4.556109e-01	1.306276e+00	0
TCGA-W5-AA31-01A-11R-A41I-07	2.432715e+00	1.622469e+00	2.041270e-01	3.574589e-01	3.410597e-01	1.536573e+00	5.129704e-01	0	0	1.135330e+00
TCGA-W5-AA33-01A-11R-A41I-07	2.532183e+00	1.953367e+00	2.784823e-01	7.664838e-01	2.050531e-01	1.624320e+00	0	6.090713e-01	0	1.517622e+00
TCGA-W5-AA34-11A-11R-A41I-07	4.437720e+00	1.880124e+00	0	1.280215e+00	3.082232e-01	8.140090e-01	5.863865e-01	5.302050e-01	1.495099e+00	0
TCGA-W5-AA34-01A-11R-A41I-07	4.710519e-02	1.402764e+00	0	5.761522e-01	9.536364e-02	3.032667e+00	6.005446e-01	0	1.820160e+00	1.115134e+00
