pValue	topAUC	KSstat	GSname
0.0000000000	0.4339	0.6600	REACTOME_BETA_DEFENSINS
0.0000183616	0.4296	0.4404	GNF2_SERPINB5
0.0000000000	0.4264	0.6827	chr11q11
0.0148725228	0.4238	0.4943	WANG_ESOPHAGUS_CANCER_PROGRESSION_UP
0.0000763276	0.4113	0.4205	GNF2_CDH3
0.0000000000	0.3688	0.5493	REACTOME_DEFENSINS
0.0017131238	0.3652	0.4268	KOBAYASHI_EGFR_SIGNALING_6HR_DN
0.0000000000	0.3508	0.7009	REACTOME_OLFACTORY_SIGNALING_PATHWAY
0.0112555481	0.3300	0.3259	HINATA_NFKB_TARGETS_KERATINOCYTE_DN
0.0000063434	0.3216	0.3114	BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE
0.0000000000	0.3213	0.6309	KEGG_OLFACTORY_TRANSDUCTION
0.0002945344	0.2805	0.2711	ONDER_CDH1_TARGETS_3_DN
0.0148624141	0.2691	0.2624	MODULE_153
0.0000004019	0.2557	0.2393	SABATES_COLORECTAL_ADENOMA_UP
0.0081334119	0.2431	0.2400	PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_1
0.0164446416	0.2398	0.2597	AIGNER_ZEB1_TARGETS
0.0004802846	0.2331	0.2252	MODULE_297
0.0004802846	0.2331	0.2252	MODULE_357
0.0037320246	0.2135	0.2018	MODULE_154
0.0002321341	0.2130	0.3109	chryq11
0.0198905707	0.2106	0.3659	THIOLESTER_HYDROLASE_ACTIVITY
0.0232623505	0.2080	0.1960	AMIT_SERUM_RESPONSE_240_MCF10A
0.0002076465	0.2079	0.3999	chryp11
0.0148382007	0.2064	0.4323	REACTOME_GLYCOPROTEIN_HORMONES
0.0002091491	0.2033	0.1926	CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP
0.0011412422	0.1971	0.3191	chr9p22
0.0000144925	0.1962	0.3624	AMIT_EGF_RESPONSE_120_MCF10A
0.0012974975	0.1940	0.1831	LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT
0.0000000009	0.1917	0.3840	chr1q44
0.0021347399	0.1896	0.3665	REACTOME_REGULATION_OF_IFNA_SIGNALING
0.0034375172	0.1804	0.4422	chr13q21
0.0006529698	0.1790	0.3453	GNF2_EGFR
0.0016122350	0.1720	0.4531	MIPS_KINASE_MATURATION_COMPLEX_1
0.0104765313	0.1704	0.1534	RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_DN
0.0033609744	0.1702	0.3961	INTEGRIN_COMPLEX
0.0000584397	0.1649	0.4116	HEMATOPOIETIN_INTERFERON_CLASSD200_DOMAIN_CYTOKINE_RECEPTOR_BINDING
0.0000003281	0.1647	0.2177	chr14q32
0.0069066377	0.1639	0.2998	REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION
0.0201579031	0.1630	0.2377	DORN_ADENOVIRUS_INFECTION_32HR_DN
0.0141074387	0.1605	0.4040	MODULE_509
0.0000000000	0.1588	0.2575	REACTOME_GPCR_DOWNSTREAM_SIGNALING
0.0156367363	0.1586	0.2774	HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN
0.0140405849	0.1580	0.2000	AMIT_EGF_RESPONSE_240_HELA
0.0002619420	0.1573	0.3536	KEGG_REGULATION_OF_AUTOPHAGY
0.0241224429	0.1542	0.3582	MODULE_275
0.0234329651	0.1534	0.3967	MODULE_412
0.0051664612	0.1519	0.2352	chr4q13
0.0106771215	0.1515	0.3146	WONG_ENDMETRIUM_CANCER_UP
0.0010005637	0.1492	0.2137	CROMER_METASTASIS_DN
0.0013256735	0.1474	0.3580	GNF2_CDKN1C
