sampleID	D7.3_REACTOME-GLUCURONIDATION	D13.10_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D13.8_REACTOME-BETA-DEFENSINS	D11.10_RUNNE-GENDER-EFFECT-UP	D12.7_chr11q11	D9.1_MIPS-CF-IIAM-COMPLEX
TCGA-3L-AA1B-01A-11R-A37K-07	1.933233e-01	2.412188e-01	0	1.524847e-02	5.134531e-01	4.457604e+00
TCGA-4N-A93T-01A-11R-A37K-07	1.273444e+00	5.203209e-02	4.977471e-01	1.139786e-01	1.480093e-01	3.994831e+00
TCGA-4T-AA8H-01A-11R-A41B-07	1.312926e+00	8.368330e-02	7.557585e-01	0	6.133511e-01	3.445757e+00
TCGA-5M-AAT4-01A-11R-A41B-07	1.654697e-01	8.933127e-02	6.787440e-01	5.514891e-02	0	4.545973e+00
TCGA-5M-AAT5-01A-21R-A41B-07	7.161113e-01	6.340714e-02	4.190489e-01	0	4.375867e-01	4.555686e+00
TCGA-5M-AAT6-01A-11R-A41B-07	0	1.373584e-01	7.070669e-01	6.376471e-02	0	1.249389e+00
TCGA-5M-AATA-01A-31R-A41B-07	2.813476e-01	7.064783e-02	2.823385e-01	9.885986e-02	0	4.309975e+00
TCGA-5M-AATE-01A-11R-A41B-07	0	9.999918e-02	2.121105e-02	9.445162e-02	3.384455e-01	5.214351e+00
TCGA-A6-2671-11A-01R-A32Z-07	3.880986e+00	5.041386e-01	0	8.775909e-02	0	1.120574e+00
TCGA-A6-2675-11A-01R-1723-07	3.100378e+00	7.223614e-01	0	6.971385e-02	0	1.283918e+00
TCGA-A6-2675-01A-02R-1723-07	1.749453e+00	1.421823e-01	0	8.320973e-02	7.900231e-02	3.073831e+00
TCGA-A6-2678-11A-01R-A32Z-07	3.816047e+00	4.595103e-01	0	0	0	1.322637e+00
TCGA-A6-2679-11A-01R-A32Z-07	4.018945e+00	3.012312e-01	0	1.810556e-03	0	7.067944e-01
TCGA-A6-2680-11A-01R-A32Z-07	3.613695e+00	5.943165e-01	0	4.393955e-03	0	9.923101e-01
TCGA-A6-2682-11A-01R-A32Z-07	3.950277e+00	2.128363e-01	0	9.329362e-02	0	1.038024e+00
