pValue	topAUC	KSstat	GSname
0.0000000000	0.2359	0.6156	REACTOME_BETA_DEFENSINS
0.0000000000	0.2174	0.7161	chryp11
0.0103221556	0.2088	0.4663	KALMA_E2F1_TARGETS
0.0000000000	0.2015	0.5490	REACTOME_DEFENSINS
0.0026918553	0.1831	0.4652	MODULE_89
0.0010214277	0.1757	0.3933	KEGG_PROTEIN_EXPORT
0.0022852229	0.1746	0.2783	KEGG_FATTY_ACID_METABOLISM
0.0105031861	0.1676	0.2110	chr3q27
0.0079478114	0.1661	0.3516	MARIADASON_RESPONSE_TO_BUTYRATE_SULINDAC_4
0.0042321587	0.1602	0.4221	MODULE_203
0.0126358791	0.1598	0.4392	ALDO_KETO_REDUCTASE_ACTIVITY
0.0021596760	0.1545	0.4893	MODULE_412
0.0108491154	0.1508	0.3780	MODULE_90
0.0017896692	0.1424	0.4255	MODULE_552
0.0015583962	0.1393	0.4681	MAHADEVAN_GIST_MORPHOLOGICAL_SWITCH
0.0000000030	0.1375	0.2483	chr14q32
0.0096951853	0.1365	0.3175	XU_CREBBP_TARGETS_UP
0.0102304941	0.1212	0.4316	NEGATIVE_REGULATION_OF_DNA_REPLICATION
0.0000012553	0.1207	0.3845	REACTOME_PACKAGING_OF_TELOMERE_ENDS
0.0000318502	0.1172	0.2981	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE
0.0000000260	0.1172	0.3924	REACTOME_RNA_POL_I_PROMOTER_OPENING
0.0154237587	0.1154	0.2824	CHIARETTI_T_ALL_REFRACTORY_TO_THERAPY
0.0000000000	0.1152	0.5216	chryq11
0.0005993206	0.1118	0.3701	SCHLINGEMANN_SKIN_CARCINOGENESIS_TPA_DN
0.0017066116	0.1069	0.2778	chr15q14
0.0011446987	0.1064	0.2131	SCHUHMACHER_MYC_TARGETS_UP
0.0000616194	0.1053	0.2628	REACTOME_TELOMERE_MAINTENANCE
0.0139237960	0.1053	0.2902	KEGG_LINOLEIC_ACID_METABOLISM
0.0023965986	0.1048	0.1196	chr3p21
0.0069950657	0.1034	0.2190	CAR_IGFBP1
0.0125553502	0.1017	0.1888	REACTOME_MEIOTIC_SYNAPSIS
0.0047614747	0.1015	0.3256	VALK_AML_CLUSTER_1
0.0000004014	0.1014	0.3026	REACTOME_RNA_POL_I_TRANSCRIPTION
0.0047865618	0.1012	0.2437	CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_UP
0.0080661904	0.1007	0.4258	LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS
0.0029389773	0.0969	0.1512	MITOCHONDRIAL_PART
0.0018047796	0.0960	0.2600	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT
0.0065476549	0.0950	0.3850	HASLINGER_B_CLL_WITH_MUTATED_VH_GENES
0.0089881824	0.0947	0.1666	MITOCHONDRIAL_ENVELOPE
0.0072599441	0.0933	0.3324	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
0.0091818296	0.0930	0.2194	chr6p12
0.0000002170	0.0928	0.2612	REACTOME_RNA_POL_I_RNA_POL_III_AND_MITOCHONDRIAL_TRANSCRIPTION
0.0007763629	0.0926	0.3185	GNF2_ANP32B
0.0112321878	0.0922	0.3666	CELL_MATRIX_JUNCTION
0.0001804920	0.0917	0.3085	SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_DN
0.0068574622	0.0916	0.3157	OHM_METHYLATED_IN_ADULT_CANCERS
0.0000000003	0.0910	0.1164	MARTENS_TRETINOIN_RESPONSE_DN
0.0014745936	0.0906	0.2563	MENSSEN_MYC_TARGETS
0.0021227327	0.0902	0.3908	REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION
0.0103937947	0.0899	0.2936	ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_UP
