sampleID	D9.4_APPEL-IMATINIB-RESPONSE	D9.6_BIOCARTA-TCRA-PATHWAY	D9.2_ANASTASSIOU-CANCER-MESENCHYMAL-TRANSITION-SIGNATURE	D6.1_REACTOME-BETA-DEFENSINS
TCGA-FA-8693-01A-11R-2404-07	1.984583e+00	6.970240e-01	2.686971e+00	1.909871e+00
TCGA-FA-A4BB-01A-11R-A31O-07	6.487629e-01	1.681478e+00	4.984622e-01	2.865961e+00
TCGA-FA-A4XK-01A-11R-A31O-07	7.870937e-01	5.908474e-01	2.319105e+00	1.606875e+00
TCGA-FA-A6HN-01A-11R-A31O-07	1.390308e-01	2.541630e+00	0	3.473811e+00
TCGA-FA-A6HO-01A-11R-A31O-07	6.999271e-01	2.482013e+00	4.264721e-01	4.766673e+00
TCGA-FA-A7DS-01A-11R-A38C-07	1.270529e+00	6.107958e-01	1.104556e-01	4.631079e+00
TCGA-FA-A7Q1-01A-11R-A38C-07	0	1.636917e+00	3.011072e+00	2.376474e+00
TCGA-FA-A82F-01A-11R-A38C-07	1.025843e+00	7.697400e-01	2.178911e+00	3.466335e+00
TCGA-FA-A86F-01A-11R-A38C-07	3.442791e-01	2.172403e+00	3.247479e-01	3.978686e+00
TCGA-FF-8041-01A-11R-2213-07	2.178903e+00	6.509437e-01	7.330815e-01	6.617072e-01
TCGA-FF-8042-01A-11R-2213-07	2.166532e+00	3.799181e-01	2.691981e+00	3.219244e+00
TCGA-FF-8043-01A-11R-2213-07	8.906136e-01	9.659694e-01	2.179193e+00	1.858194e+00
TCGA-FF-8046-01A-11R-2213-07	4.782273e-01	1.312758e+00	1.879290e+00	3.794340e+00
TCGA-FF-8047-01A-11R-2213-07	1.759360e-01	1.647725e+00	1.463848e+00	5.494338e+00
TCGA-FF-8061-01A-11R-2213-07	8.166335e-01	6.254821e-01	2.929653e+00	2.760039e+00
TCGA-FF-8062-01A-11R-2213-07	4.317545e-01	1.649145e+00	1.700708e+00	2.391807e+00
TCGA-FF-A7CQ-01A-11R-A38C-07	2.132813e+00	5.344834e-01	0	4.496785e+00
TCGA-FF-A7CR-01A-11R-A38C-07	2.440387e+00	8.944339e-01	5.791081e-01	3.757140e+00
TCGA-FF-A7CW-01A-11R-A38C-07	2.709234e-01	1.875015e+00	4.698945e-02	5.556435e+00
TCGA-FF-A7CX-01A-12R-A38C-07	0	1.246637e+00	2.364877e+00	4.398664e+00
TCGA-FM-8000-01A-11R-2213-07	3.940812e-01	1.472207e+00	2.551332e+00	1.481500e+00
TCGA-G8-6324-01A-11R-2213-07	0	2.613728e+00	0	4.820210e+00
TCGA-G8-6325-01A-11R-2213-07	3.143849e+00	5.297296e-01	9.453092e-01	1.008676e+00
TCGA-G8-6326-01A-11R-2213-07	4.146352e+00	7.722833e-01	9.625254e-01	1.241927e+00
TCGA-G8-6906-01A-11R-2213-07	1.133434e+00	8.182381e-01	2.288139e+00	2.553716e+00
TCGA-G8-6907-01A-11R-2213-07	0	1.688528e+00	2.622769e+00	2.569608e+00
TCGA-G8-6909-01A-11R-2213-07	2.814728e+00	3.485538e-01	2.159978e-01	1.589665e+00
TCGA-G8-6914-01A-11R-2213-07	1.955033e+00	8.932744e-01	3.256443e+00	2.302832e+00
TCGA-GR-7351-01A-11R-2213-07	1.391082e+00	6.594062e-01	1.970013e+00	1.713095e+00
TCGA-GR-7353-01A-11R-2213-07	5.891119e-01	1.811270e+00	2.748739e+00	2.683062e+00
TCGA-GR-A4D4-01A-11R-A31O-07	2.151323e-01	1.818292e+00	3.781973e+00	1.285997e+00
TCGA-GR-A4D5-01A-11R-A31O-07	1.236387e+00	1.342113e+00	1.482643e+00	1.842485e+00
TCGA-GR-A4D6-01A-11R-A31O-07	0	2.288975e+00	1.359538e+00	4.556856e+00
TCGA-GR-A4D9-01B-11R-A31O-07	9.036688e-01	9.362581e-01	1.495455e+00	3.133771e+00
TCGA-GS-A9TQ-01A-11R-A38C-07	4.224593e-01	1.102098e+00	3.244004e+00	3.311514e+00
TCGA-GS-A9TT-01A-11R-A38C-07	6.830994e-01	1.112811e-01	1.290345e+00	3.923518e+00
TCGA-GS-A9TU-01A-11R-A38C-07	1.239910e+00	1.938123e+00	1.783540e+00	3.271219e+00
TCGA-GS-A9TV-01A-11R-A38C-07	2.727999e+00	1.592773e+00	3.089298e-01	2.007036e+00
TCGA-GS-A9TW-01A-11R-A38C-07	2.455779e+00	3.427978e-01	8.898349e-01	5.873016e-01
TCGA-GS-A9TX-01A-11R-A38C-07	0	2.545515e+00	9.835560e-01	3.179167e+00
TCGA-GS-A9TY-01A-11R-A39D-07	0	9.646196e-01	0	2.572580e+00
TCGA-GS-A9TZ-01A-11R-A39D-07	2.875178e+00	1.011632e+00	0	7.450202e-01
TCGA-GS-A9U3-01A-11R-A39D-07	1.486885e+00	1.877606e+00	1.796794e+00	2.617628e+00
TCGA-GS-A9U4-01A-11R-A39D-07	3.086789e+00	4.251931e-01	4.172660e-01	1.022858e+00
TCGA-RQ-A68N-01A-11R-A31O-07	1.861716e+00	3.844995e-01	9.158088e-01	3.195788e+00
TCGA-RQ-A6JB-01A-11R-A31O-07	1.710695e+00	7.612084e-01	3.340145e+00	8.543672e-01
TCGA-RQ-AAAT-01A-11R-A39D-07	0	4.592257e-01	7.056752e-01	3.781636e+00
TCGA-VB-A8QN-01A-11R-A38C-07	3.990537e-01	9.076115e-01	1.391400e+00	2.372231e+00
