pValue	topAUC	KSstat	GSname
0.0000008497	0.4822	0.6732	WEBER_METHYLATED_ICP_IN_SPERM_DN
0.0000000549	0.3914	0.6089	WEBER_METHYLATED_ICP_IN_FIBROBLAST
0.0018316828	0.3394	0.4949	WAGSCHAL_EHMT2_TARGETS_UP
0.0000551025	0.3122	0.5792	MODULE_89
0.0008431797	0.3001	0.3210	MEISSNER_BRAIN_HCP_WITH_H3_UNMETHYLATED
0.0003229835	0.2766	0.3599	chrxp21
0.0000000022	0.2751	0.5908	WEBER_METHYLATED_HCP_IN_SPERM_DN
0.0000353236	0.2731	0.5558	MODULE_203
0.0000000470	0.2683	0.4479	WEBER_METHYLATED_HCP_IN_FIBROBLAST_DN
0.0000000000	0.2620	0.6555	GNF2_MKI67
0.0000000005	0.2511	0.4338	REACTOME_RNA_POL_I_PROMOTER_OPENING
0.0157275193	0.2477	0.4298	BOYERINAS_ONCOFETAL_TARGETS_OF_LET7A1
0.0000466920	0.2416	0.3333	RICKMAN_HEAD_AND_NECK_CANCER_B
0.0000000000	0.2385	0.6263	ZHAN_MULTIPLE_MYELOMA_PR_UP
0.0010559507	0.2350	0.4528	MODULE_90
0.0101155169	0.2326	0.5412	WEBER_METHYLATED_ICP_IN_SPERM_UP
0.0002005339	0.2303	0.2090	chrxq28
0.0001281462	0.2281	0.4962	MODULE_552
0.0000000000	0.2228	0.4619	REACTOME_MEIOTIC_RECOMBINATION
0.0112268920	0.2211	0.3666	MODULE_534
0.0000000459	0.2164	0.5650	GNF2_BUB1
0.0000000002	0.2127	0.4157	KRCTCNNNNMANAGC_UNKNOWN
0.0000022964	0.2091	0.3765	REACTOME_PACKAGING_OF_TELOMERE_ENDS
0.0050805016	0.2072	0.2780	HATADA_METHYLATED_IN_LUNG_CANCER_DN
0.0057473602	0.2045	0.2751	chrxq24
0.0000099874	0.2040	0.2773	REACTOME_AMYLOIDS
0.0000000000	0.2018	0.5331	GNF2_CCNB2
0.0000000122	0.1994	0.5302	GNF2_SMC2L1
0.0000000000	0.1977	0.3659	REACTOME_MEIOSIS
0.0184206766	0.1975	0.1993	CAR_IGFBP1
0.0000000000	0.1963	0.5295	GNF2_CDC20
0.0000000000	0.1944	0.3936	REACTOME_RNA_POL_I_TRANSCRIPTION
0.0000000000	0.1908	0.5677	GNF2_CENPE
0.0148513820	0.1908	0.2241	ACCAATC,MIR-509
0.0000005917	0.1907	0.3252	REACTOME_MEIOTIC_SYNAPSIS
0.0000000001	0.1907	0.5749	GNF2_ESPL1
0.0000000000	0.1900	0.5936	GNF2_HMMR
0.0000000002	0.1850	0.4299	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE
0.0002488959	0.1831	0.1637	chrxp11
0.0014968780	0.1824	0.4098	MODULE_320
0.0000000000	0.1822	0.5545	GNF2_RRM2
0.0140840606	0.1809	0.3256	MODULE_168
0.0140840606	0.1809	0.3256	MODULE_222
0.0224889476	0.1800	0.1918	chrxq26
0.0000000557	0.1779	0.7077	FINETTI_BREAST_CANCER_KINOME_RED
0.0000000000	0.1767	0.4088	SU_TESTIS
0.0002628766	0.1752	0.6253	SCHLESINGER_METHYLATED_IN_COLON_CANCER
0.0000084876	0.1751	0.4981	MODULE_189
0.0000138182	0.1736	0.4700	WONG_ENDMETRIUM_CANCER_UP
0.0000000000	0.1690	0.5237	GNF2_CCNA2
