sampleID	D8.8_GNF2-SPRR1B	D7.4_MILICIC-FAMILIAL-ADENOMATOUS-POLYPOSIS-DN	D7.2_REACTOME-ENDOSOMAL-VACUOLAR-PATHWAY	D13.8_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D13.4_SINGH-NFE2L2-TARGETS	D14.13_WEBER-METHYLATED-ICP-IN-SPERM-DN	D13.11_GNF2-SPINK1	D13.3_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	D10.2_REACTOME-BETA-DEFENSINS
TCGA-2H-A9GF-01A-11R-A37I-31	0	1.285418e+00	3.660752e+00	1.614921e-01	1.557444e-01	5.013359e-01	1.476663e-01	1.366795e+00	5.378922e-02
TCGA-2H-A9GG-01A-11R-A37I-31	0	2.191383e+00	3.419093e+00	9.777456e-01	2.898374e-01	4.381184e-01	1.065266e+00	1.545167e+00	0
TCGA-2H-A9GH-01A-11R-A37I-31	1.396250e-01	1.035477e+00	4.231329e+00	7.256493e-01	6.368891e-01	1.931135e-02	8.970378e-01	1.304295e+00	0
TCGA-2H-A9GI-01A-11R-A37I-31	1.158409e-02	4.900329e-01	4.894424e+00	6.571408e-01	2.852133e-01	0	1.054949e-01	2.249680e+00	7.468272e-02
TCGA-2H-A9GJ-01A-11R-A37I-31	0	6.821315e-01	3.767054e+00	2.909962e-01	4.034283e-01	9.277243e-01	9.473189e-01	2.051948e+00	2.454777e-02
TCGA-2H-A9GK-01A-11R-A37I-31	0	1.318684e+00	3.962450e+00	1.397495e+00	5.777241e-01	0	8.142032e-01	1.414587e+00	7.795253e-01
TCGA-2H-A9GL-01A-12R-A37I-31	0	1.964420e+00	3.733988e+00	1.038098e+00	4.529206e-01	1.879452e-01	5.697290e-01	1.187043e+00	0
TCGA-2H-A9GM-01A-11R-A37I-31	7.360786e-01	1.047224e+00	3.861067e+00	5.968017e-01	5.531919e-01	1.788466e-01	2.834949e-01	1.640382e+00	1.539701e+00
TCGA-2H-A9GN-01A-11R-A37I-31	0	1.153997e+00	4.413872e+00	2.524236e-01	0	4.786453e-01	2.454812e-02	1.542302e+00	4.796302e-01
TCGA-2H-A9GO-01A-11R-A37I-31	0	3.756528e-01	2.761182e+00	2.912345e-01	0	5.978957e-01	1.621144e+00	2.350487e+00	2.855149e-01
TCGA-2H-A9GQ-01A-11R-A37I-31	0	1.471667e+00	9.876054e-01	0	0	1.080830e+00	1.435187e-01	1.345461e+00	5.777060e-01
TCGA-2H-A9GR-01A-12R-A37I-31	0	1.626974e+00	4.088416e+00	1.067603e+00	4.247905e-01	0	1.062649e+00	1.576458e+00	0
TCGA-IC-A6RE-11A-12R-A336-31	2.025118e+00	1.358990e+00	6.730045e-02	3.776758e-01	9.182718e-01	0	0	2.560808e+00	1.585505e-01
TCGA-IC-A6RE-01A-11R-A336-31	1.650025e-01	1.752701e+00	4.241843e+00	1.172227e+00	4.389454e-01	1.324803e-01	8.396291e-01	1.886000e+00	0
TCGA-IC-A6RF-11A-21R-A336-31	1.517888e+00	1.138976e+00	0	0	1.535004e+00	0	0	2.531613e+00	1.330534e+00
TCGA-IC-A6RF-01A-13R-A336-31	9.761230e-01	9.112431e-01	5.134215e-01	8.651620e-01	8.396465e-01	0	0	1.935199e+00	2.508428e+00
TCGA-IG-A3I8-11A-11R-A24K-31	1.027683e-02	3.900395e+00	0	0	0	0	2.872263e-02	3.456855e+00	6.140715e-01
TCGA-IG-A3I8-01A-11R-A24K-31	2.877453e-01	1.423170e+00	2.947889e-01	3.044098e-01	1.025624e+00	0	0	8.250081e-01	1.768405e+00
TCGA-IG-A3QL-01A-11R-A24K-31	4.771807e-02	8.794079e-01	0	0	2.548799e+00	0	0	1.687600e+00	2.837648e+00
TCGA-IG-A3Y9-01A-12R-A24K-31	6.265744e-01	1.503861e+00	4.746914e-01	4.795350e-01	8.547858e-01	0	0	1.297471e+00	4.421102e+00
TCGA-IG-A3YA-01A-11R-A24K-31	5.719181e-01	2.523925e+00	7.061943e-01	1.221320e+00	1.661038e+00	0	0	8.624222e-01	1.315594e+00
TCGA-IG-A3YB-01A-11R-A36D-31	3.172022e-01	2.162918e+00	1.173178e-02	5.948415e-01	1.273865e+00	0	0	1.920251e+00	1.220238e+00
TCGA-IG-A3YC-01A-11R-A24K-31	1.028205e+00	1.841062e+00	1.232487e+00	1.699362e+00	8.758471e-01	0	2.351035e-01	8.044769e-01	1.932874e+00
TCGA-IG-A4P3-01A-11R-A260-31	9.803482e-01	1.716502e+00	1.356514e+00	1.773502e+00	1.907941e+00	0	0	7.150082e-01	6.711623e-01
TCGA-IG-A4QS-01A-11R-A260-31	5.920391e-01	5.405952e-01	4.256278e+00	7.456366e-01	5.890084e-01	0	2.104215e-01	2.199690e+00	7.059135e-01
TCGA-IG-A4QT-01A-21R-A260-31	0	2.622199e+00	1.004026e+00	2.457542e+00	1.312108e-02	0	0	3.033046e+00	0
TCGA-IG-A50L-01A-11R-A260-31	0	1.283841e+00	0	2.433781e-01	1.867979e+00	4.898927e-02	0	1.253922e+00	3.745939e+00
TCGA-IG-A51D-01A-11R-A36D-31	3.744795e-01	1.354385e+00	4.072006e-01	8.884077e-01	5.125238e-01	1.738255e-01	0	1.567226e+00	3.486460e+00
TCGA-IG-A5B8-01A-11R-A28J-31	8.025136e-01	1.341873e-02	3.458802e-01	2.418128e-01	0	5.844236e-02	0	2.449558e+00	4.712727e+00
TCGA-IG-A5S3-01A-11R-A28J-31	9.837540e-01	2.128356e+00	6.540849e-01	9.237453e-01	4.503595e-01	0	0	7.391306e-01	0
TCGA-IG-A625-01A-11R-A31P-31	6.363857e-01	1.803634e+00	1.845379e-01	7.813851e-01	2.859214e+00	0	0	1.173797e+00	5.169006e-01
TCGA-IG-A6QS-01A-12R-A336-31	1.777931e-02	6.573691e-01	3.480637e-02	8.842464e-01	2.759420e-01	0	0	2.397843e+00	4.646615e+00
TCGA-IG-A7DP-01A-31R-A336-31	0	2.846154e+00	3.004455e+00	2.384491e+00	2.363144e-01	0	2.058138e-01	1.674452e+00	0
TCGA-IG-A8O2-01A-11R-A36D-31	1.221789e-01	1.263985e+00	3.588063e-01	9.103879e-01	2.719785e+00	0	0	2.345226e+00	2.651284e-01
TCGA-IG-A97H-01A-11R-A38D-31	1.139054e-01	6.179597e-01	4.897353e-01	7.648389e-01	9.004705e-01	0	4.752777e-02	1.575512e+00	4.432325e+00
TCGA-IG-A97I-01A-11R-A38D-31	3.033839e-01	1.181013e+00	5.932736e-01	5.423732e-01	1.480501e+00	0	0	9.318537e-01	3.292722e+00
TCGA-JY-A6F8-01A-11R-A336-31	0	0	3.122349e+00	0	1.665988e-01	0	1.250248e+00	3.229610e+00	0
TCGA-JY-A6FA-01A-11R-A336-31	7.570955e-01	4.313870e-01	3.367692e-01	1.334034e-01	2.395964e+00	1.047343e-01	0	1.727089e+00	1.373920e+00
TCGA-JY-A6FB-01A-11R-A336-31	0	6.257440e-01	3.916394e+00	1.487595e-01	2.935952e-01	0	9.236914e-01	2.212193e+00	0
