pValue	topAUC	KSstat	GSname
0.0000029606	0.3529	0.3770	GCM_AQP4
0.0001935754	0.2814	0.4991	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM
0.0103862325	0.2679	0.4310	PEROXISOMAL_MEMBRANE
0.0103862325	0.2679	0.4310	MICROBODY_MEMBRANE
0.0187044479	0.2487	0.3925	PEROXISOMAL_PART
0.0187044479	0.2487	0.3925	MICROBODY_PART
0.0043093486	0.2298	0.5248	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE
0.0075563438	0.2238	0.5012	KEGG_LIMONENE_AND_PINENE_DEGRADATION
0.0000000000	0.1983	0.2043	CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2
0.0052497603	0.1915	0.4748	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE
0.0004003466	0.1863	0.2952	MICROBODY
0.0004003466	0.1863	0.2952	PEROXISOME
0.0034316682	0.1817	0.2431	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_DN
0.0000276056	0.1817	0.5782	FINETTI_BREAST_CANCERS_KINOME_GRAY
0.0000000061	0.1797	0.3854	GCM_ERBB2IP
0.0002172434	0.1792	0.3154	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
0.0019615689	0.1789	0.3210	KEGG_PROPANOATE_METABOLISM
0.0028276838	0.1766	0.3224	MODULE_221
0.0084399693	0.1740	0.4392	CONRAD_GERMLINE_STEM_CELL
0.0059731025	0.1680	0.3086	MODULE_184
0.0117653668	0.1645	0.5057	INTERCALATED_DISC
0.0000106605	0.1633	0.4226	GCM_CSNK1D
0.0000053966	0.1624	0.1370	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN
0.0007878659	0.1566	0.2211	KEGG_PEROXISOME
0.0000443412	0.1526	0.1421	LU_AGING_BRAIN_UP
0.0166442264	0.1502	0.3133	FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_UP
0.0000000000	0.1450	0.4085	GCM_RAB10
0.0154709184	0.1440	0.5200	WEBER_METHYLATED_ICP_IN_SPERM_UP
0.0185341896	0.1423	0.2340	chr7p13
0.0051946681	0.1394	0.4151	REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE
0.0205543382	0.1370	0.3885	ZHOU_PANCREATIC_ENDOCRINE_PROGENITOR
0.0000000004	0.1336	0.3606	GCM_BMPR2
0.0000008042	0.1310	0.4386	GCM_CSNK1A1
0.0171883222	0.1284	0.4259	BIOCARTA_VDR_PATHWAY
0.0004226284	0.1280	0.5072	ZHANG_GATA6_TARGETS_UP
0.0000000008	0.1269	0.2493	GCM_MAP4K4
0.0177253196	0.1253	0.3502	GAVIN_IL2_RESPONSIVE_FOXP3_TARGETS_UP
0.0000029562	0.1219	0.3655	DOANE_BREAST_CANCER_ESR1_DN
0.0000000000	0.1188	0.2643	GCM_RAN
0.0184247695	0.1183	0.4072	GHO_ATF5_TARGETS_UP
0.0093058552	0.1161	0.4708	MIPS_MULTISYNTHETASE_COMPLEX
0.0000000000	0.1154	0.3463	GCM_GSPT1
0.0000001653	0.1147	0.3751	GCM_NUMA1
0.0003723257	0.1141	0.3060	GCM_DDX11
0.0000000000	0.1136	0.4304	GCM_SUFU
0.0084783970	0.1135	0.2731	chr4q25
0.0000047828	0.1115	0.3011	GCM_USP6
0.0029913740	0.1114	0.4469	MODULE_563
0.0155783372	0.1106	0.2356	chrxq21
0.0019039767	0.1102	0.3431	MODULE_330
