sampleID	D9.8_REACTOME-GABA-A-RECEPTOR-ACTIVATION	D8.3_GNF2-BUB1	D9.4_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	D9.2_GCM-AQP4	D6.3_GNF2-CDH11
TCGA-02-0047-01A-01R-1849-01	6.649203e-01	1.610815e+00	5.032917e-01	2.058790e+00	1.901289e+00
TCGA-02-0055-01A-01R-1849-01	5.079648e-01	0	1.210685e+00	7.225177e-01	3.028535e+00
TCGA-02-2483-01A-01R-1849-01	2.029695e-01	2.570367e+00	1.317112e+00	7.715280e-01	1.683653e+00
TCGA-02-2485-01A-01R-1849-01	7.142748e-01	1.268306e+00	6.087691e-01	2.276175e+00	6.413742e-01
TCGA-02-2486-01A-01R-1849-01	0	0	1.336286e+00	2.205023e+00	2.156750e+00
TCGA-06-0125-01A-01R-1849-01	4.792643e-01	1.126920e+00	4.886645e-01	1.127575e+00	8.702677e-01
TCGA-06-0125-02A-11R-2005-01	7.477093e-01	5.295676e-01	3.092106e-01	1.822956e+00	1.728711e+00
TCGA-06-0129-01A-01R-1849-01	9.293241e-02	2.554911e+00	4.297196e-01	2.388508e+00	1.793855e+00
TCGA-06-0130-01A-01R-1849-01	0	0	7.817668e-01	1.050422e+00	3.412560e+00
TCGA-06-0132-01A-02R-1849-01	1.258235e+00	2.482881e-02	1.073050e+00	2.107183e+00	1.427905e+00
TCGA-06-0138-01A-02R-1849-01	5.308737e-01	1.361216e+00	1.447313e+00	1.893316e+00	1.112422e+00
TCGA-06-0141-01A-01R-1849-01	4.888123e-01	1.885164e-01	1.199328e+00	1.908764e+00	1.886539e+00
TCGA-06-0152-02A-01R-2005-01	8.418596e-01	8.393806e-01	4.475150e-01	6.828445e-01	1.195410e+00
TCGA-06-0156-01A-03R-1849-01	2.543787e-01	1.831187e+00	1.108549e+00	2.221769e+00	1.971590e+00
TCGA-06-0157-01A-01R-1849-01	2.982951e-01	1.400410e+00	6.274768e-01	2.325015e+00	1.011018e+00
TCGA-06-0158-01A-01R-1849-01	5.727354e-01	9.880947e-01	3.996282e-01	1.942090e+00	1.277195e+00
TCGA-06-0168-01A-01R-1849-01	9.161566e-01	3.173911e-01	7.440553e-01	2.112330e+00	1.463941e+00
TCGA-06-0171-02A-11R-2005-01	3.328897e-01	0	3.270971e-01	1.899155e+00	3.263431e+00
TCGA-06-0174-01A-01R-1849-01	4.805073e-01	2.684710e+00	1.049438e+00	7.085802e-01	1.203205e+00
TCGA-06-0178-01A-01R-1849-01	2.229946e-01	2.024007e+00	2.336176e+00	2.004735e+00	9.924268e-01
TCGA-06-0184-01A-01R-1849-01	1.958699e-01	3.955919e-02	1.248403e+00	1.464533e+00	1.544937e+00
TCGA-06-0187-01A-01R-1849-01	0	6.483337e-01	6.603366e-01	1.976648e+00	1.199811e+00
TCGA-06-0190-01A-01R-1849-01	1.699809e-01	7.511938e-01	8.755785e-01	6.479408e-01	2.385688e+00
TCGA-06-0190-02A-01R-2005-01	0	0	6.602383e-01	3.903602e-01	3.643014e+00
TCGA-06-0210-01A-01R-1849-01	6.273132e-02	6.555623e-01	1.093117e+00	8.323033e-01	1.862002e+00
TCGA-06-0210-02A-01R-2005-01	0	1.436350e+00	6.270311e-01	1.634430e+00	2.421949e+00
TCGA-06-0211-01B-01R-1849-01	6.699550e-01	9.684535e-01	9.179030e-01	7.382404e-01	2.642985e-01
TCGA-06-0211-02A-02R-2005-01	4.862257e-01	1.096185e+00	1.093843e+00	7.541199e-01	1.332488e+00
TCGA-06-0219-01A-01R-1849-01	7.630560e-01	3.818088e-01	2.183725e+00	1.907259e+00	2.363641e-01
TCGA-06-0221-02A-11R-2005-01	1.392316e+00	1.507970e+00	1.799703e-01	1.887722e+00	1.180777e+00
TCGA-06-0238-01A-02R-1849-01	6.862509e-01	1.939817e+00	1.499570e+00	1.695598e+00	1.403933e+00
TCGA-06-0644-01A-02R-1849-01	0	0	1.162960e+00	1.870210e-01	2.725972e+00
TCGA-06-0645-01A-01R-1849-01	4.240212e-01	9.864670e-01	9.125503e-01	9.258816e-01	1.963972e+00
TCGA-06-0646-01A-01R-1849-01	4.339393e-01	1.673773e+00	5.794439e-01	1.682477e+00	1.789222e+00
TCGA-06-0649-01B-01R-1849-01	3.426408e-01	8.970412e-01	8.396942e-01	3.129958e+00	2.031117e+00
TCGA-06-0675-11A-32R-A36H-07	2.293518e+00	0	3.109820e-01	2.053051e+00	4.217014e-01
TCGA-06-0678-11A-32R-A36H-07	2.205626e+00	0	3.934684e-01	1.471338e+00	5.222350e-01
TCGA-06-0680-11A-32R-A36H-07	2.341685e+00	0	2.776642e-01	2.050267e+00	2.993352e-01
TCGA-06-0681-11A-41R-A36H-07	2.218328e+00	0	5.548471e-01	1.709394e+00	3.593124e-01
TCGA-06-0686-01A-01R-1849-01	5.567961e-01	2.335434e+00	1.155180e+00	7.236642e-01	1.497247e+00
TCGA-06-0743-01A-01R-1849-01	4.095879e-01	8.300452e-01	7.853100e-01	2.448368e+00	7.870422e-01
TCGA-06-0744-01A-01R-1849-01	5.306294e-01	1.171926e+00	1.114834e+00	1.244380e+00	4.825519e-01
TCGA-06-0745-01A-01R-1849-01	7.553032e-02	1.858530e+00	1.570153e+00	7.702181e-01	1.035681e+00
TCGA-06-0747-01A-01R-1849-01	6.100661e-01	4.531086e-01	6.071185e-01	1.619170e+00	6.441220e-01
TCGA-06-0749-01A-01R-1849-01	1.204537e+00	2.289168e-01	1.115164e+00	2.561267e+00	6.357759e-01
TCGA-06-0750-01A-01R-1849-01	2.949712e-01	8.153694e-01	1.126185e+00	1.471289e+00	1.606510e+00
TCGA-06-0878-01A-01R-1849-01	1.442337e-01	3.841968e-01	7.155919e-01	1.492375e+00	1.555912e+00
TCGA-06-0882-01A-01R-1849-01	8.928002e-01	1.441449e-01	7.372748e-01	1.945291e+00	1.216952e+00
TCGA-06-1804-01A-01R-1849-01	8.443489e-01	3.857739e-01	0	3.746499e+00	1.106305e+00
TCGA-06-2557-01A-01R-1849-01	3.109165e-01	9.697136e-01	5.809529e-01	1.960102e+00	1.515905e+00
TCGA-06-2558-01A-01R-1849-01	6.871694e-01	1.940015e+00	1.006421e+00	1.698617e+00	1.362239e+00
TCGA-06-2559-01A-01R-1849-01	4.473286e-01	1.897042e+00	8.011769e-01	1.116507e+00	1.374304e+00
TCGA-06-2561-01A-02R-1849-01	9.008837e-01	1.027143e-01	6.136355e-01	2.231856e+00	1.115725e+00
TCGA-06-2562-01A-01R-1849-01	7.492863e-01	3.539480e-01	8.209342e-01	5.357819e-01	1.244654e+00
TCGA-06-2563-01A-01R-1849-01	7.795366e-01	4.897875e-02	8.776240e-01	6.883188e-01	1.619396e-01
TCGA-06-2564-01A-01R-1849-01	4.567896e-01	8.150887e-01	5.661329e-01	1.419845e+00	1.139959e+00
TCGA-06-2565-01A-01R-1849-01	3.528163e-01	9.181536e-01	5.749936e-01	1.270739e+00	7.850164e-01
TCGA-06-2567-01A-01R-1849-01	4.072872e-01	5.405509e-01	4.324312e-01	3.421899e+00	1.749968e+00
TCGA-06-2569-01A-01R-1849-01	2.688171e-01	0	6.908189e-01	1.208904e+00	2.751256e+00
TCGA-06-2570-01A-01R-1849-01	3.752981e-01	2.486451e+00	8.049749e-01	1.388160e+00	1.795348e+00
TCGA-06-5408-01A-01R-1849-01	4.031624e-01	1.239879e+00	7.796829e-01	1.497688e+00	1.020330e+00
TCGA-06-5410-01A-01R-1849-01	4.328387e-01	0	1.224336e+00	1.026091e+00	2.411562e+00
TCGA-06-5411-01A-01R-1849-01	1.358016e+00	9.321936e-01	1.322752e+00	1.333477e+00	8.613449e-01
TCGA-06-5412-01A-01R-1849-01	4.426011e-01	0	1.217738e+00	1.114427e+00	1.534089e+00
TCGA-06-5413-01A-01R-1849-01	1.978036e-01	1.645661e+00	1.216781e+00	1.964005e+00	1.443542e+00
TCGA-06-5414-01A-01R-1849-01	0	5.679194e-01	9.817997e-01	7.031737e-01	1.103814e+00
TCGA-06-5415-01A-01R-1849-01	8.982366e-01	8.251030e-01	8.579540e-01	1.820523e+00	3.749367e-01
TCGA-06-5416-01A-01R-1849-01	4.443388e-01	2.342901e+00	1.495448e+00	8.332123e-01	1.177867e+00
TCGA-06-5417-01A-01R-1849-01	0	2.026218e+00	1.040228e+00	3.067081e+00	1.132603e+00
TCGA-06-5418-01A-01R-1849-01	1.052523e-01	8.312713e-01	1.225911e+00	1.137117e+00	1.106055e+00
TCGA-06-5856-01A-01R-1849-01	3.987266e-01	1.403819e+00	9.413613e-01	1.831911e+00	1.180006e+00
TCGA-06-5858-01A-01R-1849-01	0	9.496935e-01	6.546825e-01	1.904619e+00	2.084076e+00
TCGA-06-5859-01A-01R-1849-01	2.092659e-01	8.121682e-01	7.041015e-01	3.884647e+00	1.296056e+00
TCGA-06-AABW-11A-31R-A36H-07	1.521657e+00	0	5.659300e-01	2.123883e+00	7.520923e-01
TCGA-08-0386-01A-01R-1849-01	6.856129e-01	9.346813e-01	4.016357e-01	2.874609e+00	1.284614e+00
TCGA-12-0616-01A-01R-1849-01	1.982212e-01	2.072701e+00	1.520599e+00	1.160774e+00	1.157033e+00
TCGA-12-0618-01A-01R-1849-01	5.922897e-01	2.710650e+00	8.531222e-01	1.641816e+00	1.368563e+00
TCGA-12-0619-01A-01R-1849-01	6.566810e-02	9.439620e-01	5.303736e-01	1.967836e+00	2.399319e+00
TCGA-12-0821-01A-01R-1849-01	5.832785e-01	1.061519e+00	9.794244e-01	2.520312e+00	1.012310e+00
