pValue	topAUC	KSstat	GSname
0.0000000000	0.9537	0.9844	CORNIFIED_ENVELOPE
0.0000000000	0.9399	0.9679	GNF2_SPRR1B
0.0000000002	0.8098	0.8404	KERATINOCYTE_DIFFERENTIATION
0.0000000000	0.5704	0.6062	BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE
0.0000955571	0.5642	0.5649	OVULATION_CYCLE
0.0000014552	0.5561	0.7072	JI_CARCINOGENESIS_BY_KRAS_AND_STK11_UP
0.0000000000	0.5493	0.5801	WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_DN
0.0002473672	0.5457	0.5390	EMBRYO_IMPLANTATION
0.0000000000	0.5137	0.5512	HUPER_BREAST_BASAL_VS_LUMINAL_UP
0.0000259284	0.5011	0.5335	HUMMERICH_BENIGN_SKIN_TUMOR_UP
0.0000000086	0.4908	0.5197	MODULE_153
0.0000005045	0.4831	0.5844	SINGH_KRAS_DEPENDENCY_SIGNATURE_
0.0003858588	0.4829	0.5873	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS
0.0017825192	0.4822	0.5593	EPITHELIAL_CELL_DIFFERENTIATION
0.0000045793	0.4661	0.4814	MODULE_68
0.0000045793	0.4661	0.4814	MODULE_298
0.0000000007	0.4583	0.6073	GNF2_SERPINB5
0.0000000000	0.4534	0.4783	EPIDERMIS_DEVELOPMENT
0.0000000000	0.4492	0.4741	ONDER_CDH1_TARGETS_3_DN
0.0000000000	0.4484	0.5015	JAEGER_METASTASIS_DN
0.0000000000	0.4420	0.4697	ECTODERM_DEVELOPMENT
0.0000162042	0.4420	0.4855	HINATA_NFKB_TARGETS_KERATINOCYTE_DN
0.0000000000	0.4400	0.5093	RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_DN
0.0000004144	0.4334	0.5311	WANG_BARRETTS_ESOPHAGUS_DN
0.0000000000	0.4306	0.4348	RICKMAN_HEAD_AND_NECK_CANCER_C
0.0000000000	0.4199	0.4216	RICKMAN_HEAD_AND_NECK_CANCER_E
0.0000000368	0.4139	0.5584	GNF2_CDH3
0.0000002090	0.4025	0.4747	AIGNER_ZEB1_TARGETS
0.0000465737	0.4000	0.4303	DAZARD_UV_RESPONSE_CLUSTER_G24
0.0000000000	0.3957	0.4262	LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT
0.0000000000	0.3762	0.4256	CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP
0.0000000001	0.3567	0.3787	MODULE_297
0.0000000001	0.3567	0.3787	MODULE_357
0.0000000000	0.3497	0.4585	RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_DN
0.0011959348	0.3474	0.3976	ROY_WOUND_BLOOD_VESSEL_DN
0.0142752120	0.3459	0.4963	THILLAINADESAN_ZNF217_TARGETS_DN
0.0000087916	0.3457	0.3406	CROMER_TUMORIGENESIS_DN
0.0132163694	0.3457	0.3708	AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
0.0000000016	0.3448	0.3687	MODULE_154
0.0098461606	0.3358	0.3926	MORPHOGENESIS_OF_AN_EPITHELIUM
0.0063496448	0.3129	0.3070	PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_DN
0.0040831922	0.3064	0.3489	INTERMEDIATE_FILAMENT_CYTOSKELETON
0.0040831922	0.3064	0.3489	INTERMEDIATE_FILAMENT
0.0000296014	0.2926	0.2876	CHANG_IMMORTALIZED_BY_HPV31_DN
0.0095313097	0.2864	0.3458	REACTOME_ACYL_CHAIN_REMODELLING_OF_PE
0.0000000017	0.2854	0.2715	KRAS.LUNG_UP.V1_DN
0.0000000000	0.2836	0.3237	ONDER_CDH1_TARGETS_2_DN
0.0000000020	0.2800	0.2713	TISSUE_DEVELOPMENT
0.0000000000	0.2798	0.3195	COLDREN_GEFITINIB_RESISTANCE_DN
0.0009719528	0.2763	0.2795	KRAS.50_UP.V1_DN
