sampleID	D12.10_GNF2-TTN	D12.11_RICKMAN-HEAD-AND-NECK-CANCER-D	D11.2_MOSERLE-IFNA-RESPONSE	D7.4_CORNIFIED-ENVELOPE	D12.5_FARMER-BREAST-CANCER-CLUSTER-5	D16.16_WEBER-METHYLATED-ICP-IN-SPERM-UP	D17.14_SINGH-NFE2L2-TARGETS	D14.8_GNF2-SPRR1B	D14.10_RUNNE-GENDER-EFFECT-UP	D10.2_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC	D9.2_GNF2-CDH3
TCGA-4P-AA8J-01A-11R-A39I-07	5.460109e-01	1.159304e-01	1.588489e+00	3.886908e-01	1.257171e+00	6.649377e-01	3.667819e-02	6.159557e-02	1.734987e-01	2.658513e+00	3.140987e+00
TCGA-BA-4074-01A-01R-1436-07	1.814913e-01	9.092325e-02	1.351643e+00	1.163347e-01	7.409409e-01	2.205951e-01	2.349399e-01	0	0	2.569855e+00	3.487103e+00
TCGA-BA-4075-01A-01R-1436-07	3.254655e-01	1.669011e-01	1.213698e+00	1.382417e-01	5.164818e-01	3.570664e-01	3.405460e-01	0	0	2.416566e+00	3.884042e+00
TCGA-BA-4076-01A-01R-1436-07	0	0	7.995660e-01	9.839859e-01	5.435414e-01	9.185845e-01	1.762642e-01	2.843533e-01	1.276916e-01	1.845630e+00	3.754308e+00
TCGA-BA-4077-01B-01R-1436-07	2.530019e-01	1.839453e-01	2.042309e+00	6.774515e-01	6.641159e-01	5.734274e-01	2.555034e-01	3.373088e-01	5.636708e-01	1.551611e+00	2.724476e+00
TCGA-BA-4078-01A-01R-1436-07	4.547076e-02	0	9.848803e-01	0	1.821182e+00	0	8.956961e-01	0	7.302031e-01	1.851299e+00	1.830217e+00
TCGA-BA-5149-01A-01R-1514-07	2.860126e-01	0	1.631264e+00	5.406174e-01	5.331522e-01	0	0	0	0	1.133345e+00	4.542679e+00
TCGA-BA-5151-01A-01R-1436-07	0	0	1.830633e+00	1.270425e+00	8.121252e-01	0	7.590912e-02	3.351238e-01	0	1.045535e+00	3.917632e+00
TCGA-BA-5152-01A-02R-1873-07	0	0	2.136486e+00	1.073117e+00	5.835727e-01	6.379873e-01	9.108482e-02	7.636446e-01	3.726493e-02	1.995424e+00	2.860731e+00
TCGA-BA-5153-01A-01R-1436-07	0	0	1.520666e+00	2.297281e-01	1.121297e+00	0	0	3.138961e-01	2.085974e+00	1.159126e+00	9.764433e-01
TCGA-BA-5555-01A-01R-1514-07	0	7.994135e-01	1.668350e+00	5.020166e-01	5.430103e-01	0	4.181788e-01	1.557687e-01	0	1.641217e+00	2.432397e+00
TCGA-BA-5556-01A-01R-1514-07	0	1.789283e-01	2.588847e+00	1.234665e+00	4.762604e-01	0	4.968868e-02	6.230461e-01	0	1.162688e+00	3.318262e+00
TCGA-BA-5557-01A-01R-1514-07	6.853183e-02	0	1.575325e+00	1.337664e+00	1.390340e+00	0	0	5.594755e-01	0	1.699843e+00	3.711508e+00
