pValue	topAUC	KSstat	GSname
0.0170593366	0.3154	0.3193	MODULE_310
0.0000000000	0.2514	0.6878	chr11q11
0.0001979513	0.2458	0.5282	SU_KIDNEY
0.0000000000	0.2390	0.6148	REACTOME_BETA_DEFENSINS
0.0126276285	0.2144	0.3222	REACTOME_GLUTATHIONE_CONJUGATION
0.0217456653	0.2053	0.4154	ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_UP
0.0000926557	0.2036	0.2932	chr6q21
0.0000000000	0.2032	0.5607	REACTOME_DEFENSINS
0.0000006515	0.1824	0.2688	chr1p13
0.0187700700	0.1823	0.3309	GLUTAMATE_RECEPTOR_ACTIVITY
0.0178561505	0.1808	0.4085	REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT
0.0212636060	0.1693	0.3189	COFACTOR_BIOSYNTHETIC_PROCESS
0.0000000000	0.1605	0.6461	REACTOME_OLFACTORY_SIGNALING_PATHWAY
0.0004375072	0.1592	0.3837	REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS
0.0000000000	0.1497	0.5963	KEGG_OLFACTORY_TRANSDUCTION
0.0149918343	0.1484	0.4319	ITO_PTTG1_TARGETS_UP
0.0086134574	0.1460	0.4234	INAMURA_LUNG_CANCER_SCC_DN
0.0186445757	0.1450	0.3580	LOPEZ_EPITHELIOID_MESOTHELIOMA
0.0117533086	0.1434	0.3470	VILIMAS_NOTCH1_TARGETS_DN
0.0069515924	0.1401	0.3046	chr17q22
0.0000000547	0.1389	0.5521	chryp11
0.0034907092	0.1366	0.4164	REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS
0.0041812806	0.1359	0.2231	chr6q22
0.0156580451	0.1313	0.3998	LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS
0.0002676337	0.1290	0.3812	PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_6
0.0025202699	0.1261	0.3950	BIOCARTA_AMI_PATHWAY
0.0151968698	0.1228	0.5209	YANG_BCL3_TARGETS_DN
0.0004530355	0.1228	0.4903	EXTERNAL_SIDE_OF_PLASMA_MEMBRANE
0.0038770808	0.1221	0.4250	PEROXISOME_ORGANIZATION_AND_BIOGENESIS
0.0210300205	0.1209	0.2605	KEGG_PROPANOATE_METABOLISM
0.0000000168	0.1182	0.3566	chr1q44
0.0000062375	0.1180	0.2940	KEGG_DRUG_METABOLISM_CYTOCHROME_P450
0.0024069974	0.1180	0.2088	chr1p22
0.0028816584	0.1177	0.3074	CALCIUM_CHANNEL_ACTIVITY
0.0001626716	0.1170	0.3239	PID_INTEGRIN3_PATHWAY
0.0002005790	0.1169	0.4730	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE
0.0000290320	0.1157	0.2858	VOLTAGE_GATED_CATION_CHANNEL_ACTIVITY
0.0002059039	0.1154	0.3804	RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_DN
0.0000007305	0.1145	0.3219	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450
0.0148548437	0.1137	0.5221	FUJIWARA_PARK2_HEPATOCYTE_PROLIFERATION_DN
0.0000008582	0.1137	0.2251	RODWELL_AGING_KIDNEY_DN
0.0000002839	0.1134	0.5794	NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON
0.0005244847	0.1130	0.4279	GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_UP
0.0022960783	0.1123	0.2055	chr1p32
0.0044773938	0.1114	0.2336	COFACTOR_METABOLIC_PROCESS
0.0005969667	0.1114	0.2744	REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS
0.0117734253	0.1110	0.2577	LANDIS_ERBB2_BREAST_TUMORS_65_DN
0.0000002228	0.1103	0.2305	RODWELL_AGING_KIDNEY_NO_BLOOD_DN
0.0149531322	0.1095	0.4941	REACTOME_PROSTANOID_LIGAND_RECEPTORS
0.0041910355	0.1095	0.5520	HAEGERSTRAND_RESPONSE_TO_IMATINIB
