sampleID	D7.7_REACTOME-ORGANIC-CATION-ANION-ZWITTERION-TRANSPORT	D8.5_CHASSOT-SKIN-WOUND	D12.6_MODULE-310	D10.6_FARMER-BREAST-CANCER-CLUSTER-5	D5.1_REACTOME-INSULIN-RECEPTOR-RECYCLING
TCGA-KL-8323-01A-21R-2315-07	1.568682e-01	1.765133e-01	2.602075e-01	1.089709e+00	6.519771e+00
TCGA-KL-8324-11A-01R-2315-07	2.300234e+00	1.993729e+00	1.769400e+00	1.855620e+00	7.259468e-02
TCGA-KL-8324-01A-11R-2315-07	9.856691e-02	2.727129e-02	4.423110e-01	2.179796e-01	5.208468e+00
TCGA-KL-8325-01A-11R-2315-07	2.621031e-01	0	3.787371e-01	0	6.615931e+00
TCGA-KL-8326-11A-01R-2315-07	2.194086e+00	1.698863e+00	1.617183e+00	1.581570e+00	7.329551e-01
TCGA-KL-8326-01A-11R-2315-07	1.397775e-01	2.049271e-01	9.541599e-01	5.085679e-02	5.211569e+00
TCGA-KL-8327-01A-11R-2315-07	6.032816e-01	2.544687e-01	5.633978e-01	0	5.688920e+00
TCGA-KL-8328-01A-11R-2315-07	0	1.267234e-01	0	1.093945e+00	6.567135e+00
TCGA-KL-8329-11A-01R-2315-07	2.489801e+00	1.310838e+00	2.058224e+00	1.862998e+00	3.613991e-01
TCGA-KL-8329-01A-11R-2315-07	3.765400e-01	0	6.427655e-01	1.844865e+00	6.025398e+00
TCGA-KL-8330-01A-11R-2315-07	0	0	2.627613e-01	3.072646e-01	6.487194e+00
TCGA-KL-8331-01A-11R-2315-07	1.078613e-01	1.430267e-01	1.426377e-01	6.389207e-01	6.716299e+00
TCGA-KL-8332-11A-01R-2315-07	2.814705e+00	1.403927e+00	2.083196e+00	7.451140e-01	2.569181e-01
TCGA-KL-8332-01A-11R-2315-07	2.886929e-01	1.866455e-02	3.098434e-01	6.538880e-01	5.754551e+00
TCGA-KL-8333-01A-11R-2315-07	8.232910e-02	3.052590e-01	1.113933e+00	2.345819e+00	4.192416e+00
TCGA-KL-8334-01A-11R-2315-07	3.352307e-01	0	4.880508e-01	1.460874e+00	6.502842e+00
TCGA-KL-8335-01A-11R-2315-07	1.606466e-01	7.880596e-02	3.524055e-01	2.185661e+00	6.151301e+00
TCGA-KL-8336-11A-01R-2315-07	1.462553e+00	1.369841e+00	1.238395e+00	3.089153e+00	7.158435e-01
TCGA-KL-8336-01A-11R-2315-07	8.697640e-02	0	6.404498e-01	2.306060e+00	6.087785e+00
TCGA-KL-8337-01A-11R-2315-07	0	2.790126e-01	6.385926e-01	3.866187e-01	5.968280e+00
TCGA-KL-8338-01A-11R-2315-07	4.401213e-01	1.624295e-01	6.140391e-01	6.370736e-01	5.953564e+00
TCGA-KL-8339-11A-01R-2315-07	2.542595e+00	1.583677e+00	1.948702e+00	1.392040e+00	3.722990e-01
TCGA-KL-8339-01A-11R-2315-07	0	0	4.109125e-01	1.571961e+00	6.246571e+00
TCGA-KL-8340-01A-11R-2315-07	1.895449e-01	2.860593e-03	3.665934e-01	1.120076e+00	6.489283e+00
TCGA-KL-8341-01A-11R-2315-07	0	0	2.958503e-01	1.012329e+00	6.648785e+00
TCGA-KL-8342-01A-11R-2315-07	1.233293e-01	1.017471e-01	4.246938e-01	1.273755e+00	6.175625e+00
TCGA-KL-8343-01A-11R-2315-07	2.800221e-01	8.364563e-02	1.272022e+00	9.291398e-01	5.075167e+00
TCGA-KL-8344-01A-11R-2315-07	9.166142e-02	6.174341e-01	9.990264e-01	1.886069e+00	3.471163e+00
TCGA-KL-8345-01A-11R-2315-07	0	7.625264e-02	7.058087e-01	5.972244e-01	6.532687e+00
TCGA-KL-8346-01A-11R-2315-07	7.398293e-02	0	0	4.446621e-02	6.784483e+00
TCGA-KM-8438-01A-11R-2315-07	0	0	5.413461e-01	1.669971e+00	5.426467e+00
TCGA-KM-8439-01A-11R-2315-07	0	0	4.893520e+00	0	8.592038e-02
TCGA-KM-8440-01A-11R-2315-07	2.625659e-02	0	5.535459e-01	8.934132e-01	6.810146e+00
TCGA-KM-8441-01A-11R-2315-07	0	2.086642e-01	4.722148e+00	1.390276e+00	9.283120e-02
TCGA-KM-8442-01A-11R-2315-07	0	1.552218e-01	4.313570e-01	1.225610e+00	5.585427e+00
TCGA-KM-8443-01A-11R-2315-07	0	2.337128e-01	1.810028e-01	0	6.860140e+00
TCGA-KM-8476-01A-11R-2315-07	1.341969e-01	2.042174e-01	7.203280e-01	2.107996e-01	5.923570e+00
TCGA-KM-8477-01A-11R-2315-07	0	1.346582e-02	1.805525e+00	1.632038e+00	4.115269e+00
TCGA-KM-8639-01A-11R-2403-07	5.228025e-02	4.692007e-01	5.028244e+00	3.004667e-01	0
TCGA-KN-8418-01A-11R-2315-07	0	0	6.480465e-01	1.606125e+00	6.420028e+00
TCGA-KN-8419-11A-01R-2315-07	1.100038e+00	3.263071e+00	1.295584e+00	1.414665e+00	0
TCGA-KN-8419-01A-11R-2315-07	0	0	1.163194e+00	1.388631e+00	5.091705e+00
TCGA-KN-8421-01A-11R-2315-07	0	7.453847e-01	1.598750e-01	0	4.422836e+00
TCGA-KN-8422-11A-01R-2315-07	1.552648e+00	2.669143e+00	1.516811e+00	1.537854e+00	1.684365e-01
TCGA-KN-8422-01A-11R-2315-07	0	5.077463e-02	3.645454e-01	1.259779e+00	5.302748e+00
TCGA-KN-8423-11A-01R-2315-07	8.272476e-01	3.358174e+00	8.467896e-01	1.723399e+00	2.239881e-01
TCGA-KN-8423-01A-11R-2315-07	0	6.500542e-02	4.269957e-01	5.063139e-01	5.446575e+00
TCGA-KN-8424-11A-01R-2315-07	1.269467e+00	3.035080e+00	1.256537e+00	1.166649e+00	2.890207e-01
TCGA-KN-8424-01A-11R-2315-07	1.058609e-01	0	4.594031e-01	2.042838e+00	6.437395e+00
TCGA-KN-8425-11A-01R-2315-07	2.562692e-01	3.580029e+00	1.292013e+00	5.093230e-01	2.919131e-01
TCGA-KN-8425-01A-11R-2315-07	0	0	5.211358e-01	1.097858e+00	5.889853e+00
TCGA-KN-8426-11A-01R-2315-07	7.254217e-01	3.298944e+00	1.184961e+00	1.972421e+00	2.505610e-02
TCGA-KN-8426-01A-11R-2315-07	0	3.884281e-02	8.469496e-01	7.945276e-01	4.681298e+00
TCGA-KN-8427-11A-01R-2315-07	7.957926e-01	3.123237e+00	1.292487e+00	1.603563e+00	2.922507e-02
TCGA-KN-8427-01A-11R-2315-07	0	2.096805e-01	3.572568e-01	3.302204e+00	7.782544e-01
TCGA-KN-8428-11A-01R-2315-07	2.135427e+00	1.754538e+00	1.718635e+00	1.709438e+00	6.309437e-01
TCGA-KN-8428-01A-11R-2315-07	1.356232e-01	1.284681e-01	6.448393e-01	2.270294e+00	5.139989e+00
TCGA-KN-8429-11A-01R-2315-07	2.856491e-01	3.719840e+00	6.773625e-01	1.359867e+00	5.298385e-01
TCGA-KN-8429-01A-11R-2315-07	0	0	2.166470e-01	1.788623e+00	6.665301e+00
TCGA-KN-8430-11A-01R-2315-07	2.480604e-01	3.785680e+00	1.097207e+00	6.781938e-01	2.852646e-01
TCGA-KN-8430-01A-11R-2315-07	7.473470e-02	0	5.280986e-01	2.024000e+00	5.554883e+00
TCGA-KN-8431-11A-01R-2315-07	1.051819e+00	3.480160e+00	1.129594e+00	6.594506e-01	2.413419e-01
TCGA-KN-8431-01A-11R-2315-07	0	0	2.052747e-01	1.426239e+00	6.040001e+00
TCGA-KN-8432-11A-01R-2315-07	1.023794e+00	3.408594e+00	1.040037e+00	9.577478e-01	2.244452e-01
TCGA-KN-8432-01A-11R-2315-07	0	3.976696e-02	5.883893e-01	4.671662e-01	5.782328e+00
TCGA-KN-8433-11A-01R-2315-07	2.067001e+00	2.130839e+00	1.964066e+00	1.361242e+00	2.465985e-02
TCGA-KN-8433-01A-11R-2315-07	2.547982e-01	0	1.037634e+00	9.350056e-01	4.432124e+00
TCGA-KN-8434-11A-01R-2315-07	2.376663e+00	1.802463e+00	1.892673e+00	1.225160e+00	5.102110e-01
TCGA-KN-8434-01A-11R-2315-07	2.011028e-01	1.530833e-01	5.754604e-01	1.365288e+00	6.078866e+00
TCGA-KN-8435-11A-01R-2315-07	2.267419e+00	1.825237e+00	1.811950e+00	1.904921e+00	1.263988e-01
TCGA-KN-8435-01A-11R-2315-07	0	2.479051e-02	4.419839e-01	1.179573e+00	6.644020e+00
TCGA-KN-8436-11A-01R-2315-07	8.167872e-01	3.496289e+00	1.115952e+00	1.383316e+00	1.166939e-01
TCGA-KN-8436-01A-11R-2315-07	0	4.326954e-01	1.872857e-02	6.248331e-02	5.408972e+00
TCGA-KN-8437-11A-01R-2315-07	1.011631e+00	2.113725e+00	1.166188e+00	2.635045e+00	5.071365e-01
TCGA-KN-8437-01A-11R-2315-07	0	1.589420e-01	4.863329e+00	8.759449e-01	1.928950e-01
TCGA-KO-8403-11A-01R-2315-07	4.687107e-01	3.520714e+00	1.208699e+00	1.401150e+00	1.089139e-01
TCGA-KO-8403-01A-11R-2315-07	2.880274e-01	6.944580e-02	8.263952e-01	1.176472e+00	5.883747e+00
TCGA-KO-8404-01A-11R-2315-07	0	0	0	2.818481e+00	1.348428e+00
TCGA-KO-8405-01A-11R-2315-07	3.605031e-01	0	6.278722e-01	2.085750e+00	4.659699e+00
TCGA-KO-8406-01A-11R-2315-07	4.989400e-02	2.596337e-02	6.684582e-01	4.932469e-01	6.538215e+00
TCGA-KO-8407-01A-11R-2315-07	8.653263e-02	6.485765e-02	4.172971e-01	1.008730e+00	6.440873e+00
TCGA-KO-8408-01A-11R-2315-07	3.232663e-01	2.655597e-01	4.371013e-01	1.724549e+00	5.396158e+00
TCGA-KO-8409-01A-11R-2315-07	1.593363e-01	1.509677e-02	3.835095e-01	0	5.654469e+00
TCGA-KO-8410-01A-11R-2315-07	0	4.715574e-01	9.847589e-01	1.007012e+00	4.090630e+00
TCGA-KO-8411-01A-11R-2315-07	7.883417e-02	1.100478e-01	7.164247e-01	2.254265e-01	6.654985e+00
TCGA-KO-8413-01A-11R-2315-07	4.825580e-02	2.494976e-01	8.804424e-01	8.958154e-01	4.399518e+00
TCGA-KO-8414-01A-11R-2315-07	0	3.191400e-02	4.078278e-01	5.242726e-01	5.715559e+00
TCGA-KO-8415-11A-01R-2315-07	1.652986e+00	2.576256e+00	1.362586e+00	1.426472e+00	5.936861e-01
TCGA-KO-8415-01A-11R-2315-07	8.594605e-03	0	4.234821e-01	9.595717e-01	5.635583e+00
TCGA-KO-8416-01A-11R-2315-07	1.778613e-01	1.893094e-01	5.147490e-01	6.512396e-01	6.182762e+00
TCGA-KO-8417-01A-11R-2315-07	0	0	4.171123e-01	3.931347e-01	6.889171e+00
