pValue	topAUC	KSstat	GSname
0.0000000000	0.7887	0.9197	SU_KIDNEY
0.0000018092	0.6216	0.6791	REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT
0.0000016018	0.5087	0.6229	YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN
0.0005280230	0.4997	0.6025	ORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
0.0006769170	0.4951	0.5470	VITAMIN_BINDING
0.0039749577	0.4920	0.5054	REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS
0.0003198408	0.4905	0.6190	REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM
0.0000261917	0.4364	0.5474	KEGG_RENIN_ANGIOTENSIN_SYSTEM
0.0155707017	0.4130	0.4686	PHOTORECEPTOR_CELL_MAINTENANCE
0.0146986373	0.4051	0.4713	BODY_FLUID_SECRETION
0.0000000005	0.4034	0.5355	PIONTEK_PKD1_TARGETS_UP
0.0178762659	0.4026	0.4620	chr6q26
0.0000695689	0.3975	0.5927	BIOCARTA_ACE2_PATHWAY
0.0000034376	0.3853	0.5049	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
0.0000545462	0.3778	0.5991	SAENZ_DETOX_PATHWAY_AND_CARCINOGENESIS_DN
0.0042769774	0.3731	0.4217	ANION_CATION_SYMPORTER_ACTIVITY
0.0000018919	0.3730	0.4506	SUMI_HNF4A_TARGETS
0.0000086098	0.3704	0.6445	LU_TUMOR_VASCULATURE_DN
0.0000004222	0.3692	0.4477	EXCRETION
0.0000006074	0.3642	0.4749	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
0.0000443599	0.3590	0.4472	MODULE_135
0.0000216717	0.3554	0.5120	MODULE_78
0.0000028267	0.3481	0.4580	MONOOXYGENASE_ACTIVITY
0.0105801099	0.3355	0.4302	PHOSPHATE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
0.0063246210	0.3351	0.3968	REACTOME_GLUCURONIDATION
0.0000006333	0.3345	0.5559	MODULE_373
0.0001973579	0.3337	0.3753	SYMPORTER_ACTIVITY
0.0000186878	0.3310	0.4928	KEGG_BETA_ALANINE_METABOLISM
0.0035947915	0.3308	0.5322	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL
0.0000000000	0.3307	0.4088	GNF2_HPN
0.0000001010	0.3289	0.3775	CAR_IGFBP1
0.0000000000	0.3257	0.4086	GNF2_TST
0.0000387122	0.3247	0.6299	REACTOME_GABA_A_RECEPTOR_ACTIVATION
0.0000118993	0.3244	0.4409	KEGG_HISTIDINE_METABOLISM
0.0015991146	0.3207	0.3535	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
0.0088073023	0.3190	0.3654	INORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
0.0000000000	0.3186	0.3938	GNF2_HPX
0.0000000000	0.3150	0.3944	GNF2_GSTM1
0.0177164335	0.3144	0.4088	VITAMIN_TRANSPORT
0.0002298247	0.3129	0.6295	REACTOME_ETHANOL_OXIDATION
0.0000000000	0.3087	0.4159	CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN
0.0060866681	0.3077	0.3874	MODULE_368
0.0000000000	0.3051	0.3822	GNF2_LCAT
0.0004906503	0.2971	0.2916	SECONDARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
0.0000000000	0.2968	0.4571	WOO_LIVER_CANCER_RECURRENCE_DN
0.0005676673	0.2964	0.6000	BOYAULT_LIVER_CANCER_SUBCLASS_G23_DN
0.0000000000	0.2955	0.3912	OHGUCHI_LIVER_HNF4A_TARGETS_DN
0.0000073156	0.2944	0.6276	MODULE_464
0.0074307275	0.2892	0.3386	chr11p14
0.0000140648	0.2886	0.5335	MODULE_305
