sampleID	D6.6_SU-KIDNEY	D7.6_REACTOME-INITIAL-TRIGGERING-OF-COMPLEMENT	D9.6_BIOCARTA-KREB-PATHWAY	D12.7_SABATES-COLORECTAL-ADENOMA-SIZE-UP	D8.2_FARMER-BREAST-CANCER-CLUSTER-5	D11.11_ACUTE-INFLAMMATORY-RESPONSE	D10.6_AIGNER-ZEB1-TARGETS	D7.1_chryp11
TCGA-3Z-A93Z-01A-11R-A37O-07	3.868525e-01	3.960243e-01	5.583394e-01	9.143987e-01	1.421868e+00	0	5.629668e-01	2.466107e+00
TCGA-6D-AA2E-01A-11R-A37O-07	5.259334e-01	6.644456e-01	1.305027e+00	1.286660e+00	1.047930e+00	0	5.131313e-01	1.298935e+00
TCGA-A3-3306-01A-01R-0864-07	0	5.720221e-01	4.364094e-01	8.281470e-01	5.185149e-01	0	1.162235e-01	7.172617e+00
TCGA-A3-3307-01A-01R-0864-07	1.218956e-01	1.488688e-01	2.651456e-01	7.392425e-01	1.171945e+00	0	3.299418e-02	6.216193e+00
TCGA-A3-3308-01A-02R-1325-07	6.219614e-02	6.023486e-01	2.486447e-01	6.109807e-01	2.695271e+00	1.070905e-01	1.814576e-01	3.850818e+00
TCGA-A3-3311-01A-02R-1325-07	4.804880e-02	6.758783e-01	6.283800e-02	4.992569e-01	1.551094e+00	0	2.676862e-01	6.867378e+00
TCGA-A3-3313-01A-02R-1325-07	3.481334e-01	2.137134e-01	1.335194e+00	7.873132e-01	1.147055e+00	0	4.813707e-01	4.149042e+00
TCGA-A3-3316-01A-01R-0864-07	0	9.811345e-01	4.127956e-01	6.224775e-02	3.059858e+00	8.819652e-02	1.032141e-01	4.775911e+00
TCGA-A3-3317-01A-02R-1325-07	1.671431e-01	5.364369e-01	3.083153e-01	8.929996e-01	2.032766e+00	0	6.105153e-01	4.648290e+00
TCGA-A3-3319-01A-02R-1325-07	1.552611e-01	1.808451e+00	3.402674e-01	9.252667e-01	9.866761e-01	2.048827e-01	6.797445e-01	5.510134e+00
TCGA-A3-3320-01A-02R-1325-07	1.454830e-01	0	2.000004e-01	9.557071e-01	1.097366e+00	0	1.240570e-01	6.035299e+00
TCGA-A3-3322-01A-02R-1325-07	1.751350e-01	4.568533e-02	1.303254e-01	9.574984e-01	1.330316e+00	0	2.379659e-01	5.426887e+00
TCGA-A3-3323-01A-02R-1325-07	0	5.976834e-01	1.407933e-01	5.725871e-01	2.415352e+00	0	4.077395e-01	5.406316e+00
TCGA-A3-3324-01A-02R-1325-07	0	2.934389e-01	1.361301e-01	7.571424e-01	1.555761e+00	0	0	6.684182e+00
TCGA-A3-3325-01A-01R-0864-07	1.908297e-01	3.514809e-01	2.527231e-01	7.434020e-01	1.628455e+00	0	3.327694e-01	4.740555e+00
TCGA-A3-3326-01A-01R-0864-07	4.737849e-02	2.781187e-01	0	1.254007e+00	1.041706e+00	0	0	6.233669e+00
TCGA-A3-3328-01A-01R-0864-07	0	0	4.372456e+00	2.431506e-01	1.309630e+00	0	4.553678e-01	1.058466e+00
TCGA-A3-3329-01A-01R-0864-07	1.391366e-01	3.452112e-01	2.431024e-01	8.152153e-01	1.060156e+00	0	0	6.134030e+00
TCGA-A3-3331-01A-02R-1325-07	2.079177e-01	0	8.329987e-02	7.944068e-01	1.331343e+00	0	3.774316e-02	6.030642e+00
TCGA-A3-3335-01A-01R-0864-07	1.983456e-02	1.208633e+00	5.055794e-01	8.064353e-01	1.105073e+00	6.993798e-02	2.669652e-01	5.850205e+00
TCGA-A3-3343-01A-01R-0864-07	9.750296e-04	3.012115e-01	1.258251e-01	1.027830e+00	8.757692e-01	0	0	6.621781e+00
TCGA-A3-3346-01A-01R-1766-07	0	1.963846e+00	6.385409e-01	6.908465e-01	2.440424e+00	1.785600e-01	0	2.617622e+00
TCGA-A3-3347-01A-02R-1325-07	3.900653e-02	1.296343e+00	2.221283e-01	6.598623e-01	2.979687e+00	1.293427e-01	5.229704e-01	3.491468e+00
TCGA-A3-3349-01A-01R-1188-07	5.451671e-02	3.138622e-02	1.147404e-01	7.304899e-01	2.334616e+00	0	1.273722e-01	3.781641e+00
TCGA-A3-3351-01A-02R-1325-07	0	3.171350e-01	0	1.153518e+00	1.706688e+00	0	3.148399e-01	6.185679e+00
TCGA-A3-3352-01A-01R-0864-07	1.208589e-01	3.223439e-01	3.857809e-01	8.511221e-01	1.112061e+00	6.337719e-03	0	5.969944e+00
TCGA-A3-3357-01A-02R-1420-07	1.118985e-01	9.144952e-01	1.464321e-01	1.119527e+00	5.094532e-01	4.849474e-02	9.419812e-02	7.582221e+00
TCGA-A3-3358-11A-01R-1541-07	1.674205e+00	9.223975e-02	2.396070e+00	5.108081e-01	1.033342e-01	0	1.762223e+00	6.101723e-01
TCGA-A3-3358-01A-01R-1541-07	1.144781e-01	8.543868e-01	2.013621e-01	9.439156e-01	1.485625e+00	9.775836e-02	1.164684e-01	5.560348e+00
TCGA-A3-3359-01A-01R-0864-07	2.172345e-01	0	4.825374e-02	1.166989e+00	9.641042e-01	0	0	5.774636e+00
TCGA-A3-3362-01A-02R-1325-07	8.246457e-01	1.579584e-01	7.679676e-01	8.317898e-01	1.396812e+00	0	7.376410e-01	2.611350e+00
TCGA-A3-3363-01A-01R-0864-07	1.562919e-01	8.573274e-01	8.372467e-01	1.464372e+00	0	0	1.085990e+00	5.365332e+00
TCGA-A3-3365-01A-01R-0864-07	2.477131e-01	0	6.986932e-01	2.815258e-01	2.162355e+00	0	8.482116e-01	3.811185e+00
TCGA-A3-3367-01A-02R-1420-07	9.847575e-02	2.186782e-01	2.697841e-01	6.966868e-01	1.235585e+00	0	3.574176e-01	6.414857e+00
TCGA-A3-3370-01A-02R-1420-07	2.917177e-01	1.712753e-02	5.509194e-02	1.098363e+00	1.529139e+00	8.620945e-03	1.109774e-01	5.234630e+00
TCGA-A3-3372-01A-02R-1325-07	0	4.229849e-02	1.334414e-01	5.242739e-01	2.170539e+00	0	2.328071e-01	6.115870e+00
TCGA-A3-3373-01A-02R-1420-07	4.740105e-01	3.406067e-02	4.397978e-01	5.484257e-01	1.263803e+00	0	2.853629e-01	5.283941e+00
TCGA-A3-3374-01A-02R-1325-07	0	5.902272e-01	3.164485e+00	3.105735e-01	2.646897e+00	0	4.852874e-02	1.363854e-01
TCGA-A3-3376-01A-02R-1420-07	7.989623e-02	0	1.317950e-01	4.515645e-01	2.536427e+00	0	3.805450e-01	4.681309e+00
TCGA-A3-3378-01A-02R-1325-07	0	1.057481e+00	1.745430e-01	9.489114e-01	1.995381e+00	1.588945e-01	8.806163e-02	5.787703e+00
TCGA-A3-3380-01A-01R-0864-07	2.172303e-01	2.413161e-01	4.102807e-01	8.250246e-01	1.867596e+00	0	1.262932e-01	4.046432e+00
TCGA-A3-3382-01A-02R-1325-07	0	1.143472e+00	4.377019e-01	4.364060e-01	2.175287e+00	1.003285e-01	2.053831e-01	5.811730e+00
TCGA-A3-3383-01A-02R-1325-07	6.697315e-03	7.767451e-01	2.415906e-01	1.137234e+00	9.386562e-01	0	0	3.912219e+00
TCGA-A3-3385-01A-02R-1420-07	2.048765e-01	0	3.658565e-01	1.233589e+00	0	0	0	6.941163e+00
TCGA-A3-3387-11A-01R-1541-07	1.679922e+00	1.008216e-01	2.454094e+00	2.308717e-01	3.281593e-01	0	1.572434e+00	8.809199e-01
TCGA-A3-3387-01A-01R-1541-07	9.771792e-03	8.456613e-01	5.086924e-02	6.171507e-01	2.041352e+00	0	3.398316e-01	5.434345e+00
TCGA-A3-A6NI-01A-11R-A33J-07	7.266840e-02	8.498452e-01	9.405837e-02	1.146655e+00	1.176492e+00	0	5.601956e-01	4.724185e+00
TCGA-A3-A6NJ-01A-12R-A33J-07	2.252164e-01	3.398684e-01	3.344399e-02	1.180812e+00	1.115730e+00	0	4.229259e-02	4.851985e+00
TCGA-A3-A6NL-01A-11R-A33J-07	9.736486e-04	2.577357e-01	6.473870e-02	9.628083e-01	1.964420e+00	4.412064e-02	7.321156e-02	4.318635e+00
TCGA-A3-A6NN-01A-12R-A33J-07	2.197987e-02	2.647398e-01	2.149533e-01	5.903881e-01	1.965880e+00	0	3.386325e-01	4.962624e+00
TCGA-A3-A8CQ-01A-11R-A37O-07	1.337709e-01	0	9.925471e-02	9.856907e-01	1.453769e+00	0	1.716523e-02	4.298493e+00
TCGA-A3-A8OU-01A-11R-A37O-07	1.358700e-01	6.135102e-01	7.015376e-02	1.178956e+00	1.466073e+00	6.768414e-02	3.207713e-01	3.896846e+00
TCGA-A3-A8OV-01A-11R-A37O-07	1.256905e-01	3.964662e-01	2.304723e-01	1.341818e+00	4.272461e-01	0	0	5.114930e+00
TCGA-A3-A8OW-01A-11R-A37O-07	2.287764e-01	0	2.433547e-01	9.949547e-01	1.271845e+00	0	3.032381e-02	4.631460e+00
TCGA-A3-A8OX-01A-11R-A37O-07	4.533150e-01	5.928578e-01	7.014606e-01	7.673260e-01	2.014543e+00	2.830294e-02	9.814872e-01	2.524817e+00
TCGA-AK-3425-01A-02R-1277-07	0	1.382268e+00	3.403494e-01	7.334603e-02	2.478589e+00	3.153023e-02	1.802251e-01	4.622664e+00
TCGA-AK-3426-01A-02R-1325-07	0	1.519152e+00	1.491650e-01	1.382078e+00	2.692540e+00	0	2.751768e-01	7.383089e-01
TCGA-AK-3427-01A-01R-0864-07	0	3.607262e-01	4.024278e+00	0	1.204797e+00	0	1.993793e-01	6.960120e-01
TCGA-AK-3428-01A-02R-1277-07	0	2.276961e-01	6.213514e-01	0	1.732620e+00	0	1.978211e-01	5.648161e+00
TCGA-AK-3429-01A-02R-1325-07	0	5.756683e-01	1.623615e-01	6.810948e-01	9.449679e-01	0	0	6.286054e+00
TCGA-AK-3431-01A-02R-1277-07	0	3.721786e-01	6.547817e-01	0	3.235719e+00	3.595805e-02	3.529004e-01	3.355245e+00
TCGA-AK-3433-01A-02R-1277-07	0	0	4.067750e+00	1.282550e-01	1.836184e+00	0	5.348936e-01	9.438041e-01
TCGA-AK-3434-01A-02R-1277-07	1.095955e-01	3.994256e-01	4.106412e-01	5.420370e-01	1.732297e+00	0	5.405240e-02	3.926777e+00
TCGA-AK-3436-01A-02R-1325-07	0	1.411686e+00	6.728524e-01	1.123183e-01	1.966649e+00	0	2.923077e-02	4.727885e+00
TCGA-AK-3440-01A-02R-1277-07	0	1.096056e-01	4.191657e+00	1.251499e-01	1.644719e+00	2.036701e-03	4.827605e-01	4.833312e-01
TCGA-AK-3443-01A-02R-1325-07	0	0	4.513220e+00	6.028144e-02	1.300421e+00	0	5.602372e-01	1.331671e+00
TCGA-AK-3444-01A-02R-1325-07	2.168890e-01	0	4.064735e-01	7.604033e-01	7.238641e-01	0	0	5.917883e+00
TCGA-AK-3445-01A-02R-1277-07	0	1.328215e+00	3.929897e-01	5.131984e-01	2.642260e+00	1.008854e-01	9.803076e-02	3.753549e+00
TCGA-AK-3447-01A-01R-1766-07	0	6.223747e-01	4.741166e+00	0	9.582292e-01	0	0	4.643978e-03
TCGA-AK-3450-01A-02R-1277-07	4.073989e-01	3.396039e-01	5.888277e-01	8.005896e-01	8.355121e-01	0	2.341167e-02	4.532277e+00
TCGA-AK-3451-01A-02R-1188-07	2.068030e-01	1.397705e+00	7.183941e-01	5.617944e-01	4.473985e-01	0	0	4.672498e+00
TCGA-AK-3453-01A-02R-1277-07	6.560893e-02	1.686174e-01	2.693418e+00	7.676892e-01	4.452596e-01	0	1.578760e+00	1.816160e+00
