pValue	topAUC	KSstat	GSname
0.0000000984	0.6952	0.7670	REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT
0.0025083640	0.4936	0.5230	REACTOME_BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS
0.0108135022	0.4784	0.4854	ORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
0.0005522951	0.4609	0.5758	REACTOME_TRYPTOPHAN_CATABOLISM
0.0046958752	0.4598	0.4791	VITAMIN_BINDING
0.0000089338	0.4376	0.5303	MODULE_78
0.0133917250	0.4329	0.4757	MONOSACCHARIDE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
0.0000006006	0.4321	0.5350	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
0.0023995374	0.4312	0.4542	SU_KIDNEY
0.0148017226	0.4274	0.4710	RESPONSE_TO_TOXIN
0.0000000000	0.4058	0.4747	WOO_LIVER_CANCER_RECURRENCE_DN
0.0000024095	0.4055	0.4535	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM
0.0229635898	0.3936	0.4302	SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
0.0023689633	0.3859	0.4286	KEGG_RENIN_ANGIOTENSIN_SYSTEM
0.0002417162	0.3823	0.4934	REACTOME_GLUCURONIDATION
0.0000000000	0.3812	0.4109	GNF2_HPN
0.0000428162	0.3808	0.4319	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
0.0000483991	0.3806	0.3962	SUMI_HNF4A_TARGETS
0.0001159638	0.3735	0.6504	KEGG_LIMONENE_AND_PINENE_DEGRADATION
0.0022068091	0.3727	0.4433	ANION_CATION_SYMPORTER_ACTIVITY
0.0002993001	0.3708	0.4067	MODULE_135
0.0001284717	0.3694	0.4517	KEGG_BETA_ALANINE_METABOLISM
0.0000000000	0.3649	0.3893	GNF2_HPX
0.0000000000	0.3641	0.3864	GNF2_TST
0.0000000000	0.3634	0.3936	GNF2_GSTM1
0.0138211459	0.3601	0.4193	SAENZ_DETOX_PATHWAY_AND_CARCINOGENESIS_DN
0.0000000000	0.3544	0.3797	GNF2_LCAT
0.0000011180	0.3481	0.3481	CAR_IGFBP1
0.0001724572	0.3478	0.4767	MODULE_305
0.0000827060	0.3442	0.3603	PIONTEK_PKD1_TARGETS_UP
0.0000876925	0.3419	0.3852	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM
0.0000000000	0.3371	0.3575	CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN
0.0021027215	0.3299	0.3295	MONOOXYGENASE_ACTIVITY
0.0079604590	0.3285	0.3688	MODULE_440
0.0166548554	0.3274	0.3729	YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN
0.0207289008	0.3229	0.3355	INORGANIC_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY
0.0000000000	0.3120	0.3386	OHGUCHI_LIVER_HNF4A_TARGETS_DN
0.0023587555	0.3110	0.4862	VITAMIN_TRANSPORT
0.0146030549	0.3086	0.3897	REACTOME_AMINE_DERIVED_HORMONES
0.0005740313	0.3059	0.3534	SYMPORTER_ACTIVITY
0.0076386923	0.3026	0.3072	REACTOME_LIPOPROTEIN_METABOLISM
0.0029845444	0.2977	0.4961	ALDO_KETO_REDUCTASE_ACTIVITY
0.0146534689	0.2959	0.3778	KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM
0.0000314133	0.2932	0.3228	BOYAULT_LIVER_CANCER_SUBCLASS_G123_DN
0.0000664079	0.2919	0.3211	LEE_LIVER_CANCER
0.0000092697	0.2873	0.3820	KEGG_TRYPTOPHAN_METABOLISM
0.0000060290	0.2859	0.2904	CAR_HPX
0.0000050373	0.2856	0.3141	KEGG_RETINOL_METABOLISM
0.0098573001	0.2840	0.4182	MODULE_464
0.0000052438	0.2833	0.2650	REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS
