pValue	topAUC	KSstat	GSname
0.0000000000	0.5620	0.6177	VALK_AML_CLUSTER_10
0.0000299372	0.4545	0.4732	VALK_AML_WITH_EVI1
0.0020462992	0.3058	0.3356	GENTLES_LEUKEMIC_STEM_CELL_UP
0.0178026033	0.2767	0.3048	WANG_IMMORTALIZED_BY_HOXA9_AND_MEIS1_DN
0.0023108650	0.2758	0.3443	VALK_AML_CLUSTER_1
0.0037025046	0.2383	0.2891	VALK_AML_CLUSTER_11
0.0026874188	0.2334	0.5703	MATZUK_MATERNAL_EFFECT
0.0152896194	0.2327	0.2258	GRAHAM_CML_QUIESCENT_VS_NORMAL_QUIESCENT_DN
0.0005915804	0.2281	0.2408	GEORGANTAS_HSC_MARKERS
0.0017280601	0.2274	0.4382	NIKOLSKY_BREAST_CANCER_22Q13_AMPLICON
0.0009455259	0.2230	0.5361	MIZUKAMI_HYPOXIA_UP
0.0092472893	0.1985	0.2539	TOMLINS_PROSTATE_CANCER_DN
0.0000125106	0.1931	0.3181	REACTOME_RNA_POL_I_PROMOTER_OPENING
0.0021167969	0.1918	0.2453	TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_GRANULOCYTE_UP
0.0021802908	0.1906	0.5074	REACTOME_GLYCOPROTEIN_HORMONES
0.0000841031	0.1877	0.5347	MODULE_470
0.0072205322	0.1855	0.1827	ROSS_ACUTE_MYELOID_LEUKEMIA_CBF
0.0048671293	0.1818	0.4174	TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_ERYTHROCYTE_DN
0.0034861410	0.1744	0.4053	NIELSEN_LEIOMYOSARCOMA_DN
0.0017848469	0.1706	0.1919	HOEBEKE_LYMPHOID_STEM_CELL_UP
0.0000000004	0.1701	0.2124	VERHAAK_AML_WITH_NPM1_MUTATED_DN
0.0152060272	0.1662	0.3304	LANDEMAINE_LUNG_METASTASIS
0.0000174434	0.1645	0.3481	REACTOME_PACKAGING_OF_TELOMERE_ENDS
0.0154819202	0.1634	0.4003	REACTOME_PEPTIDE_HORMONE_BIOSYNTHESIS
0.0134345032	0.1624	0.3510	INTEGRIN_COMPLEX
0.0000258362	0.1580	0.2664	REACTOME_AMYLOIDS
0.0000469480	0.1570	0.3332	chr15q11
0.0000385737	0.1532	0.1316	JAATINEN_HEMATOPOIETIC_STEM_CELL_UP
0.0053072363	0.1482	0.4744	REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION
0.0004920086	0.1475	0.2291	HADDAD_T_LYMPHOCYTE_AND_NK_PROGENITOR_UP
0.0002989901	0.1472	0.4878	BOYAULT_LIVER_CANCER_SUBCLASS_G56_DN
0.0109619290	0.1467	0.1779	REACTOME_MEIOTIC_RECOMBINATION
0.0088264256	0.1462	0.4542	LOW_DENSITY_LIPOPROTEIN_BINDING
0.0074548768	0.1458	0.1822	REACTOME_RNA_POL_I_TRANSCRIPTION
0.0019441721	0.1424	0.5832	AGARWAL_AKT_PATHWAY_TARGETS
0.0016153474	0.1409	0.3357	VALK_AML_CLUSTER_13
0.0009092152	0.1389	0.5180	MODULE_412
0.0154523891	0.1377	0.4306	CLAUS_PGR_POSITIVE_MENINGIOMA_DN
0.0118581544	0.1370	0.2510	HAHTOLA_SEZARY_SYNDROM_DN
0.0001371229	0.1346	0.3268	TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY
0.0000021556	0.1321	0.3773	MODULE_259
0.0017437372	0.1316	0.4506	MODULE_275
0.0031185984	0.1294	0.5148	GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_DN
0.0004243811	0.1289	0.2972	PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_1
0.0000041828	0.1288	0.2985	chr1q44
0.0098703802	0.1286	0.1893	GGGGCCC,MIR-296
0.0139652747	0.1277	0.3007	FONTAINE_THYROID_TUMOR_UNCERTAIN_MALIGNANCY_DN
0.0155142629	0.1268	0.3460	VERRECCHIA_RESPONSE_TO_TGFB1_C1
0.0000063185	0.1265	0.4313	VALK_AML_CLUSTER_3
0.0025379845	0.1258	0.3773	SUZUKI_RESPONSE_TO_TSA_AND_DECITABINE_1A
