sampleID	D7.5_VALK-AML-CLUSTER-5	D8.3_ROSS-AML-WITH-PML-RARA-FUSION	D8.1_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	D8.4_VALK-AML-CLUSTER-10	D9.7_SCHAEFFER-PROSTATE-DEVELOPMENT-AND-CANCER-BOX6-UP	D8.2_TCGA-GLIOBLASTOMA-MUTATED	D9.9_RUNNE-GENDER-EFFECT-UP
TCGA-AB-2803-03A-01T-0734-13	7.138500e-01	5.529382e+00	1.095942e+00	0	1.471909e+00	5.648477e-01	0
TCGA-AB-2805-03A-01T-0734-13	2.481520e+00	0	6.614954e-01	1.820326e+00	0	3.681853e+00	4.875110e-01
TCGA-AB-2806-03A-01T-0734-13	6.800292e-01	1.678024e+00	1.449038e-02	1.705255e-01	1.261612e-01	5.576300e+00	2.984371e-01
TCGA-AB-2807-03A-01T-0734-13	1.071165e+00	0	6.428665e-01	2.866731e+00	1.680627e+00	2.485600e+00	0
TCGA-AB-2808-03A-01T-0734-13	1.569975e+00	5.441015e-01	6.495770e-01	0	1.050450e+00	4.343607e+00	6.208151e-01
TCGA-AB-2810-03A-01T-0736-13	1.057459e+00	2.127201e+00	4.044047e+00	6.583385e-01	3.387290e-01	1.919091e-01	0
TCGA-AB-2811-03B-01T-0760-13	2.040865e+00	1.412679e+00	3.022601e+00	1.096634e+00	0	0	4.517215e-01
TCGA-AB-2812-03A-01T-0734-13	8.199789e-01	7.750553e-01	5.557594e+00	0	0	2.441456e+00	5.754340e-02
TCGA-AB-2813-03A-01T-0736-13	2.586291e+00	9.658531e-01	1.214880e+00	1.294140e+00	9.075452e-01	1.590032e+00	3.976541e-01
TCGA-AB-2814-03A-01T-0734-13	9.714631e-01	0	1.906321e+00	1.799795e+00	6.715983e-01	3.323793e+00	0
TCGA-AB-2815-03A-01T-0734-13	2.401907e+00	1.510426e+00	1.768437e-01	1.047391e+00	0	3.686953e+00	5.324554e-01
TCGA-AB-2816-03A-01T-0734-13	2.636732e+00	9.978973e-02	3.632850e+00	6.540497e-01	0	2.115610e+00	0
TCGA-AB-2817-03A-01T-0736-13	1.816892e+00	9.775650e-01	0	3.211372e+00	5.939021e-01	2.146240e+00	5.372820e-01
TCGA-AB-2818-03A-01T-0734-13	2.154455e+00	3.540762e-01	4.725223e+00	0	7.123643e-01	1.691352e+00	1.663884e-02
TCGA-AB-2819-03A-01T-0734-13	1.120965e+00	1.599045e+00	1.268947e-01	4.809564e-01	7.077171e-01	4.228065e+00	1.927776e-03
TCGA-AB-2820-03A-01T-0735-13	1.171173e+00	3.483868e-01	1.105123e+00	3.677237e+00	3.751153e-02	2.043778e+00	5.360303e-01
TCGA-AB-2821-03A-01T-0735-13	1.478185e+00	1.163303e+00	1.065772e+00	2.215751e+00	1.383953e+00	1.613127e+00	5.364399e-01
TCGA-AB-2822-03A-01T-0734-13	4.562584e-01	0	1.749125e+00	1.443707e+00	1.760292e-01	4.182731e+00	5.299104e-01
TCGA-AB-2823-03A-01T-0736-13	8.797135e-01	5.774689e+00	8.966579e-01	2.338251e-01	2.828002e-01	1.718533e+00	3.639523e-02
TCGA-AB-2824-03A-01T-0736-13	1.662801e+00	1.412791e-01	3.166181e+00	7.867608e-01	1.479654e+00	3.962832e-01	5.556461e-01
TCGA-AB-2825-03A-01T-0736-13	2.797203e+00	1.579183e-01	4.122504e+00	3.306249e-01	0	1.413970e+00	3.011556e-02
TCGA-AB-2826-03A-01T-0734-13	2.482895e+00	3.555071e-01	4.417603e+00	0	3.678619e-01	1.377525e+00	1.112264e-02
TCGA-AB-2828-03A-01T-0734-13	2.554771e+00	1.018859e+00	6.841556e-01	7.884762e-01	0	3.657735e+00	4.740604e-01
TCGA-AB-2830-03A-01T-0736-13	1.237848e+00	8.372881e-01	1.719962e+00	2.321022e+00	9.248166e-01	1.292955e+00	0
TCGA-AB-2832-03A-01T-0736-13	1.758576e+00	0	1.808671e+00	6.956425e-01	0	1.357702e+00	0
TCGA-AB-2833-03A-01T-0734-13	2.932843e+00	8.330605e-02	1.039554e-01	1.194391e+00	1.226745e-01	3.158661e+00	4.663308e-01
TCGA-AB-2834-03A-01T-0734-13	1.917634e+00	4.871167e-01	2.565258e+00	0	1.006730e+00	2.051988e+00	5.585887e-01
TCGA-AB-2835-03A-01T-0736-13	2.641854e+00	1.531353e-01	3.549355e+00	0	0	7.451829e-01	5.804472e-01
TCGA-AB-2836-03A-01T-0736-13	2.449080e+00	3.707120e-01	3.386275e+00	1.140103e+00	3.117118e-01	9.745677e-01	4.988831e-01
TCGA-AB-2837-03A-01T-0736-13	2.940398e+00	6.165281e-01	4.105813e+00	5.777522e-01	0	1.246913e+00	0
TCGA-AB-2838-03A-01T-0736-13	1.909552e+00	1.276203e+00	1.167584e+00	2.364939e+00	1.338471e+00	1.357451e+00	5.925577e-01
TCGA-AB-2839-03A-01T-0734-13	7.698484e-01	4.050867e-01	4.081787e+00	6.996595e-01	9.200269e-02	2.940968e+00	3.230200e-02
TCGA-AB-2840-03A-01T-0734-13	8.148893e-01	5.095282e+00	6.199238e-01	5.670133e-02	6.969827e-01	1.513666e+00	5.493066e-01
TCGA-AB-2841-03B-01T-0760-13	7.997737e-01	6.429258e+00	2.001059e-01	2.499387e-01	1.030511e+00	1.368721e-01	0
TCGA-AB-2842-03A-01T-0734-13	1.923360e+00	0	3.646500e+00	0	4.397567e-01	1.878454e+00	5.801485e-01
TCGA-AB-2843-03A-01T-0736-13	1.790267e+00	8.880801e-02	3.300589e-03	2.663258e+00	9.199654e-01	2.135141e+00	5.214632e-01
TCGA-AB-2844-03A-01T-0736-13	1.418016e+00	1.120550e+00	2.850418e+00	3.499405e-01	4.947563e-01	1.832448e+00	5.763541e-01
TCGA-AB-2845-03B-01T-0748-13	1.377918e+00	1.050679e+00	1.497551e-01	4.251017e-01	5.740121e-01	4.016531e+00	0
TCGA-AB-2846-03A-01T-0736-13	2.122332e+00	2.207070e+00	0	1.539539e+00	1.865049e-01	3.210683e+00	2.941903e-02
TCGA-AB-2847-03A-01T-0736-13	1.279104e+00	1.173780e+00	4.833556e-01	2.900155e+00	1.147521e+00	1.385378e+00	5.414862e-01
TCGA-AB-2848-03A-01T-0736-13	2.164863e+00	8.880811e-01	3.712521e+00	7.991160e-01	7.918205e-02	9.873727e-01	4.773247e-01
TCGA-AB-2849-03A-01T-0734-13	6.633281e-01	2.765754e-04	1.270298e+00	1.802266e+00	1.674066e+00	3.458026e+00	5.565656e-01
TCGA-AB-2851-03A-01T-0736-13	2.685428e+00	5.031865e-01	3.568059e+00	1.295727e+00	0	1.025111e+00	1.794318e-03
TCGA-AB-2853-03A-01T-0734-13	1.052710e+00	0	5.402234e+00	0	0	2.556783e+00	5.648440e-01
TCGA-AB-2854-03A-01T-0734-13	2.015613e+00	4.701384e-01	1.222681e+00	1.397469e+00	1.798695e+00	1.501058e+00	2.746360e-05
TCGA-AB-2855-03A-01T-0736-13	1.063810e+00	2.338454e-01	1.984829e+00	6.289806e-01	0	3.406490e+00	5.796360e-01
TCGA-AB-2856-03A-01T-0736-13	1.992974e+00	1.058177e+00	2.378177e+00	1.166992e+00	0	6.900145e-01	4.908116e-01
TCGA-AB-2857-03A-01T-0736-13	1.242049e+00	1.206236e+00	8.204939e-01	2.093295e+00	2.253887e+00	1.220935e+00	5.850954e-01
