pValue	topAUC	KSstat	GSname
0.0082536064	0.4596	0.5222	chrxq11
0.0000000125	0.3030	0.4492	NUTT_GBM_VS_AO_GLIOMA_DN
0.0001731136	0.2756	0.4449	REACTOME_CHOLESTEROL_BIOSYNTHESIS
0.0000372260	0.2756	0.5710	MODULE_432
0.0011336799	0.2744	0.3684	SCHMIDT_POR_TARGETS_IN_LIMB_BUD_UP
0.0000000000	0.2347	0.6745	REACTOME_BETA_DEFENSINS
0.0000000000	0.2185	0.5815	REACTOME_DEFENSINS
0.0036335843	0.2147	0.4549	OVULATION_CYCLE
0.0060530161	0.1965	0.3249	NIKOLSKY_BREAST_CANCER_5P15_AMPLICON
0.0024272999	0.1913	0.4538	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS
0.0008481328	0.1907	0.4470	VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY
0.0054527539	0.1793	0.3718	GLUTAMATE_RECEPTOR_ACTIVITY
0.0195547064	0.1732	0.4046	YAGUE_PRETUMOR_DRUG_RESISTANCE_DN
0.0010706232	0.1715	0.4094	chrxq27
0.0058793468	0.1652	0.2117	ZHANG_GATA6_TARGETS_DN
0.0219636537	0.1652	0.2384	CERIBELLI_PROMOTERS_INACTIVE_AND_BOUND_BY_NFY
0.0085752810	0.1619	0.1682	chr10q22
0.0005037525	0.1601	0.2882	KRAS.50_UP.V1_UP
0.0002320756	0.1576	0.3611	CALCIUM_CHANNEL_ACTIVITY
0.0000032109	0.1554	0.4026	REACTOME_NCAM1_INTERACTIONS
0.0090219048	0.1553	0.3845	GLUTAMATE_SIGNALING_PATHWAY
0.0001125041	0.1517	0.4280	REGULATION_OF_HEART_CONTRACTION
0.0149619127	0.1479	0.2786	CAR_TNFRSF25
0.0000001954	0.1470	0.5315	chryp11
0.0000037753	0.1451	0.3128	chr8p23
0.0015400221	0.1434	0.4417	REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION
0.0057849611	0.1412	0.3614	WOTTON_RUNX_TARGETS_UP
0.0001341412	0.1390	0.2388	WONG_ENDMETRIUM_CANCER_DN
0.0017216228	0.1357	0.2512	MIKKELSEN_IPS_ICP_WITH_H3K27ME3
0.0014958110	0.1329	0.4098	AMIT_EGF_RESPONSE_240_MCF10A
0.0042365692	0.1316	0.4830	SPECIFIC_TRANSCRIPTIONAL_REPRESSOR_ACTIVITY
0.0211858762	0.1304	0.2826	MODULE_214
0.0001855143	0.1299	0.3181	HARRIS_BRAIN_CANCER_PROGENITORS
0.0000000000	0.1294	0.6763	chr11q11
0.0002088756	0.1292	0.1467	VERHAAK_GLIOBLASTOMA_PRONEURAL
0.0188482353	0.1275	0.3795	AEROBIC_RESPIRATION
0.0034649259	0.1274	0.3768	SMID_BREAST_CANCER_RELAPSE_IN_LUNG_UP
0.0000000004	0.1273	0.3942	MODULE_316
0.0015528824	0.1261	0.3542	EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
0.0026272998	0.1244	0.6024	SCHMIDT_POR_TARGETS_IN_LIMB_BUD_DN
0.0000001592	0.1241	0.2369	KRAS.300_UP.V1_UP
0.0016509323	0.1220	0.1900	V$NRSF_01
0.0000000148	0.1212	0.4471	chryq11
0.0088144538	0.1212	0.3483	EXCITATORY_EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY
0.0000023435	0.1200	0.2035	chr14q32
0.0000000000	0.1196	0.2695	MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3
0.0000002764	0.1173	0.3629	POTASSIUM_ION_TRANSPORT
0.0002252760	0.1172	0.5247	VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX
0.0177329728	0.1157	0.3180	EXTRACELLULAR_LIGAND_GATED_ION_CHANNEL_ACTIVITY
0.0209010564	0.1148	0.2689	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_DN
