sampleID	D9.9_MODULE-381	D9.7_LEIN-OLIGODENDROCYTE-MARKERS	D15.12_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN	D9.8_MODULE-293	D13.4_KREPPEL-CD99-TARGETS-DN	D9.5_ARYLSULFATASE-ACTIVITY	D16.3_HISTONE-DEACETYLASE-BINDING	D9.3_chrxq11	D17.10_ORGANELLAR-SMALL-RIBOSOMAL-SUBUNIT	D19.19_GUENTHER-GROWTH-SPHERICAL-VS-ADHERENT-UP	D16.14_GNF2-SPRR1B
TCGA-CS-4938-01B-11R-1896-07	1.689416e-01	6.479851e-01	0	3.505113e-01	8.747481e-01	1.588089e+00	9.646982e-01	3.757988e-01	5.900949e-01	0	3.934200e-01
TCGA-CS-4941-01A-01R-1470-07	3.911279e-01	7.177085e-01	4.471370e-01	9.440895e-01	9.239559e-01	2.170192e+00	1.166170e+00	6.813206e-01	6.750932e-01	1.607898e-02	0
TCGA-CS-4942-01A-01R-1470-07	3.879951e-01	8.268365e-01	1.884314e-01	5.127288e-01	1.369518e+00	7.781210e-01	8.678230e-01	8.655192e-01	6.332447e-01	0	0
TCGA-CS-4943-01A-01R-1470-07	2.188206e-01	6.347365e-01	5.120465e-01	3.504095e-01	1.351719e+00	0	9.622288e-01	1.063011e+00	7.701602e-01	0	1.611299e-01
TCGA-CS-4944-01A-01R-1470-07	2.975916e-01	6.148160e-01	0	6.728216e-01	2.416525e-01	1.774101e+00	8.510038e-01	1.168334e+00	4.417523e-01	2.907870e-02	3.484097e-01
TCGA-CS-5390-01A-02R-1470-07	4.878244e-01	8.471837e-01	2.040088e-01	1.870255e-01	1.366507e+00	2.474201e-01	1.150940e+00	2.493220e+00	6.779984e-01	0	1.764839e-01
TCGA-CS-5393-01A-01R-1470-07	6.102755e-01	9.336918e-01	9.013094e-02	2.379294e-01	1.279625e+00	4.396419e-01	1.141193e+00	9.767394e-01	4.574846e-01	3.935466e-02	0
TCGA-CS-5394-01A-01R-1470-07	8.108457e-02	5.909609e-02	1.317022e-02	7.198540e-02	1.201971e+00	6.144470e-01	9.992460e-01	3.103752e+00	8.365609e-01	0	2.740183e-01
TCGA-CS-5395-01A-01R-1470-07	5.730535e-01	6.845464e-01	5.337463e-01	8.856338e-02	9.694525e-01	2.346767e+00	8.173368e-01	6.780966e-01	5.608236e-01	0	2.276430e-01
TCGA-CS-5396-01A-02R-1470-07	0	5.228777e-01	0	8.538944e-01	1.345436e+00	5.510767e-01	1.179629e+00	3.220361e+00	7.742167e-01	4.830131e-01	1.889031e-01
TCGA-CS-5397-01A-01R-1896-07	9.280378e-01	7.955462e-01	3.158309e-01	8.922697e-01	1.458251e+00	1.630604e+00	1.149128e+00	9.267776e-01	5.513551e-01	1.543366e-01	1.907809e-01
TCGA-CS-6186-01A-12R-2027-07	0	4.581540e-01	3.096528e-01	2.549397e-02	1.907589e-01	3.504318e+00	1.462219e+00	2.337064e-01	7.758337e-01	0	0
TCGA-CS-6188-01A-11R-1896-07	1.133788e-01	8.211724e-01	3.960629e-01	1.171922e+00	1.138272e+00	2.017228e+00	1.391413e+00	8.544973e-01	4.325411e-01	1.768409e-02	1.322018e-01
TCGA-CS-6290-01A-11R-1708-07	7.015935e-02	1.030275e+00	0	7.170319e-01	9.231781e-01	1.089257e+00	1.108990e+00	5.617639e-01	5.464427e-01	6.463569e-03	1.253338e-01
TCGA-CS-6665-01A-11R-1896-07	1.312722e-01	1.374105e+00	2.607525e-01	1.237200e+00	1.553730e+00	6.764546e-02	1.131661e+00	9.400275e-01	7.313985e-01	1.830200e-01	9.698934e-02
TCGA-CS-6666-01A-11R-1896-07	0	1.431466e-01	1.337233e-01	9.250674e-01	1.226689e+00	1.108684e-01	1.133958e+00	6.891189e-01	8.914539e-01	2.064277e-03	4.792033e-01
