pValue	topAUC	KSstat	GSname
0.0000016671	0.5319	0.7043	MIPS_UTX_MLL2_3_COMPLEX
0.0000000001	0.4737	0.8479	FINETTI_BREAST_CANCERS_KINOME_GRAY
0.0103966224	0.4059	0.5399	TCGA_GLIOBLASTOMA_MUTATED
0.0009071988	0.3778	0.5592	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_LIGHTYELLOW_UP
0.0004077826	0.3731	0.5630	BIOCARTA_VDR_PATHWAY
0.0165322173	0.3363	0.4276	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE
0.0074551296	0.3141	0.3458	BIOCARTA_HER2_PATHWAY
0.0026492493	0.3111	0.5004	AACGGTT,MIR-451
0.0000000590	0.3058	0.4796	BURTON_ADIPOGENESIS_12
0.0104126914	0.3040	0.3692	INOSITOL_OR_PHOSPHATIDYLINOSITOL_KINASE_ACTIVITY
0.0001608195	0.3035	0.4373	CHIBA_RESPONSE_TO_TSA_DN
0.0058559588	0.3031	0.4900	MIPS_ANTI_BHC110_COMPLEX
0.0000001719	0.2979	0.5762	REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA
0.0016218853	0.2930	0.5389	MIPS_TFTC_TYPE_HISTONE_ACETYL_TRANSFERASE_COMPLEX
0.0037357822	0.2866	0.5873	CGTCTTA,MIR-208
0.0050643609	0.2858	0.4762	TRANSITION_METAL_ION_TRANSPORT
0.0000000459	0.2854	0.5871	REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION
0.0015848796	0.2771	0.4536	MIPS_SNF2H_COHESIN_NURD_COMPLEX
0.0000000000	0.2770	0.5508	GABRIELY_MIR21_TARGETS
0.0000043780	0.2758	0.6023	HISTONE_ACETYLTRANSFERASE_ACTIVITY
0.0000000000	0.2719	0.4345	DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN
0.0000000003	0.2697	0.6074	GCM_MAX
0.0014714858	0.2688	0.4431	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE
0.0006797225	0.2688	0.3394	REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION
0.0185695940	0.2683	0.4225	CROONQUIST_STROMAL_STIMULATION_DN
0.0000004333	0.2672	0.4729	SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX4_DN
0.0003863058	0.2655	0.4009	IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN
0.0000170416	0.2639	0.4028	GTPASE_BINDING
0.0000000000	0.2614	0.5413	GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP
0.0080562338	0.2596	0.4410	MIPS_ARC92_MEDIATOR_COMPLEX
0.0110343125	0.2549	0.5087	FIRESTEIN_CTNNB1_PATHWAY_AND_PROLIFERATION
0.0000000008	0.2529	0.5580	WENDT_COHESIN_TARGETS_UP
0.0000000001	0.2503	0.5827	GCM_RAP2A
0.0000485657	0.2467	0.3903	SMALL_GTPASE_BINDING
0.0000000000	0.2458	0.4752	DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN
0.0038689692	0.2448	0.4865	DISTECHE_ESCAPED_FROM_X_INACTIVATION
0.0000000032	0.2438	0.4603	BCAT_BILD_ET_AL_DN
0.0000000000	0.2431	0.5890	GCM_ERBB2IP
0.0072035086	0.2431	0.3395	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREEN_UP
0.0141347786	0.2417	0.4040	ONGUSAHA_BRCA1_TARGETS_DN
0.0019037006	0.2411	0.4768	MIPS_ARC_L_COMPLEX
0.0024696081	0.2408	0.3865	BIOCARTA_IGF1_PATHWAY
0.0021398466	0.2406	0.3526	PID_VEGFR1_PATHWAY
0.0002687684	0.2391	0.4091	RAS_GTPASE_BINDING
0.0000002524	0.2383	0.6103	KANG_DOXORUBICIN_RESISTANCE_DN
0.0000000000	0.2383	0.5599	MODULE_277
0.0011475131	0.2375	0.5511	MIPS_ING5_COMPLEX
0.0188899606	0.2356	0.3794	REGULATION_OF_GTPASE_ACTIVITY
0.0138642528	0.2325	0.2854	RAS_GTPASE_ACTIVATOR_ACTIVITY
0.0000000000	0.2312	0.4631	DAZARD_RESPONSE_TO_UV_NHEK_DN
