sampleID	D15.15_GNF2-BUB1	D17.11_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D12.10_AIGNER-ZEB1-TARGETS	D8.3_BOYAULT-LIVER-CANCER-SUBCLASS-G56-UP	D10.8_chr11q11	D19.17_MODULE-78	D14.1_REACTOME-RECYCLING-OF-BILE-ACIDS-AND-SALTS	D19.16_CHIANG-LIVER-CANCER-SUBCLASS-POLYSOMY7-UP	D17.9_REACTOME-BETA-DEFENSINS	D19.5_THUM-MIR21-TARGETS-HEART-DISEASE-UP	D17.12_REACTOME-BETA-DEFENSINS	D14.4_MIPS-UTX-MLL2-3-COMPLEX	D14.7_RUNNE-GENDER-EFFECT-UP	D17.17_LY-AGING-MIDDLE-DN
TCGA-2V-A95S-01A-11R-A37K-07	0	6.942234e-01	1.676381e-01	7.672385e-01	0	0	0	0	2.236344e-01	0	0	1.196066e+00	5.896843e-01	5.228410e-02
TCGA-2Y-A9GS-01A-12R-A38B-07	2.844064e-01	1.483146e-01	2.963799e-01	1.354550e+00	0	0	1.790385e+00	2.823469e-01	0	4.542830e-01	0	9.677802e-01	9.145114e-01	0
TCGA-2Y-A9GT-01A-11R-A38B-07	0	5.198345e-01	0	3.720832e-01	7.906514e-01	1.111783e-01	3.542903e+00	3.078965e-01	0	3.189739e-01	2.362775e-02	1.503206e+00	8.769677e-01	0
TCGA-2Y-A9GU-01A-11R-A38B-07	0	0	0	5.305235e-02	0	7.128114e-01	9.028972e-01	5.860822e-01	4.089885e-01	0	0	1.719319e+00	1.677533e-01	1.456044e-01
TCGA-2Y-A9GV-01A-11R-A38B-07	0	2.389305e-01	0	2.164978e-01	8.589151e-01	0	2.990885e+00	7.780210e-01	0	1.548541e-02	3.929665e-01	1.724126e+00	4.576063e-01	0
TCGA-2Y-A9GW-01A-11R-A38B-07	0	3.824721e-01	1.181858e-01	9.736269e-01	3.466008e-02	0	1.941365e+00	8.199288e-02	1.657072e-02	6.793396e-01	3.531679e-01	8.042330e-01	9.226668e-01	0
TCGA-2Y-A9GX-01A-11R-A38B-07	0	3.324508e-01	1.831951e-01	6.914100e-01	1.015372e+00	4.588124e-02	2.068564e+00	2.895380e-02	0	8.647355e-01	1.071463e-01	1.208146e+00	7.374707e-01	0
TCGA-2Y-A9GY-01A-11R-A38B-07	3.308058e-01	3.172246e-01	1.262572e-01	6.180775e-01	5.450907e-01	3.470197e-02	0	0	8.172366e-01	0	0	1.199886e+00	1.447850e+00	1.152199e-01
TCGA-2Y-A9GZ-01A-11R-A39D-07	1.882676e-01	9.552704e-03	0	6.786241e-01	6.951005e-01	1.995564e-01	3.219527e+00	3.987323e-01	0	0	0	1.430224e+00	1.126405e+00	0
TCGA-2Y-A9H0-01A-11R-A38B-07	3.618730e-01	3.738517e-01	0	3.069722e-01	0	1.289711e-03	2.066516e+00	2.214080e-01	3.178912e-01	0	0	1.272215e+00	1.529987e+00	3.664770e-01
TCGA-2Y-A9H1-01A-11R-A38B-07	0	3.229388e-01	2.856937e-02	1.982780e+00	2.141939e-01	0	2.101942e+00	0	0	0	9.848790e-02	4.097854e-02	1.014640e+00	0
TCGA-2Y-A9H2-01A-12R-A38B-07	0	2.770071e-01	1.328860e+00	9.837585e-02	3.843629e-01	3.562418e-02	1.893151e+00	1.837885e-02	0	4.649775e-01	1.274792e-01	9.506772e-01	6.176156e-01	0
TCGA-2Y-A9H3-01A-11R-A38B-07	0	3.188828e-01	0	2.733677e-01	0	6.060743e-01	1.793908e-01	9.312908e-02	7.268421e-01	4.898216e-01	0	6.832015e-01	5.861969e-01	2.016576e-01
TCGA-2Y-A9H4-01A-11R-A38B-07	1.044412e-01	2.604628e-01	0	9.982433e-01	3.336584e-02	1.489132e-01	3.279498e+00	8.025315e-02	0	7.017204e-02	0	7.832855e-01	1.635382e+00	7.122417e-02
TCGA-2Y-A9H5-01A-11R-A38B-07	0	9.730787e-02	5.051106e-01	9.050454e-03	2.728229e-01	5.549125e-03	1.015888e+00	1.856886e-01	7.575836e-01	8.715982e-01	0	1.194022e+00	3.260233e-01	0
TCGA-2Y-A9H6-01A-11R-A39D-07	0	2.061087e-01	6.763856e-03	5.680194e-01	0	5.427068e-01	1.148453e+00	7.034667e-02	3.646176e-01	8.468912e-01	0	1.013231e+00	2.886894e-01	2.660511e-02
TCGA-2Y-A9H7-01A-11R-A39D-07	0	1.344400e-01	0	6.478910e-01	6.217696e-01	0	5.088552e-01	0	1.387861e+00	0	0	1.596428e+00	1.001190e+00	0
TCGA-2Y-A9H8-01A-11R-A39D-07	5.148036e-03	3.379477e-01	0	0	0	3.132639e-01	8.689300e-01	5.451278e-01	9.586520e-01	1.164931e-01	0	1.427350e+00	2.689709e-01	2.544652e-01
TCGA-2Y-A9H9-01A-21R-A39D-07	0	2.394357e-01	0	8.912853e-01	1.379178e-02	4.737532e-01	2.966026e+00	5.906870e-02	0	0	0	1.252945e+00	1.324842e+00	0
TCGA-2Y-A9HA-01A-11R-A39D-07	4.644836e-01	7.868834e-02	1.075544e-01	3.179801e+00	0	2.842500e-02	1.094569e+00	3.179850e-01	4.030440e-01	6.627616e-02	0	7.555448e-01	1.088828e+00	0
TCGA-2Y-A9HB-01A-11R-A39D-07	0	4.190031e-01	0	1.377169e+00	5.105717e-02	4.700307e-01	2.063262e+00	2.004836e-02	0	3.289713e-01	0	1.050115e+00	6.563673e-01	0
TCGA-3K-AAZ8-01A-12R-A39D-07	0	3.116304e-01	0	2.132520e+00	0	1.989755e-01	1.828872e+00	0	0	3.539209e-02	0	8.711244e-01	6.111602e-01	0
TCGA-4R-AA8I-01A-11R-A38B-07	2.897940e-01	2.751974e-01	2.490329e-02	1.972924e+00	2.364516e-01	2.691750e-01	2.082990e+00	2.563763e-01	0	1.263518e-01	1.635969e-01	1.038466e+00	9.515388e-01	1.718600e-02
TCGA-5C-A9VG-01A-11R-A37K-07	0	0	0	2.071893e+00	8.388815e-02	9.137750e-01	0	0	1.115296e+00	5.170421e-01	0	1.027691e+00	1.768393e+00	0
TCGA-5C-A9VH-01A-11R-A37K-07	0	3.378826e-02	3.524820e-01	6.333975e-01	0	1.107198e-01	1.042644e+00	0	5.428973e-01	9.042463e-01	7.866881e-02	7.674154e-01	8.329607e-01	1.514967e-02
TCGA-5C-AAPD-01A-21R-A39D-07	3.844167e-01	5.066181e-01	1.807322e-01	2.860939e-01	0	1.785828e-01	1.719973e+00	1.307531e-01	1.296520e-01	4.897186e-01	5.521206e-02	6.714191e-01	1.115197e+00	3.348800e-01
TCGA-5R-AA1C-01A-11R-A41C-07	0	2.038468e-01	0	5.160279e+00	0	0	9.319326e-01	0	0	0	0	7.317435e-01	1.180245e+00	0
TCGA-5R-AA1D-01A-11R-A38B-07	0	0	0	9.558995e-01	7.770714e-01	7.935667e-01	7.425881e-01	0	2.075347e-01	8.255609e-01	8.812143e-01	1.141978e+00	1.329209e+00	0
TCGA-5R-AAAM-01A-12R-A41C-07	0	2.252416e-01	0	9.363045e-01	1.042193e+00	2.264419e-02	2.686817e+00	2.909523e-01	0	5.725154e-01	1.417954e-01	1.167799e+00	6.181953e-01	0
TCGA-BC-4072-01B-11R-A155-07	1.051293e-01	2.712991e-01	6.570878e-01	0	5.011050e-01	4.765261e-01	4.331085e-01	0	3.760998e-01	3.118037e-01	2.480918e-01	1.428575e+00	6.402304e-01	1.299071e-01
TCGA-BC-4073-01B-02R-A131-07	1.907617e-01	3.794021e-01	1.495318e-01	1.864809e-02	5.146598e-01	1.242781e-01	0	1.351935e-01	5.175628e-02	0	3.609969e-01	1.909104e+00	3.873852e-01	8.183755e-02
TCGA-BC-A10Q-11A-11R-A131-07	0	3.739143e-02	7.106561e-02	5.947722e-01	2.500970e+00	2.411244e-02	3.125669e+00	3.132568e-01	0	0	7.125293e-02	1.458979e+00	3.324415e-01	0
TCGA-BC-A10Q-01A-11R-A131-07	0	0	1.698402e+00	5.226166e-02	0	1.409119e-01	0	0	0	1.253244e-01	0	1.279086e+00	3.716263e-01	0
TCGA-BC-A10R-11A-11R-A131-07	0	2.132448e-01	0	3.551869e-01	2.691864e+00	8.929399e-02	3.027318e+00	2.558750e-01	0	0	8.015780e-02	1.680174e+00	1.751565e-01	0
TCGA-BC-A10R-01A-11R-A131-07	0	0	2.804666e-01	2.806162e-01	0	5.668384e-01	8.083469e-01	6.417730e-02	0	7.273208e-01	1.058945e-02	1.157578e+00	2.823592e-01	6.196535e-02
TCGA-BC-A10S-01A-22R-A131-07	0	1.223689e-01	0	1.190192e+00	9.447107e-01	0	2.653774e+00	0	5.219049e-02	4.946606e-01	2.689881e-01	7.628299e-01	1.059118e+00	0
TCGA-BC-A10T-11A-11R-A131-07	0	6.822993e-02	7.171687e-02	4.920172e-01	2.730251e+00	0	3.131244e+00	4.250128e-02	0	0	1.134656e-01	1.426842e+00	6.100781e-01	0
TCGA-BC-A10T-01A-11R-A131-07	1.316677e-01	8.655686e-03	1.025799e-01	6.649839e-01	2.181973e-01	1.765613e-02	3.251055e+00	0	0	7.198555e-01	0	1.049997e+00	1.809911e+00	0
TCGA-BC-A10U-11A-11R-A131-07	0	0	3.225424e-01	1.149061e-01	2.648184e+00	5.095682e-02	2.884232e+00	9.540907e-02	0	5.963585e-02	2.497732e-01	1.491293e+00	4.420899e-01	0
TCGA-BC-A10U-01A-11R-A131-07	2.202613e-01	4.025828e-02	2.403282e-01	2.391854e+00	1.806432e-01	0	9.409688e-01	2.128305e-01	0	0	2.037003e-01	1.047967e+00	7.438353e-01	0
TCGA-BC-A10W-11A-11R-A131-07	0	1.584169e-01	1.465133e-01	7.652574e-01	2.419014e+00	1.060759e-01	2.870210e+00	1.230058e-01	0	0	1.213459e-01	1.190324e+00	5.238436e-01	0
TCGA-BC-A10W-01A-11R-A131-07	0	0	2.963257e-01	7.250587e-01	1.764843e-01	9.893646e-03	6.804573e-01	0	0	0	1.645743e-01	1.606316e+00	1.424976e+00	5.152855e-01
TCGA-BC-A10X-11A-11R-A131-07	0	9.306599e-02	8.978048e-02	4.043484e-01	2.703624e+00	1.905991e-02	3.156376e+00	2.814293e-01	0	0	4.061718e-02	1.636895e+00	2.217052e-01	0
TCGA-BC-A10X-01A-11R-A131-07	0	9.848872e-02	1.844163e-01	6.942137e-01	2.227251e+00	1.261183e-01	2.472558e+00	1.627822e-01	0	3.244363e-01	1.255545e-01	1.435348e+00	2.520970e-01	0
TCGA-BC-A10Y-11A-11R-A131-07	0	8.949350e-02	5.121388e-02	9.554620e-01	2.297520e+00	0	2.893926e+00	5.235519e-04	0	1.752955e-01	0	1.436758e+00	5.952682e-01	0
TCGA-BC-A10Y-01A-11R-A131-07	2.300143e-01	2.487494e-01	0	3.015522e-01	0	1.414724e-01	3.396568e+00	9.309602e-02	3.299618e-02	0	0	1.196924e+00	1.665354e+00	5.257636e-02
