pValue	topAUC	KSstat	GSname
0.0000000000	0.4736	0.6771	REACTOME_BETA_DEFENSINS
0.0000000000	0.4407	0.7129	chr11q11
0.0000000000	0.4026	0.5693	REACTOME_DEFENSINS
0.0000000000	0.3881	0.7410	REACTOME_OLFACTORY_SIGNALING_PATHWAY
0.0000000000	0.3581	0.6871	KEGG_OLFACTORY_TRANSDUCTION
0.0000140047	0.3010	0.4530	chryp11
0.0090707763	0.2784	0.4078	chr13q21
0.0000000000	0.2772	0.5012	chr1q44
0.0000036499	0.2732	0.5038	REACTOME_REGULATION_OF_IFNA_SIGNALING
0.0021310282	0.2610	0.4097	chr11q25
0.0000882410	0.2116	0.4037	HEMATOPOIETIN_INTERFERON_CLASSD200_DOMAIN_CYTOKINE_RECEPTOR_BINDING
0.0000048852	0.2059	0.4174	chr9p22
0.0000642100	0.1896	0.4033	REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION
0.0056063675	0.1870	0.4918	MONTERO_THYROID_CANCER_POOR_SURVIVAL_DN
0.0000008477	0.1831	0.2110	chr14q32
0.0000000000	0.1817	0.3011	REACTOME_GPCR_DOWNSTREAM_SIGNALING
0.0000000000	0.1673	0.2624	REACTOME_SIGNALING_BY_GPCR
0.0000900057	0.1673	0.3737	KEGG_REGULATION_OF_AUTOPHAGY
0.0000002588	0.1624	0.4116	chryq11
0.0139486553	0.1592	0.1910	LEE_LIVER_CANCER_CIPROFIBRATE_DN
0.0087540884	0.1585	0.4092	TASTE_RECEPTOR_ACTIVITY
0.0028814769	0.1564	0.5675	REACTOME_OPSINS
0.0007447206	0.1560	0.4628	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM
0.0001630684	0.1480	0.1716	chr11q12
0.0017772870	0.1432	0.2289	chr11p11
0.0015334087	0.1431	0.2142	chr1q25
0.0000000001	0.1388	0.2514	chr21q22
0.0004571259	0.1360	0.4414	SU_THYMUS
0.0028208380	0.1360	0.3334	MODULE_385
0.0081057005	0.1357	0.2305	KEGG_AUTOIMMUNE_THYROID_DISEASE
0.0000020224	0.1320	0.1867	KONDO_PROSTATE_CANCER_WITH_H3K27ME3
0.0000842845	0.1316	0.2605	chr11q24
0.0000000037	0.1284	0.2248	SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4
0.0052246755	0.1267	0.4032	chrxq23
0.0001126243	0.1201	0.2208	chr17q12
0.0010025603	0.1144	0.2280	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY
0.0098830499	0.1125	0.1003	REACTOME_INNATE_IMMUNE_SYSTEM
0.0081108478	0.1122	0.3227	POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS
0.0098377921	0.1088	0.3926	VANDESLUIS_COMMD1_TARGETS_GROUP_4_DN
0.0172944264	0.1056	0.3338	MODULE_545
0.0068162282	0.1055	0.5308	chrxq11
0.0167186133	0.1039	0.2556	POSITIVE_REGULATION_OF_TRANSLATION
0.0056492372	0.1023	0.5687	REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS
0.0058762330	0.1021	0.1455	chr14q11
0.0004491160	0.1019	0.5399	REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT
0.0080834341	0.1008	0.2670	MODULE_247
0.0161105695	0.0991	0.3446	YAO_HOXA10_TARGETS_VIA_PROGESTERONE_DN
0.0048575627	0.0967	0.3667	REACTOME_ERK_MAPK_TARGETS
0.0000044364	0.0963	0.3601	KRAS.50_UP.V1_UP
0.0154181985	0.0955	0.2067	chr5q23
