sampleID	D16.12_SENGUPTA-NASOPHARYNGEAL-CARCINOMA-DN	D6.1_INAMURA-LUNG-CANCER-SCC-DN	D13.3_FARMER-BREAST-CANCER-CLUSTER-5	D13.4_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.7_GNF2-SPRR1B	D6.4_MIPS-UTX-MLL2-3-COMPLEX	D7.1_chr11q25	D11.8_chr11q11	D16.8_REACTOME-BETA-DEFENSINS	D16.15_SASSON-FSH-RESPONSE	D16.14_SINGH-NFE2L2-TARGETS
TCGA-05-4244-01A-01R-1107-07	1.719112e-01	1.612893e+00	9.538540e-01	9.033951e-01	0	1.642317e-01	4.964759e+00	0	1.084273e+00	0	0
TCGA-05-4249-01A-01R-1107-07	0	1.977966e+00	5.213948e-01	1.415006e+00	2.035177e-01	1.406928e+00	4.790622e+00	3.062480e-01	1.536267e+00	0	0
TCGA-05-4250-01A-01R-1107-07	0	1.368538e+00	2.254263e+00	6.019545e-01	4.210407e-01	0	2.878157e+00	4.300943e-04	0	0	0
TCGA-05-4382-01A-01R-1206-07	0	1.359785e+00	1.877357e+00	1.700011e+00	1.714833e-01	1.526840e+00	2.995456e+00	9.680860e-02	1.904906e-01	0	0
TCGA-05-4384-01A-01R-1755-07	0	3.888601e+00	6.299259e-01	9.317914e-01	1.344791e-01	1.471878e+00	2.230753e+00	3.099021e-01	0	7.727008e-02	3.205651e-01
TCGA-05-4389-01A-01R-1206-07	0	1.888836e+00	6.745484e-01	2.235342e+00	4.203036e-01	1.590195e+00	2.230953e+00	1.947983e-01	3.885229e-01	0	4.626690e-01
TCGA-05-4390-01A-02R-1755-07	0	1.118523e+00	1.204570e+00	1.251156e+00	0	4.303773e+00	2.209483e+00	2.716120e+00	2.292760e-02	0	0
TCGA-05-4395-01A-01R-1206-07	0	6.451671e-01	2.449937e+00	0	5.496244e-01	0	8.062832e-01	0	0	4.784285e-01	2.363789e-01
TCGA-05-4396-01A-21R-1858-07	0	2.459572e+00	6.454895e-01	8.015129e-01	5.259397e-01	2.536167e+00	1.985058e+00	8.906408e-01	0	1.928330e-01	3.933418e-02
TCGA-05-4397-01A-01R-1206-07	0	1.393284e+00	1.205515e+00	1.913053e+00	1.956982e-01	1.471513e+00	1.325635e+00	0	2.293714e-01	2.202961e-02	2.509172e-01
TCGA-05-4398-01A-01R-1206-07	0	8.208154e-01	2.006882e+00	1.427184e+00	0	4.352982e-01	3.834721e+00	5.804738e-02	1.146240e-01	0	0
TCGA-05-4402-01A-01R-1206-07	3.787627e-01	1.706806e+00	1.114249e+00	1.205492e+00	6.528911e-01	9.145247e-01	3.782976e+00	0	7.765472e-01	0	4.295661e-02
