pValue	topAUC	KSstat	GSname
0.0094246557	0.4814	0.4916	EPITHELIAL_CELL_DIFFERENTIATION
0.0079180975	0.3931	0.4129	REACTOME_XENOBIOTICS
0.0000000006	0.3603	0.3529	RICKMAN_HEAD_AND_NECK_CANCER_E
0.0038872109	0.3602	0.4249	MORPHOGENESIS_OF_AN_EPITHELIUM
0.0003450471	0.3261	0.3822	KEGG_LINOLEIC_ACID_METABOLISM
0.0067617251	0.3093	0.3218	MODULE_68
0.0067617251	0.3093	0.3218	MODULE_298
0.0000165647	0.2846	0.2825	KEGG_DRUG_METABOLISM_CYTOCHROME_P450
0.0246436973	0.2796	0.2778	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
0.0001468765	0.2795	0.2704	KEGG_RETINOL_METABOLISM
0.0177378458	0.2787	0.3252	REACTOME_LIGAND_GATED_ION_CHANNEL_TRANSPORT
0.0000026312	0.2690	0.3407	NIKOLSKY_BREAST_CANCER_8P12_P11_AMPLICON
0.0000059957	0.2629	0.3672	chr8p11
0.0002989358	0.2554	0.2489	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450
0.0012682030	0.2469	0.2380	BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE
0.0127532517	0.2261	0.2627	chr4q12
0.0000610493	0.2177	0.3101	chr4q13
0.0000000000	0.2057	0.6425	chr11q11
0.0029845480	0.1965	0.3575	GNF2_SPRR1B
0.0098897386	0.1964	0.2241	CROMER_TUMORIGENESIS_DN
0.0122586407	0.1962	0.2134	KEGG_STEROID_HORMONE_BIOSYNTHESIS
0.0010661568	0.1923	0.4955	WEBER_METHYLATED_ICP_IN_SPERM_DN
0.0000010360	0.1757	0.4532	RICKMAN_HEAD_AND_NECK_CANCER_D
0.0000017223	0.1755	0.1753	COLDREN_GEFITINIB_RESISTANCE_DN
0.0061606636	0.1747	0.3977	GOUYER_TATI_TARGETS_DN
0.0083054301	0.1695	0.4111	MODULE_462
0.0028746909	0.1665	0.1627	CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP
0.0016779629	0.1664	0.3655	WONG_ENDMETRIUM_CANCER_UP
0.0194108581	0.1649	0.3564	chrxq23
0.0045547741	0.1634	0.4803	MCBRYAN_TERMINAL_END_BUD_UP
0.0000000000	0.1632	0.4759	REACTOME_RNA_POL_I_PROMOTER_OPENING
0.0000306981	0.1622	0.6605	AUJLA_IL22_AND_IL17A_SIGNALING
0.0085868928	0.1619	0.1958	REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS
0.0152015026	0.1614	0.3881	chr13q21
0.0000000000	0.1607	0.6538	KEGG_OLFACTORY_TRANSDUCTION
0.0000000000	0.1586	0.7126	REACTOME_OLFACTORY_SIGNALING_PATHWAY
0.0104319329	0.1585	0.4870	JU_AGING_TERC_TARGETS_UP
0.0111969640	0.1566	0.3331	NIKOLSKY_BREAST_CANCER_15Q26_AMPLICON
0.0014972535	0.1561	0.3916	WEBER_METHYLATED_ICP_IN_FIBROBLAST
0.0006903773	0.1542	0.5684	MODULE_557
0.0167488125	0.1541	0.3523	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM
0.0000567633	0.1509	0.3235	chr3q29
0.0000000000	0.1486	0.6559	REACTOME_BETA_DEFENSINS
0.0025630286	0.1485	0.2165	chr15q26
0.0203146129	0.1480	0.4185	REACTOME_P2Y_RECEPTORS
0.0005925134	0.1458	0.1927	RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_UP
0.0098412591	0.1449	0.4048	REACTOME_ACYL_CHAIN_REMODELLING_OF_PS
0.0000500813	0.1446	0.2994	KEGG_ARACHIDONIC_ACID_METABOLISM
0.0000520784	0.1423	0.3683	WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_DN
0.0000000877	0.1407	0.4209	REACTOME_PACKAGING_OF_TELOMERE_ENDS
