sampleID	D16.16_RICKMAN-HEAD-AND-NECK-CANCER-D	D8.3_NAKAMURA-LUNG-CANCER-DIFFERENTIATION-MARKERS	D6.6_GNF2-SPRR1B	D13.5_SINGH-NFE2L2-TARGETS	D11.9_GNF2-BUB1	D15.5_FARMER-BREAST-CANCER-CLUSTER-5	D15.4_BARRIER-CANCER-RELAPSE-NORMAL-SAMPLE-DN	D9.7_EPITHELIAL-CELL-DIFFERENTIATION	D10.8_BIOCARTA-TCAPOPTOSIS-PATHWAY	D8.1_MIPS-40S-RIBOSOMAL-SUBUNIT-CYTOPLASMIC
TCGA-18-3406-01A-01R-0980-07	0	4.295107e-01	1.190361e+00	9.709569e-02	4.892926e-02	4.813283e-01	2.069466e-01	6.403852e-01	2.619210e-01	5.943380e+00
TCGA-18-3407-01A-01R-0980-07	0	1.208117e+00	8.333403e-01	9.095237e-01	0	8.466088e-01	8.026944e-01	4.528281e-01	2.159823e-01	4.147833e+00
TCGA-18-3408-01A-01R-0980-07	0	1.130056e+00	9.444423e-02	1.557796e+00	0	1.894682e-01	0	3.960490e-01	0	4.325588e+00
TCGA-18-3409-01A-01R-0980-07	0	1.344747e+00	0	2.621310e-01	5.708541e-01	1.946682e+00	2.559281e-01	0	8.551462e-02	3.366917e+00
TCGA-18-3410-01A-01R-0980-07	0	2.366599e-01	0	2.916337e-01	5.379433e-02	7.536784e-01	1.430852e-02	4.085046e-01	1.013046e+00	4.314602e+00
TCGA-18-3411-01A-01R-0980-07	6.866988e-02	2.681101e-01	1.435455e-01	1.449469e+00	1.031616e-01	9.778403e-01	6.331964e-01	1.049429e-01	2.181818e-01	4.931068e+00
TCGA-18-3412-01A-01R-0980-07	0	5.014437e-01	1.037897e+00	1.049806e+00	0	2.678852e-01	8.751043e-01	1.002111e+00	1.468295e-01	5.444631e+00
TCGA-18-3414-01A-01R-0980-07	5.332036e-02	5.318311e-01	1.071687e+00	1.292529e-01	7.448770e-02	9.646045e-01	9.478969e-01	1.065610e+00	2.321070e-01	4.839217e+00
TCGA-18-3415-01A-01R-0980-07	0	3.788863e-01	5.500518e-01	1.312506e+00	0	6.612812e-01	6.993525e-01	3.521813e-01	3.158363e-01	5.179632e+00
TCGA-18-3416-01A-01R-0980-07	0	0	0	1.250840e+00	0	0	3.773495e-01	4.542982e-01	3.635998e-01	4.460768e+00
TCGA-18-3417-01A-01R-1443-07	0	3.742061e-01	1.730144e-01	3.223826e-01	2.179818e-01	1.746440e+00	4.295108e-01	0	1.766957e-01	5.286321e+00
TCGA-18-3419-01A-01R-0980-07	0	0	8.975389e-01	4.296661e-02	0	1.754150e-01	1.154434e+00	1.254872e+00	2.103737e-01	5.147413e+00
TCGA-18-3421-01A-01R-0980-07	0	3.264155e-01	1.203861e+00	3.196888e-01	5.418810e-02	2.887635e-01	4.476917e-01	1.146080e+00	9.414046e-02	6.379826e+00
TCGA-18-4083-01A-01R-1100-07	0	5.620785e-01	1.928475e-01	6.939862e-01	1.697716e-01	1.130958e+00	5.921637e-01	5.777230e-01	4.162187e-01	2.680908e+00
TCGA-18-4086-01A-01R-1100-07	0	5.689525e-01	3.579217e-01	1.309030e+00	0	9.608494e-01	7.531040e-01	1.915553e-01	3.665044e-01	4.095851e+00
TCGA-18-4721-01A-01R-1443-07	0	7.204573e-01	0	1.391674e+00	0	8.882327e-01	3.146110e-01	1.534531e-02	5.254751e-01	3.614369e+00
TCGA-18-5592-01A-01R-1635-07	0	3.405899e-01	7.739625e-02	1.519730e+00	0	1.190012e+00	1.019025e+00	0	0	3.932599e+00
TCGA-18-5595-01A-01R-1635-07	0	1.134572e+00	7.151045e-01	1.279562e+00	0	6.420337e-01	1.069185e+00	5.290698e-01	0	4.261469e+00
TCGA-21-1070-01A-01R-0692-07	0	8.656978e-01	8.864725e-01	3.826669e-01	0	6.731854e-01	1.367328e+00	5.210925e-01	6.225873e-01	5.220114e+00
TCGA-21-1071-01A-01R-0692-07	0	6.979221e-01	0	1.292907e+00	6.945485e-02	9.871636e-01	7.468962e-01	0	3.098578e-01	4.350205e+00
TCGA-21-1072-01A-01R-0692-07	0	2.821427e-01	0	1.479908e+00	0	1.242840e+00	3.806806e-01	0	0	4.175702e+00
TCGA-21-1075-01A-01R-0692-07	0	5.453475e-01	4.735505e-01	1.587537e+00	2.133760e-01	5.575458e-01	3.850562e-01	4.263133e-01	0	4.634150e+00
TCGA-21-1076-01A-02R-0692-07	0	1.381866e+00	2.916707e-01	8.220308e-01	0	6.392729e-01	1.171845e+00	7.489181e-02	7.610085e-01	3.462230e+00
TCGA-21-1077-01A-01R-0692-07	0	1.052277e+00	4.216391e-01	1.163528e+00	1.040605e-01	6.426489e-01	9.096253e-01	2.419154e-01	2.809796e-01	3.764992e+00
TCGA-21-1078-01A-01R-0692-07	0	6.746713e-01	5.959526e-01	1.208775e-01	0	3.374336e-01	1.516837e+00	7.648457e-01	0	5.695857e+00
TCGA-21-1079-01A-01R-0692-07	0	0	3.092213e-01	0	0	2.561365e+00	6.663328e-01	0	0	4.739404e+00
