pValue	topAUC	KSstat	GSname
0.0000000191	0.6498	0.7086	LOPEZ_EPITHELIOID_MESOTHELIOMA
0.0000000713	0.4659	0.5127	MOSERLE_IFNA_RESPONSE
0.0000031266	0.4407	0.6906	REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10
0.0018048679	0.4057	0.4786	ROETH_TERT_TARGETS_UP
0.0018347220	0.3729	0.4491	OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORSNAD_OR_NADP_AS_ACCEPTOR
0.0065340860	0.3352	0.5327	ST_TYPE_I_INTERFERON_PATHWAY
0.0106577890	0.3243	0.3684	BOWIE_RESPONSE_TO_TAMOXIFEN
0.0001477558	0.3204	0.4392	ZHANG_INTERFERON_RESPONSE
0.0000139196	0.3195	0.3375	DAUER_STAT3_TARGETS_DN
0.0033362486	0.3047	0.3696	OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS
0.0131933913	0.2993	0.2918	GNF2_SERPINB5
0.0055385346	0.2959	0.4398	REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY
0.0005362809	0.2737	0.3791	EINAV_INTERFERON_SIGNATURE_IN_CANCER
0.0040322718	0.2155	0.2378	LIANG_SILENCED_BY_METHYLATION_2
0.0119637204	0.2140	0.2508	ZHAN_MULTIPLE_MYELOMA_LB_DN
0.0152354381	0.2126	0.2168	STAMBOLSKY_TARGETS_OF_MUTATED_TP53_DN
0.0083080994	0.2081	0.3987	LEE_LIVER_CANCER_HEPATOBLAST
0.0036598618	0.2009	0.2008	BOSCO_INTERFERON_INDUCED_ANTIVIRAL_MODULE
0.0015287721	0.1939	0.2263	BROWNE_INTERFERON_RESPONSIVE_GENES
0.0007714587	0.1938	0.2187	ECTODERM_DEVELOPMENT
0.0099458998	0.1931	0.3614	chr9p12
0.0082194163	0.1791	0.3287	PROTEIN_AMINO_ACID_LIPIDATION
0.0000000257	0.1783	0.3767	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
0.0000015236	0.1674	0.4679	REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION
0.0066452402	0.1653	0.3223	LIPOPROTEIN_BIOSYNTHETIC_PROCESS
0.0000051469	0.1651	0.1821	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP
0.0001048853	0.1640	0.2448	MODULE_357
0.0152863435	0.1602	0.1825	EPIDERMIS_DEVELOPMENT
0.0012746613	0.1592	0.1434	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP
0.0141594872	0.1587	0.1966	KEGG_GLYCOLYSIS_GLUCONEOGENESIS
0.0081896590	0.1579	0.2040	WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_DN
0.0104177170	0.1547	0.5398	NADELLA_PRKAR1A_TARGETS_DN
0.0016696669	0.1546	0.2846	chr4q35
0.0000370902	0.1532	0.2573	MODULE_297
0.0032318678	0.1520	0.4932	LATE_ENDOSOME
0.0003560697	0.1510	0.1430	GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP
0.0022748581	0.1481	0.2184	OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP
0.0000004294	0.1479	0.2213	TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP
0.0050882889	0.1477	0.2817	EXCRETION
0.0018831188	0.1449	0.2352	ISSAEVA_MLL2_TARGETS
0.0028258106	0.1447	0.2076	DER_IFN_ALPHA_RESPONSE_UP
0.0156070944	0.1444	0.3458	RUAN_RESPONSE_TO_TROGLITAZONE_DN
0.0131443898	0.1440	0.2517	MODULE_109
0.0028317209	0.1433	0.1283	LTE2_UP.V1_DN
0.0000406146	0.1426	0.1660	MEK_UP.V1_DN
0.0011178792	0.1413	0.1741	CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP
0.0001864977	0.1398	0.4340	KEGG_PROTEIN_EXPORT
0.0019384520	0.1394	0.2816	chr14q23
0.0095089725	0.1360	0.4196	WEBER_METHYLATED_ICP_IN_SPERM_DN
0.0110527150	0.1359	0.2969	MODULE_385
