sampleID	D10.4_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D11.11_HINATA-NFKB-IMMU-INF	D13.7_GNF2-GLTSCR2	D10.5_IONOTROPIC-GLUTAMATE-RECEPTOR-ACTIVITY	D6.2_LOPEZ-EPITHELIOID-MESOTHELIOMA	D10.8_SMID-BREAST-CANCER-RELAPSE-IN-LIVER-DN	D7.1_KUMAMOTO-RESPONSE-TO-NUTLIN-3A-DN	D11.1_HISTONE-ACETYLTRANSFERASE-ACTIVITY
TCGA-3H-AB3K-01A-11R-A40A-07	1.284078e+00	0	1.053815e+00	3.634486e-01	4.150463e+00	4.638499e-01	1.056216e+00	1.522360e+00
TCGA-3H-AB3L-01A-11R-A40A-07	5.947186e-01	0	9.375779e-01	0	3.639794e+00	8.397918e-01	3.148313e+00	8.778355e-01
TCGA-3H-AB3M-01A-11R-A40A-07	8.276895e-01	0	2.552664e-01	1.267290e+00	1.925392e+00	1.362040e+00	1.913428e+00	1.084365e+00
TCGA-3H-AB3O-01A-11R-A40A-07	2.561981e+00	2.011179e-01	6.039553e-01	0	2.442142e+00	4.002777e-01	4.089431e+00	1.050569e+00
TCGA-3H-AB3S-01A-21R-A40A-07	3.127071e-01	0	5.097139e-01	7.556053e-01	2.884155e+00	4.423090e-01	2.033864e+00	1.522218e+00
TCGA-3H-AB3T-01A-11R-A40A-07	1.756506e+00	0	5.392147e-01	0	1.380548e+00	0	5.879289e+00	1.625685e+00
TCGA-3H-AB3U-01A-21R-A40A-07	1.048593e+00	0	1.118393e+00	3.043397e-01	5.078563e+00	1.085863e+00	1.806678e-01	2.518484e+00
TCGA-3H-AB3X-01A-11R-A40A-07	1.897205e+00	0	1.117969e+00	1.497195e+00	1.963389e+00	1.953264e+00	4.748058e-01	1.758598e+00
TCGA-3U-A98D-01A-12R-A40A-07	1.422066e-01	9.207305e-02	8.012765e-01	4.258535e-01	1.314310e+00	1.090550e+00	3.040772e+00	1.084528e+00
TCGA-3U-A98E-01A-11R-A40A-07	1.724943e+00	1.750710e-02	5.330394e-01	0	5.536613e+00	9.804346e-01	0	2.264865e+00
