pValue	topAUC	KSstat	GSname
0.0000000000	0.9384	0.9735	FARMER_BREAST_CANCER_CLUSTER_5
0.0000000000	0.9248	0.9450	ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE
0.0000000000	0.7254	0.8040	GNF2_CDH11
0.0000000002	0.7170	0.7926	THUM_MIR21_TARGETS_HEART_DISEASE_UP
0.0000151492	0.6775	0.7381	HAEGERSTRAND_RESPONSE_TO_IMATINIB
0.0000000000	0.6250	0.6800	GNF2_PTX3
0.0000001912	0.5999	0.7517	YAGUE_PRETUMOR_DRUG_RESISTANCE_DN
0.0000000000	0.5932	0.7165	STEGER_ADIPOGENESIS_DN
0.0000000000	0.5791	0.6459	CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_DN
0.0000000000	0.5745	0.5919	TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP
0.0000000001	0.5612	0.5729	LIEN_BREAST_CARCINOMA_METAPLASTIC
0.0000002779	0.5548	0.6392	JI_CARCINOGENESIS_BY_KRAS_AND_STK11_DN
0.0002130191	0.5542	0.6959	GALIE_TUMOR_ANGIOGENESIS
0.0003620212	0.5323	0.6779	SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX6_UP
0.0002817692	0.5320	0.6526	REACTOME_PROSTANOID_LIGAND_RECEPTORS
0.0000009038	0.5289	0.5386	COLLAGEN
0.0000141216	0.5173	0.5468	NIELSEN_MALIGNAT_FIBROUS_HISTIOCYTOMA_UP
0.0000001941	0.5150	0.6009	MOROSETTI_FACIOSCAPULOHUMERAL_MUSCULAR_DISTROPHY_UP
0.0000013006	0.5142	0.6270	DASU_IL6_SIGNALING_SCAR_DN
0.0000000000	0.4941	0.6085	WONG_ENDMETRIUM_CANCER_DN
0.0000036940	0.4787	0.5896	PID_INTEGRIN5_PATHWAY
0.0000000000	0.4771	0.6844	BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN
0.0003683880	0.4763	0.5111	CHANG_POU5F1_TARGETS_UP
0.0000000000	0.4742	0.4621	TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN
0.0000000000	0.4643	0.5814	MODULE_47
0.0000497515	0.4626	0.7057	MILICIC_FAMILIAL_ADENOMATOUS_POLYPOSIS_DN
0.0031304348	0.4618	0.5377	HINATA_NFKB_MATRIX
0.0006919765	0.4583	0.4929	TSUNODA_CISPLATIN_RESISTANCE_UP
0.0000000001	0.4551	0.5468	NAKAMURA_ADIPOGENESIS_EARLY_DN
0.0000000000	0.4501	0.5360	VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP
0.0001353513	0.4436	0.6458	CHASSOT_SKIN_WOUND
0.0000000000	0.4402	0.6002	CROONQUIST_STROMAL_STIMULATION_UP
0.0000000000	0.4399	0.5212	BOQUEST_STEM_CELL_UP
0.0000000000	0.4368	0.5980	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP
0.0000021412	0.4368	0.5458	MODULE_562
0.0000001886	0.4307	0.5229	BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
0.0000000002	0.4291	0.5048	PID_INTEGRIN3_PATHWAY
0.0000712905	0.4256	0.5240	LEI_HOXC8_TARGETS_DN
0.0000000027	0.4231	0.5427	ROZANOV_MMP14_TARGETS_SUBSET
0.0006846510	0.4224	0.6222	COLLER_MYC_TARGETS_DN
0.0000000042	0.4209	0.5016	NAKAMURA_ADIPOGENESIS_LATE_DN
0.0000000000	0.4208	0.4591	REACTOME_COLLAGEN_FORMATION
0.0178807521	0.4185	0.4419	REACTOME_KERATAN_SULFATE_DEGRADATION
0.0000262912	0.4158	0.4576	VERRECCHIA_RESPONSE_TO_TGFB1_C2
0.0000000000	0.4149	0.4976	PID_INTEGRIN1_PATHWAY
0.0000106978	0.4131	0.5039	LU_TUMOR_ENDOTHELIAL_MARKERS_UP
0.0007892285	0.4125	0.5225	COLLAGEN_BINDING
0.0000000140	0.4115	0.6780	MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_DN
0.0000000283	0.4107	0.7435	MAHADEVAN_GIST_MORPHOLOGICAL_SWITCH
0.0008251045	0.4095	0.5035	LY_AGING_MIDDLE_UP
