sampleID	D6.3_FARMER-BREAST-CANCER-CLUSTER-5	D10.9_AUJLA-IL22-AND-IL17A-SIGNALING	D6.5_REACTOME-FGFR4-LIGAND-BINDING-AND-ACTIVATION	D10.6_chryq11	D6.1_MODULE-293
TCGA-04-1348-01A-01R-1565-13	1.096921e+00	0	2.946028e-01	0	5.897093e+00
TCGA-04-1357-01A-01R-1565-13	1.544035e+00	3.318266e-01	0	0	5.402408e+00
TCGA-04-1362-01A-01R-1565-13	6.459753e-01	7.542167e-01	7.931511e-01	0	4.481185e+00
TCGA-04-1364-01A-01R-1565-13	2.913695e-01	0	2.467936e+00	0	2.327310e+00
TCGA-04-1365-01A-01R-1565-13	1.028368e+00	2.030620e-01	9.222515e-01	5.657980e-02	4.986840e+00
TCGA-04-1514-01A-01R-1566-13	7.873261e-01	1.267808e-01	3.450846e+00	4.299758e-01	1.707051e+00
TCGA-04-1519-01A-01R-1565-13	1.746121e-01	4.145298e-01	9.778272e-01	2.546737e+00	2.328648e+00
TCGA-09-0364-01A-02R-1564-13	3.505613e-01	0	4.047378e+00	0	1.661408e+00
TCGA-09-0366-01A-01R-1564-13	8.701378e-01	8.703165e-01	7.708127e-01	3.207882e-01	5.336256e+00
TCGA-09-0367-01A-01R-1564-13	8.549198e-01	8.808319e-01	0	1.204088e+00	4.150047e+00
TCGA-09-0369-01A-01R-1564-13	1.871665e+00	0	3.412025e+00	0	1.953056e+00
TCGA-09-1659-01B-01R-1564-13	1.644932e+00	4.632386e-01	3.001248e-01	6.340686e-01	3.905524e+00
TCGA-09-1662-01A-01R-1566-13	1.733218e+00	1.008569e-01	9.355863e-02	6.861528e-01	4.548478e+00
TCGA-09-1666-01A-01R-1566-13	9.660830e-01	5.443969e-03	1.004269e-01	1.216673e+00	5.297603e+00
TCGA-09-1667-01C-01R-1566-13	1.670129e+00	0	4.794412e-01	7.843163e-01	5.014638e+00
TCGA-09-1668-01B-01R-1566-13	2.061450e+00	0	1.762729e-01	1.840469e-01	5.141200e+00
TCGA-09-1669-01A-01R-1566-13	1.287496e+00	3.181247e-01	1.476947e+00	7.600842e-01	3.347693e+00
