pValue	topAUC	KSstat	GSname
0.0017076434	0.4631	0.4804	MODULE_106
0.0029758060	0.4345	0.4471	REACTOME_XENOBIOTICS
0.0001943403	0.3787	0.3944	KEGG_LINOLEIC_ACID_METABOLISM
0.0152299143	0.3772	0.4312	ALDO_KETO_REDUCTASE_ACTIVITY
0.0000000000	0.3702	0.4070	VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN
0.0001956669	0.3578	0.5851	REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE
0.0002637271	0.3510	0.4351	ROY_WOUND_BLOOD_VESSEL_DN
0.0191120393	0.3430	0.4056	REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES
0.0052335800	0.3392	0.4277	REACTOME_ACYL_CHAIN_REMODELLING_OF_PS
0.0000000000	0.3258	0.4281	WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP
0.0051766853	0.3228	0.4153	REACTOME_ACYL_CHAIN_REMODELLING_OF_PG
0.0042720891	0.3114	0.3706	REACTOME_ACYL_CHAIN_REMODELLING_OF_PE
0.0000000000	0.2716	0.4071	WAMUNYOKOLI_OVARIAN_CANCER_LMP_UP
0.0090541843	0.2689	0.3844	REACTOME_GLUCURONIDATION
0.0055776048	0.2666	0.3272	WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_UP
0.0053245795	0.2618	0.4569	CARBONATE_DEHYDRATASE_ACTIVITY
0.0000012773	0.2563	0.2995	MODULE_139
0.0015395169	0.2547	0.3369	RICKMAN_HEAD_AND_NECK_CANCER_D
0.0176010233	0.2542	0.3255	MODULE_327
0.0000029641	0.2541	0.2623	SMID_BREAST_CANCER_RELAPSE_IN_BONE_UP
0.0002466311	0.2506	0.2630	KEGG_RETINOL_METABOLISM
0.0000000005	0.2502	0.3126	LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN
0.0010521051	0.2498	0.2698	REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE
0.0000000000	0.2484	0.3080	COLDREN_GEFITINIB_RESISTANCE_DN
0.0124610879	0.2463	0.2838	KEGG_O_GLYCAN_BIOSYNTHESIS
0.0087787734	0.2445	0.3655	FARMER_BREAST_CANCER_CLUSTER_7
0.0097868714	0.2364	0.4686	ZHOU_PANCREATIC_BETA_CELL
0.0002312525	0.2351	0.2524	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450
0.0223786351	0.2351	0.2443	LIU_CDX2_TARGETS_UP
0.0055655428	0.2332	0.2359	CROMER_TUMORIGENESIS_DN
0.0019101746	0.2278	0.2429	KEGG_ARACHIDONIC_ACID_METABOLISM
0.0008059178	0.2271	0.2644	KEGG_STEROID_HORMONE_BIOSYNTHESIS
0.0059490591	0.2270	0.3691	ZEMBUTSU_SENSITIVITY_TO_CISPLATIN
0.0005157040	0.2267	0.2821	WANG_BARRETTS_ESOPHAGUS_UP
0.0000002357	0.2229	0.2573	MODULE_180
0.0063132279	0.2215	0.2804	AIGNER_ZEB1_TARGETS
0.0007314386	0.2212	0.2208	SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN
0.0012516227	0.2211	0.2262	DOANE_BREAST_CANCER_CLASSES_UP
0.0003119454	0.2155	0.2483	REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS
0.0001185021	0.2124	0.2448	WOO_LIVER_CANCER_RECURRENCE_DN
0.0056407050	0.2123	0.2403	KEGG_DRUG_METABOLISM_OTHER_ENZYMES
0.0077486976	0.2117	0.4425	REGULATION_OF_ACTIN_FILAMENT_LENGTH
0.0002078130	0.2109	0.2504	KEGG_DRUG_METABOLISM_CYTOCHROME_P450
0.0020128475	0.2107	0.2322	BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE
0.0000000601	0.2081	0.2135	LEF1_UP.V1_DN
0.0201456410	0.2054	0.2842	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
0.0040152245	0.2052	0.2379	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS
0.0000006434	0.2046	0.2330	REACTOME_BIOLOGICAL_OXIDATIONS
0.0000000000	0.2035	0.2733	CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP
0.0185933873	0.2031	0.3097	KEGG_NITROGEN_METABOLISM
