sampleID	D16.12_ZHOU-PANCREATIC-ENDOCRINE-PROGENITOR	D14.11_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D15.13_GNF2-SERPINI2	D14.4_ANASTASSIOU-CANCER-MESENCHYMAL-TRANSITION-SIGNATURE	D8.4_MODULE-106	D16.1_MIPS-UTX-MLL2-3-COMPLEX	D14.7_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D15.5_REACTOME-BETA-DEFENSINS	D9.8_GNF2-SERPINB5	D16.15_chr11q11
TCGA-2L-AAQE-01A	1.438078e-01	3.741475e-01	0	7.886381e-01	1.452245e+00	2.336529e+00	4.489933e-01	0	1.230281e+00	1.796037e-01
TCGA-XD-AAUL-01A	1.994396e-01	2.792753e-02	0	1.360074e+00	1.385142e+00	2.314231e+00	6.584681e-01	5.770987e-01	5.746314e-01	2.189055e-01
TCGA-2L-AAQJ-01A	0	4.443842e-01	0	1.105605e+00	2.520757e+00	2.672446e+00	7.537647e-01	6.313324e-02	3.728150e-01	1.499762e-02
TCGA-2L-AAQI-01A	3.694580e-01	1.474341e-02	1.685723e-02	7.466559e-01	1.583036e+00	2.548714e+00	3.922357e-01	9.303554e-01	6.403906e-01	1.933052e-01
TCGA-3A-A9IB-01A	1.616095e-01	2.935141e-02	1.417143e-01	1.455277e+00	4.573251e-01	2.929914e+00	9.157208e-01	4.805229e-01	8.364645e-01	0
TCGA-3A-A9IU-01A	6.940541e-02	1.701352e-01	2.930168e-01	1.223849e+00	7.956283e-01	2.430121e+00	1.884476e-01	6.171947e-01	1.058877e+00	0
TCGA-FB-AAPS-01A	2.449733e-01	5.819436e-01	1.923821e-01	2.012643e+00	1.835460e-01	2.406721e+00	1.015216e+00	9.139128e-02	3.111694e-01	0
TCGA-HV-AA8X-01A	3.003809e-01	0	0	1.068917e+00	2.233594e+00	2.557056e+00	5.028699e-01	1.699127e-01	3.225327e-01	0
TCGA-LB-A9Q5-01A	3.704968e-01	2.398118e-01	5.478271e-01	1.231076e+00	6.019307e-01	2.750884e+00	5.810500e-01	4.940236e-01	5.089193e-01	1.955822e-02
TCGA-HZ-A9TJ-01A	2.420108e-01	1.920954e-01	0	6.835363e-01	1.865402e+00	2.585401e+00	4.849474e-01	2.915974e-01	2.477598e-01	2.738589e-01
TCGA-3A-A9IH-01A	4.245709e-01	8.273651e-02	0	1.070895e+00	1.251389e+00	2.664167e+00	5.343289e-01	2.953291e-01	1.010589e+00	1.456071e-01
TCGA-RB-AA9M-01A	5.346647e-01	2.490279e-01	0	7.054581e-01	8.563902e-01	2.591120e+00	7.420291e-01	4.168258e-01	4.642646e-01	0
TCGA-IB-AAUQ-01A	4.696216e-01	1.040085e-01	0	1.294941e+00	6.992651e-01	2.192238e+00	6.649083e-01	3.026082e-01	7.765630e-01	1.889317e-01
TCGA-3A-A9J0-01A	0	3.491911e-01	0	1.308166e+00	1.872175e+00	2.152515e+00	7.104905e-01	0	3.447185e-01	2.688867e-02
TCGA-FB-AAQ3-01A	1.187454e-01	0	0	1.339341e+00	1.789399e+00	2.025710e+00	6.882034e-01	6.844912e-01	6.592184e-01	2.098743e-01
TCGA-FB-AAQ1-01A	2.952978e-01	1.266174e-01	0	7.656284e-01	4.443249e-01	2.442550e+00	3.230997e-01	1.107522e+00	8.879919e-01	0
TCGA-2J-AAB9-01A	2.867523e-01	2.034306e-01	3.225810e-01	1.203342e+00	3.179107e-01	2.764075e+00	7.462728e-01	7.280358e-01	7.591782e-01	1.131425e-01
TCGA-2J-AABA-01A	0	4.072966e-01	0	9.834268e-01	1.808628e+00	2.285740e+00	1.076969e+00	0	2.977078e-01	2.221293e-01
TCGA-2J-AABR-01A	3.539544e-01	4.150795e-01	2.759585e-02	1.062298e+00	6.015431e-01	3.022370e+00	7.321036e-01	1.148003e+00	3.597171e-01	4.334874e-02
TCGA-FB-AAQ6-01A	3.092583e-01	8.535891e-02	0	9.068979e-01	2.122707e+00	2.125729e+00	3.659470e-01	0	1.710825e-01	3.643396e-01
