pValue	topAUC	KSstat	GSname
0.0000000008	0.6798	0.7110	WEST_ADRENOCORTICAL_TUMOR_MARKERS_DN
0.0000059821	0.6079	0.7613	SASSON_FSH_RESPONSE
0.0000016856	0.5763	0.7586	REACTOME_ETHANOL_OXIDATION
0.0000000002	0.5392	0.6841	STEROID_BIOSYNTHETIC_PROCESS
0.0000000154	0.4843	0.6308	MODULE_373
0.0000194315	0.4832	0.5865	REACTOME_ENDOGENOUS_STEROLS
0.0001720619	0.4831	0.5164	YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN
0.0000717385	0.4632	0.6134	RUAN_RESPONSE_TO_TNF_UP
0.0017515480	0.4438	0.5873	MILICIC_FAMILIAL_ADENOMATOUS_POLYPOSIS_DN
0.0000878145	0.4329	0.5672	MODULE_464
0.0000000106	0.4322	0.7199	KEGG_STEROID_BIOSYNTHESIS
0.0000000008	0.4258	0.8139	MODULE_432
0.0000000002	0.4096	0.6987	REACTOME_CHOLESTEROL_BIOSYNTHESIS
0.0002722247	0.4040	0.5195	MODULE_194
0.0000241399	0.3978	0.5219	YAO_HOXA10_TARGETS_VIA_PROGESTERONE_DN
0.0002748744	0.3928	0.5193	BOYAULT_LIVER_CANCER_SUBCLASS_G12_DN
0.0005735670	0.3922	0.5324	LU_TUMOR_VASCULATURE_DN
0.0016743008	0.3888	0.4658	GLUTATHIONE_TRANSFERASE_ACTIVITY
0.0000009289	0.3864	0.5735	WENG_POR_TARGETS_GLOBAL_UP
0.0001911626	0.3859	0.5292	MODULE_519
0.0001736615	0.3835	0.3901	REACTOME_STEROID_HORMONES
0.0000074142	0.3688	0.5604	NADERI_BREAST_CANCER_PROGNOSIS_DN
0.0010790319	0.3555	0.5124	REACTOME_REGULATION_OF_COMPLEMENT_CASCADE
0.0000672005	0.3520	0.3962	BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN
0.0021285414	0.3487	0.4444	OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORSNAD_OR_NADP_AS_ACCEPTOR
0.0000329477	0.3463	0.3862	REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D
0.0015526998	0.3421	0.4835	BIOCARTA_NUCLEARRS_PATHWAY
0.0067191186	0.3417	0.5063	MODULE_101
0.0000002935	0.3393	0.5344	SCHMIDT_POR_TARGETS_IN_LIMB_BUD_UP
0.0004835725	0.3317	0.4035	MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_DN
0.0000055141	0.3261	0.5528	YANG_MUC2_TARGETS_DUODENUM_6MO_DN
0.0135079341	0.3249	0.4202	BIOCARTA_CLASSIC_PATHWAY
0.0000961277	0.3191	0.5167	RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP
0.0001626296	0.3131	0.4562	STEGER_ADIPOGENESIS_UP
0.0000296383	0.3118	0.4834	MODULE_130
0.0000850595	0.3118	0.5680	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
0.0026371171	0.3102	0.5211	BILE_ACID_METABOLIC_PROCESS
0.0009555403	0.3072	0.4034	OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_ALDEHYDE_OR_OXO_GROUP_OF_DONORS
0.0001321588	0.3055	0.4832	RUAN_RESPONSE_TO_TROGLITAZONE_DN
0.0057939034	0.3040	0.3890	PODAR_RESPONSE_TO_ADAPHOSTIN_DN
0.0000000002	0.3024	0.4008	STEROID_METABOLIC_PROCESS
0.0006032170	0.3021	0.5507	ISOPRENOID_METABOLIC_PROCESS
0.0046085593	0.3015	0.4996	REACTOME_KERATAN_SULFATE_DEGRADATION
0.0000000012	0.3012	0.3865	REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS
0.0000324755	0.2996	0.5033	MODULE_58
0.0001681995	0.2966	0.6392	MATZUK_PREOVULATORY_FOLLICLE
0.0000057671	0.2963	0.6139	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS
0.0045675622	0.2929	0.4325	MODULE_462
0.0030192595	0.2865	0.5160	FATTY_ACID_BETA_OXIDATION
0.0023873136	0.2865	0.4064	INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY
