sampleID	D8.4_MIPS-UTX-MLL2-3-COMPLEX	D7.6_WEST-ADRENOCORTICAL-TUMOR-MARKERS-DN	D11.9_RUNNE-GENDER-EFFECT-UP	D9.3_MATHEW-FANCONI-ANEMIA-GENES	D11.8_REACTOME-BETA-DEFENSINS	D7.4_GAUTSCHI-SRC-SIGNALING	D11.11_NEUROPEPTIDE-HORMONE-ACTIVITY	D9.4_REACTOME-BETA-DEFENSINS	D9.1_MODULE-42
TCGA-P7-A5NX-01A-11R-A35K-07	2.022219e+00	2.755206e-01	5.951295e-01	2.833264e+00	6.163872e-01	1.647820e+00	0	1.963098e+00	6.733608e-01
TCGA-P7-A5NY-05A-11R-A35K-07	2.207592e+00	5.878621e-01	1.171299e+00	0	3.449236e-01	1.658272e+00	0	5.791376e-01	3.718437e+00
TCGA-P7-A5NY-01A-12R-A35K-07	2.249850e+00	3.175634e-01	5.683862e-01	3.035209e-01	7.008439e-01	0	0	4.897860e-01	4.653779e+00
TCGA-P8-A5KC-11A-11R-A35K-07	8.000848e-01	4.428975e+00	8.253769e-01	1.114691e+00	5.118776e-01	6.458691e-01	0	9.646180e-01	1.021435e+00
TCGA-P8-A5KC-01A-11R-A35K-07	2.276932e+00	3.774899e-01	8.536369e-01	0	3.553667e+00	1.197270e+00	9.658090e-02	1.395628e+00	0
TCGA-P8-A5KD-11A-11R-A35K-07	8.149544e-01	5.050111e+00	0	1.005806e+00	8.994195e-01	0	0	3.173336e-01	1.031003e+00
TCGA-P8-A5KD-01A-11R-A35K-07	2.258672e+00	3.890725e-01	5.737774e-01	7.363968e-01	2.117774e-01	1.038258e+00	6.308855e-01	1.299808e-01	4.373174e+00
TCGA-P8-A6RX-01A-11R-A35K-07	2.326756e+00	0	7.685524e-01	1.042439e+00	2.181832e-02	4.655225e+00	0	1.955241e+00	0
TCGA-P8-A6RY-01A-12R-A35K-07	1.598727e+00	3.963459e-01	8.090121e-01	2.710227e+00	9.144653e-01	1.501986e+00	0	2.512894e+00	1.804553e-01
TCGA-PR-A5PF-01A-11R-A35K-07	1.905702e+00	0	8.066481e-02	1.035311e+00	3.606563e+00	0	6.304630e-01	9.019838e-01	1.003176e+00
TCGA-PR-A5PG-01A-11R-A35K-07	2.354755e+00	0	7.045355e-01	1.483832e-01	4.452439e-01	5.215298e-01	0	6.333032e-01	4.650262e+00
TCGA-PR-A5PH-01A-11R-A35K-07	2.039161e+00	2.114171e-01	5.667200e-01	2.649637e-01	4.008761e+00	0	0	7.219593e-01	8.382087e-01
TCGA-QR-A6GO-01A-11R-A35K-07	1.541979e+00	5.561784e-01	1.491405e+00	9.244952e-01	1.779690e-01	1.531832e+00	2.069817e-01	1.445975e+00	3.170946e+00
TCGA-QR-A6GR-01A-11R-A35K-07	1.170167e+00	1.532286e+00	6.572419e-01	5.849406e-01	0	1.757001e+00	2.443492e-01	1.223498e+00	3.238334e+00
TCGA-QR-A6GS-01A-11R-A35K-07	2.225048e+00	1.754948e-01	1.016444e+00	7.165141e-02	7.686860e-01	1.948779e+00	7.829656e-02	1.446628e+00	3.065695e+00
TCGA-QR-A6GT-01A-11R-A35K-07	2.100028e+00	6.257674e-01	1.325410e+00	3.035980e+00	1.805046e-01	3.824430e+00	0	0	5.532111e-02
TCGA-QR-A6GU-01A-11R-A35K-07	2.369244e+00	0	5.644465e-01	3.187385e+00	4.280577e-01	2.512347e+00	0	1.201897e+00	0
TCGA-QR-A6GW-01A-11R-A35K-07	1.884174e+00	2.092885e-01	9.631779e-01	1.407045e+00	0	1.607126e+00	8.425887e-01	5.023293e-01	4.172100e+00
TCGA-QR-A6GX-01A-11R-A35K-07	2.005435e+00	1.569803e-01	5.502433e-01	3.613351e+00	1.029584e+00	1.452325e+00	0	1.197663e+00	0
TCGA-QR-A6GY-01A-11R-A35K-07	1.850955e+00	1.648359e-01	6.313522e-01	2.418826e-01	1.832152e+00	1.006271e+00	0	3.741935e+00	5.116387e-01
