pValue	topAUC	KSstat	GSname
0.0000121241	0.4235	0.7122	MANNOSYLTRANSFERASE_ACTIVITY
0.0007114772	0.3738	0.4920	MODULE_519
0.0000000962	0.3188	0.5337	REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN
0.0017226342	0.3139	0.4801	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION
0.0259961416	0.3090	0.4437	KEGG_LIMONENE_AND_PINENE_DEGRADATION
0.0015191190	0.2937	0.3372	MODULE_221
0.0018755191	0.2931	0.3627	AMINO_ACID_CATABOLIC_PROCESS
0.0044746622	0.2872	0.4083	GRATIAS_RETINOBLASTOMA_16Q24
0.0003699058	0.2834	0.3062	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
0.0014500008	0.2829	0.3438	NITROGEN_COMPOUND_CATABOLIC_PROCESS
0.0040156341	0.2714	0.3301	AMINE_CATABOLIC_PROCESS
0.0156173605	0.2656	0.2820	MODULE_184
0.0000806611	0.2448	0.5694	REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS
0.0009713576	0.2417	0.3367	KEGG_PROPANOATE_METABOLISM
0.0147223395	0.2415	0.2626	KEGG_BUTANOATE_METABOLISM
0.0000000001	0.2359	0.3549	LIU_PROSTATE_CANCER_UP
0.0033209118	0.2328	0.2705	KEGG_FATTY_ACID_METABOLISM
0.0175396491	0.2280	0.4250	VITAMIN_BINDING
0.0198186271	0.2279	0.3556	REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI
0.0081136432	0.2273	0.3509	MODULE_295
0.0204719465	0.2193	0.4181	MODULE_272
0.0006665507	0.2116	0.5696	ORGANELLAR_SMALL_RIBOSOMAL_SUBUNIT
0.0006665507	0.2116	0.5696	MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT
0.0006665507	0.2116	0.5696	SMALL_RIBOSOMAL_SUBUNIT
0.0049981055	0.2106	0.4047	REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM
0.0248798640	0.2103	0.4264	LYSOSOME_ORGANIZATION_AND_BIOGENESIS
0.0250653639	0.2093	0.2291	TOMLINS_PROSTATE_CANCER_UP
0.0020843335	0.2071	0.1973	NELSON_RESPONSE_TO_ANDROGEN_UP
0.0076930857	0.2051	0.3243	MODULE_343
0.0030408857	0.2038	0.2454	NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON
0.0160880651	0.2013	0.3537	EARLY_ENDOSOME
0.0183893645	0.1999	0.3399	INTRAMOLECULAR_OXIDOREDUCTASE_ACTIVITY
0.0191157849	0.1995	0.3025	ER_GOLGI_INTERMEDIATE_COMPARTMENT
0.0036820479	0.1994	0.5312	GOUYER_TATI_TARGETS_UP
0.0240936861	0.1987	0.2691	WANG_RESPONSE_TO_ANDROGEN_UP
0.0026941395	0.1985	0.3533	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS
0.0043965372	0.1971	0.1954	AMINO_ACID_METABOLIC_PROCESS
0.0025347619	0.1967	0.2015	WOO_LIVER_CANCER_RECURRENCE_DN
0.0000169668	0.1950	0.4846	CREIGHTON_AKT1_SIGNALING_VIA_MTOR_DN
0.0029814332	0.1852	0.1671	LIEN_BREAST_CARCINOMA_METAPLASTIC_VS_DUCTAL_DN
0.0185488995	0.1834	0.4225	GLYCOPROTEIN_CATABOLIC_PROCESS
0.0172978954	0.1820	0.3121	OXIDOREDUCTASE_ACTIVITY_ACTING_ON_THE_CH_CH_GROUP_OF_DONORS
0.0088734348	0.1787	0.3481	HASLINGER_B_CLL_WITH_17P13_DELETION
0.0063874766	0.1775	0.1667	AMINO_ACID_AND_DERIVATIVE_METABOLIC_PROCESS
0.0035635997	0.1759	0.3848	WALLACE_PROSTATE_CANCER_UP
0.0019728817	0.1756	0.2027	MODULE_40
0.0034276590	0.1694	0.3688	MOOTHA_FFA_OXYDATION
0.0001246137	0.1652	0.3178	KEGG_N_GLYCAN_BIOSYNTHESIS
0.0073673880	0.1637	0.3194	REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS
0.0165308065	0.1625	0.4455	BIOCARTA_VITCB_PATHWAY
