sampleID	D9.8_GNF2-TTN	D10.8_REACTOME-BETA-DEFENSINS	D11.10_MODULE-432	D11.1_MIPS-UTX-MLL2-3-COMPLEX	D13.5_CHASSOT-SKIN-WOUND	D11.3_chr11q11	D11.4_MANNOSYLTRANSFERASE-ACTIVITY	D11.5_EPITHELIAL-CELL-DIFFERENTIATION	D10.6_BIOCARTA-TCAPOPTOSIS-PATHWAY	D11.2_GNF2-GLTSCR2
TCGA-2A-A8VL-01A-21R-A37L-07	4.088128e-01	5.693580e-01	3.596481e-02	2.189795e+00	1.693113e+00	1.556887e+00	1.517218e+00	1.653617e+00	0	1.319626e+00
TCGA-2A-A8VO-01A-11R-A37L-07	1.125906e+00	2.907305e-01	3.854639e-02	1.764778e+00	1.511595e+00	7.441450e-01	2.081690e+00	0	1.243477e+00	1.508185e+00
TCGA-2A-A8VT-01A-11R-A37L-07	0	4.445436e-01	8.268421e-01	2.863985e+00	8.681847e-01	1.332715e+00	1.702754e-01	1.044833e+00	1.220182e-01	2.481764e+00
TCGA-2A-A8VV-01A-11R-A37L-07	6.695851e-01	5.327311e-01	7.757347e-02	1.908792e+00	8.276882e-01	2.879997e+00	5.981419e-01	3.844806e-01	7.420648e-01	1.707241e+00
TCGA-2A-A8VX-01A-11R-A37L-07	7.389799e-01	5.453510e-01	0	1.703115e+00	9.810087e-01	5.473307e-01	1.301724e+00	1.944740e-01	6.970916e-01	2.884052e+00
TCGA-2A-A8W1-01A-11R-A37L-07	0	3.224744e-01	3.434795e-01	2.666296e+00	1.142164e+00	9.368803e-01	1.911565e+00	1.593523e-01	0	2.484580e+00
TCGA-2A-A8W3-01A-11R-A37L-07	1.780532e-01	4.653107e-01	1.698226e-02	3.018358e+00	1.016444e+00	1.028650e+00	5.952229e-01	8.418639e-01	5.496816e-01	2.439812e+00
TCGA-2A-AAYF-01A-11R-A41O-07	5.947730e-01	4.758833e-01	3.285935e-02	2.028217e+00	1.231707e+00	8.496942e-01	2.440053e+00	1.351452e-01	1.068061e+00	1.250926e+00
TCGA-2A-AAYO-01A-11R-A41O-07	1.122338e+00	1.930795e-01	7.535436e-02	1.749492e+00	1.286878e+00	6.505463e-01	1.983141e+00	1.251794e-02	1.515731e+00	1.584750e+00
TCGA-2A-AAYU-01A-11R-A41O-07	8.360853e-01	4.359535e-01	7.114603e-01	2.110461e+00	1.058314e+00	2.479606e+00	6.841220e-01	1.629737e-01	3.111311e-01	1.641095e+00
TCGA-4L-AA1F-01A-11R-A41O-07	1.111396e+00	4.765988e-01	1.053162e+00	2.111607e+00	1.317059e+00	3.912191e-01	0	0	1.698184e+00	2.098117e+00
TCGA-CH-5737-01A-11R-1580-07	1.060372e-01	7.420593e-01	4.700517e-01	2.612098e+00	1.483411e+00	5.574333e-01	2.351760e+00	2.632792e-01	5.954150e-01	1.061175e+00
TCGA-CH-5738-01A-11R-1580-07	2.259826e-01	1.658250e-01	0	2.382925e+00	1.621925e+00	1.585703e+00	7.075073e-01	2.159582e-01	2.165477e+00	7.982022e-01
TCGA-CH-5739-01A-11R-1580-07	4.352002e-01	1.423728e-01	4.912925e-02	2.565830e+00	1.226535e+00	2.186632e+00	4.168730e-01	8.968439e-04	1.547934e+00	1.323799e+00
TCGA-CH-5740-01A-11R-1580-07	8.831365e-02	2.327620e-01	2.728216e-01	2.358056e+00	6.772834e-01	2.698793e+00	4.230984e-01	3.589561e-01	1.257818e+00	1.541044e+00
TCGA-CH-5741-01A-11R-1580-07	0	7.728664e-01	6.782523e-01	2.307174e+00	1.124633e+00	2.875151e+00	4.221754e-01	1.020886e-01	2.203041e-02	1.677517e+00
TCGA-CH-5743-01A-21R-1580-07	0	8.996408e-01	0	2.658141e+00	1.638828e+00	5.111259e-01	5.028282e-01	1.742624e+00	1.113303e+00	1.029276e+00
TCGA-CH-5744-01A-11R-1580-07	3.969007e-02	2.653084e-01	9.041201e-01	2.179754e+00	1.730138e+00	2.326168e+00	3.701934e-01	7.565085e-01	5.240023e-01	1.456002e+00
TCGA-CH-5745-01A-11R-1580-07	2.791634e-01	2.874587e-01	2.114872e-02	2.281050e+00	1.513817e+00	1.040056e+00	5.515001e-01	1.015624e+00	1.628539e+00	1.426178e+00
TCGA-CH-5746-01A-11R-1580-07	0	5.806626e-01	0	2.759482e+00	9.576353e-01	1.885571e+00	1.050257e+00	1.186437e+00	6.942851e-01	1.046185e+00
TCGA-CH-5748-01A-11R-1580-07	1.142717e-01	3.039952e-01	2.218393e-02	2.793637e+00	5.624344e-01	1.089602e+00	1.905200e+00	6.148772e-01	1.234040e+00	1.149680e+00
TCGA-CH-5750-01A-11R-1580-07	0	2.657829e-01	0	2.827318e+00	1.063270e+00	1.177048e+00	9.127283e-01	1.437692e-01	1.455419e+00	1.796020e+00
TCGA-CH-5751-01A-11R-1580-07	3.988552e-01	2.177032e-01	0	3.736713e+00	7.090769e-01	0	3.894117e-01	0	8.232497e-01	3.320628e+00
TCGA-CH-5752-01A-11R-1580-07	6.539868e-01	3.572858e-01	0	3.356664e+00	8.668398e-01	2.488009e+00	3.781726e-01	0	0	2.328400e+00
TCGA-CH-5753-01A-11R-1580-07	0	2.490641e-02	2.012962e-01	3.351810e+00	1.462841e+00	1.173704e+00	6.947943e-01	2.586819e-01	7.711507e-01	1.993044e+00
TCGA-CH-5754-01A-11R-1580-07	1.590993e-01	2.963374e-01	9.807775e-01	2.283427e+00	1.146597e+00	1.266947e+00	0	6.106599e-01	1.240992e+00	2.126257e+00
TCGA-CH-5761-11A-01R-1580-07	0	8.038527e-01	1.029163e-01	2.382215e+00	1.231882e+00	7.117873e-01	1.238878e+00	1.785437e+00	1.085146e+00	8.184239e-01
TCGA-CH-5761-01A-11R-1580-07	3.621836e-01	7.612519e-01	1.208263e+00	2.720527e+00	7.977048e-01	0	5.770536e-01	6.772710e-01	4.095712e-01	2.493459e+00
TCGA-CH-5762-01A-11R-1580-07	2.984150e-01	2.358972e-01	0	2.844469e+00	1.277850e+00	1.192695e+00	4.982222e-01	8.309989e-01	1.480401e+00	1.270671e+00
