pValue	topAUC	KSstat	GSname
0.0000000044	0.9050	0.9884	RUNNE_GENDER_EFFECT_UP
0.0000000000	0.8337	0.8474	CAR_HPX
0.0000000000	0.8275	0.8517	CAR_IGFBP1
0.0000000000	0.7378	0.7555	SU_LIVER
0.0000000000	0.7250	0.7395	GNF2_IGF1
0.0000000570	0.7046	0.7529	REACTOME_COMMON_PATHWAY
0.0000000111	0.6942	0.8506	REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS
0.0000000965	0.6818	0.7364	BIOCARTA_EXTRINSIC_PATHWAY
0.0000000000	0.6755	0.7010	GNF2_HPX
0.0000000000	0.6719	0.7006	GNF2_CYP2B6
0.0000000000	0.6637	0.6841	GNF2_CEBPA
0.0000001633	0.6582	0.7066	REACTOME_XENOBIOTICS
0.0000000000	0.6540	0.6823	GNF2_HPN
0.0000000000	0.6519	0.6793	GNF2_LCAT
0.0000000000	0.6446	0.6704	GNF2_GSTM1
0.0000000000	0.6293	0.6576	GNF2_TST
0.0000910299	0.6269	0.6307	ACUTE_INFLAMMATORY_RESPONSE
0.0000000228	0.6247	0.7052	REACTOME_GLUCURONIDATION
0.0001044792	0.5715	0.6268	REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS
0.0000001755	0.5580	0.5759	BIOCARTA_INTRINSIC_PATHWAY
0.0000037692	0.5513	0.6230	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL
0.0000000000	0.5504	0.5828	HSIAO_LIVER_SPECIFIC_GENES
0.0009830227	0.5385	0.5348	BIOCARTA_FIBRINOLYSIS_PATHWAY
0.0000000196	0.5267	0.6011	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
0.0002021076	0.5094	0.5447	MODULE_106
0.0000003633	0.5087	0.5332	MODULE_135
0.0000000000	0.5052	0.5241	LEE_LIVER_CANCER
0.0000000000	0.5046	0.5484	KEGG_RETINOL_METABOLISM
0.0004896318	0.5009	0.5797	XENOBIOTIC_METABOLIC_PROCESS
0.0000066441	0.4974	0.6734	REACTOME_GLYCOPROTEIN_HORMONES
0.0016791546	0.4971	0.5616	TRIACYLGLYCEROL_METABOLIC_PROCESS
0.0000000587	0.4930	0.5156	REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE
0.0003047371	0.4800	0.5012	REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT
0.0023696393	0.4752	0.5485	chr6q26
0.0000001773	0.4663	0.5331	KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
0.0012526959	0.4591	0.5267	RESPONSE_TO_XENOBIOTIC_STIMULUS
0.0000480828	0.4578	0.4732	OXYGEN_BINDING
0.0000000000	0.4490	0.4684	CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN
0.0001601681	0.4456	0.4672	BIOCARTA_AMI_PATHWAY
0.0000000000	0.4449	0.4722	KEGG_DRUG_METABOLISM_CYTOCHROME_P450
0.0032872485	0.4440	0.5128	MODULE_377
0.0000000000	0.4411	0.5043	WOO_LIVER_CANCER_RECURRENCE_DN
0.0062438119	0.4408	0.4681	VITAMIN_BINDING
0.0035610818	0.4402	0.5097	REACTOME_TRYPTOPHAN_CATABOLISM
0.0000040969	0.4382	0.4749	REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM
0.0010375327	0.4369	0.4533	TUOMISTO_TUMOR_SUPPRESSION_BY_COL13A1_DN
0.0014972196	0.4359	0.5017	MODULE_415
0.0141714733	0.4354	0.4730	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL
0.0001348733	0.4352	0.4827	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS
0.0000070709	0.4339	0.4499	REACTOME_COMPLEMENT_CASCADE
