sampleID	D7.4_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D5.5_SABATES-COLORECTAL-ADENOMA-SIZE-DN	D10.10_RUNNE-GENDER-EFFECT-UP	D10.7_NIKOLSKY-BREAST-CANCER-20Q11-AMPLICON	D7.5_AUJLA-IL22-AND-IL17A-SIGNALING
TCGA-AF-2687-01A-02R-1736-07	2.001779e+00	2.984796e-02	3.789762e-01	5.181831e-02	5.446831e-01
TCGA-AF-2689-11A-01R-A32Z-07	2.699790e+00	2.390728e+00	8.844541e-02	0	1.874383e-01
TCGA-AF-2690-01A-02R-1736-07	2.306103e+00	5.540113e-01	4.554223e-01	0	5.436685e-01
TCGA-AF-2691-11A-01R-A32Z-07	2.510448e+00	2.380287e+00	8.643466e-02	0	3.891524e-01
TCGA-AF-2692-11A-01R-A32Z-07	2.837144e+00	2.210204e+00	7.645474e-02	0	1.065788e-01
TCGA-AF-2693-01A-02R-1736-07	8.272575e-01	1.373442e+00	1.005404e-01	0	1.175597e+00
TCGA-AF-3400-11A-01R-A32Z-07	1.509520e+00	2.614848e+00	8.148378e-02	0	5.134340e-01
TCGA-AF-3911-01A-01R-1736-07	1.250528e+00	8.921973e-01	0	7.504169e-01	7.254388e-01
TCGA-AF-4110-01A-02R-1736-07	1.271485e+00	1.300940e+00	2.848494e-01	7.005127e-01	1.389616e+00
TCGA-AF-5654-11A-11R-1660-07	1.577998e+00	2.640369e+00	9.160314e-02	0	1.775574e-01
TCGA-AF-5654-01A-01R-1660-07	4.915079e-01	4.521077e-01	1.976646e-01	5.711459e-02	1.571795e+00
TCGA-AF-6136-01A-11R-1830-07	8.059247e-01	1.447567e+00	0	4.555341e-01	1.244284e+00
TCGA-AF-6655-01A-11R-1830-07	1.029506e+00	7.086022e-01	7.516453e-03	2.306332e-01	1.211355e+00
TCGA-AF-6672-01A-11R-1830-07	7.628797e-01	1.310037e+00	2.091016e-02	4.662788e-01	1.701416e+00
TCGA-AF-A56K-01A-32R-A39D-07	1.157922e+00	3.716702e-01	2.278674e-01	3.510773e-01	4.241088e-01
TCGA-AF-A56L-01A-31R-A39D-07	1.183868e+00	2.634950e-01	1.567008e-01	5.668760e-01	6.486807e-01
TCGA-AF-A56N-01A-12R-A39D-07	9.684965e-01	2.312124e-01	1.148066e-01	5.467353e-01	5.459257e-01
TCGA-AG-3591-01A-01R-1736-07	8.180978e-01	1.490575e+00	1.348971e-01	1.490039e-01	2.096833e+00
TCGA-AG-3592-01A-02R-1736-07	5.829664e-01	8.061814e-01	5.575251e-02	1.175152e-01	1.115176e+00
TCGA-AG-3725-11A-01R-1736-07	2.404774e+00	2.623202e+00	3.947690e-01	0	6.335754e-01
TCGA-AG-3725-01A-11R-1736-07	4.929861e-01	1.231730e+00	0	7.938263e-01	1.382512e+00
TCGA-AG-3731-11A-01R-1736-07	2.505668e+00	2.457698e+00	2.885036e-01	0	4.685061e-01
TCGA-AG-3731-01A-11R-1736-07	1.296754e+00	9.342569e-01	1.291928e-01	0	1.464827e+00
TCGA-AG-3732-11A-01R-1660-07	3.095207e+00	2.162755e+00	5.611069e-02	0	0
TCGA-AG-3732-01A-11R-1660-07	1.338443e+00	1.438577e+00	6.119011e-02	3.192051e-01	1.235256e+00
TCGA-AG-3742-11A-01R-1660-07	3.030377e+00	2.365207e+00	2.624773e-01	0	8.160638e-02
TCGA-AG-3742-01A-11R-1660-07	9.923527e-01	6.796766e-02	0	8.733358e-01	3.426093e-01
TCGA-AG-3902-01A-01R-A32Z-07	9.213968e-01	1.277385e+00	2.509703e-01	7.425276e-01	1.742036e+00
TCGA-AG-4021-01A-01R-1736-07	1.268595e+00	4.876885e-01	0	4.676198e-01	1.016068e+00
TCGA-AG-4022-01A-01R-1736-07	1.312250e+00	1.204305e+00	1.117509e-01	1.008065e+00	2.168818e-01
TCGA-AH-6544-01A-11R-1830-07	3.991148e-01	1.412095e+00	1.102481e-01	3.649109e-01	1.492446e+00
TCGA-AH-6547-01A-11R-1830-07	1.507740e+00	2.078990e+00	1.476624e-01	1.144063e-01	6.702867e-01
TCGA-AH-6549-01A-11R-1830-07	9.471811e-01	3.980346e-01	3.862431e-02	2.442607e-01	1.553428e+00
TCGA-AH-6643-11A-01R-1830-07	2.481905e+00	2.443767e+00	1.741880e-01	0	0
TCGA-AH-6643-01A-11R-1830-07	1.025691e+00	0	3.951646e-01	4.920491e-01	1.222234e+00
TCGA-AH-6644-01A-21R-1830-07	1.393611e+00	3.213499e-01	2.339836e-01	2.405200e-01	6.451854e-01
TCGA-AH-6897-01A-11R-1928-07	2.191444e-01	4.903418e-01	0	0	1.178507e+00
TCGA-AH-6903-01A-11R-1928-07	4.904018e-01	1.401594e+00	1.215490e-01	1.676597e-01	1.313680e+00
TCGA-BM-6198-01A-11R-1736-07	1.186764e+00	8.222474e-01	2.235048e-01	4.762428e-02	2.183665e+00
TCGA-CI-6619-01B-11R-1830-07	7.922469e-01	1.173627e+00	2.668088e-01	5.107255e-01	1.913300e+00
TCGA-CI-6620-01A-11R-1830-07	1.013869e+00	7.139386e-01	3.111443e-02	4.351947e-02	1.591837e+00
TCGA-CI-6621-01A-11R-1830-07	7.136390e-01	9.381331e-01	2.641171e-01	0	1.584290e+00
TCGA-CI-6622-01A-11R-1830-07	3.994741e-01	1.388503e+00	2.592712e-01	4.944394e-01	1.031644e+00
TCGA-CI-6623-01B-11R-1830-07	4.051296e-01	5.604943e-01	7.877743e-02	1.250545e-01	1.106970e+00
TCGA-CI-6624-01C-11R-1830-07	1.115672e+00	1.686617e+00	9.317951e-02	1.868571e-01	4.956354e-01
TCGA-CL-4957-01A-01R-1736-07	6.390937e-01	9.210743e-01	9.439192e-02	3.298444e-01	1.482214e+00
TCGA-CL-5917-01A-11R-1660-07	9.191205e-01	2.402278e-01	2.862310e-01	8.714809e-01	0
TCGA-CL-5918-01A-11R-1660-07	4.691869e-01	3.046673e-01	1.815445e-01	1.064274e+00	7.753594e-01
TCGA-DC-4745-01A-01R-A32Z-07	1.136587e+00	9.782114e-01	5.063711e-02	2.845268e-02	1.075297e+00
TCGA-DC-4749-01A-01R-1736-07	4.599491e-01	8.370695e-01	2.139893e-01	2.208614e-01	8.914778e-01
TCGA-DC-5337-01A-01R-1660-07	4.871698e-01	1.000209e+00	3.032256e-01	0	1.895847e+00
TCGA-DC-5869-01A-01R-1660-07	9.359131e-01	4.981644e-01	7.253631e-02	3.602882e-01	7.087169e-01
TCGA-DC-6154-01A-31R-1928-07	9.983949e-01	4.414439e-01	7.507286e-01	6.089688e-01	1.144833e-03
TCGA-DC-6155-01A-11R-1660-07	1.131348e+00	8.391146e-01	2.583832e-01	1.016168e+00	2.954852e+00
TCGA-DC-6156-01A-11R-1660-07	1.500306e+00	2.779957e-01	2.359442e-01	1.326210e-01	0
TCGA-DC-6157-01A-11R-1660-07	6.698748e-01	6.180597e-01	3.219042e-01	4.277019e-01	2.361572e-02
TCGA-DC-6158-01A-11R-1660-07	1.157067e+00	4.929300e-01	3.861564e-02	3.548560e-01	5.633157e-01
TCGA-DC-6160-01A-11R-1660-07	1.749837e-01	1.207364e+00	0	0	1.596297e+00
TCGA-DC-6681-01A-11R-A32Z-07	1.792366e+00	1.240270e+00	1.111823e-01	2.266306e-01	4.149789e-01
TCGA-DC-6682-01A-11R-1830-07	6.821696e-01	6.545736e-01	3.640508e-02	0	6.038112e-01
TCGA-DC-6683-01A-11R-1830-07	8.707949e-01	6.114094e-01	2.144119e-01	2.419669e-01	0
TCGA-DT-5265-01A-21R-1830-07	2.136222e+00	4.446648e-01	4.254810e-01	6.406708e-01	1.735688e+00
TCGA-DY-A0XA-01A-11R-A155-07	7.568717e-01	2.940468e-01	1.770859e-01	3.264448e-01	1.110205e-01
TCGA-DY-A1DC-01A-31R-A155-07	1.091682e+00	5.990653e-01	4.348002e-02	3.293072e-01	5.218031e-01
TCGA-DY-A1DD-01A-21R-A155-07	1.876309e+00	0	8.766019e-02	1.936556e+00	0
TCGA-DY-A1DE-01A-11R-A155-07	1.602496e+00	5.152920e-01	0	0	6.941454e-01
TCGA-DY-A1DF-01A-11R-A155-07	2.086120e+00	1.565031e-01	0	1.900219e+00	2.912352e-01
TCGA-DY-A1DG-01A-11R-A32Y-07	5.525684e-01	6.547237e-01	3.531429e-01	8.360857e-01	4.652060e-01
TCGA-DY-A1H8-01A-21R-A155-07	5.104963e-01	1.437781e-01	6.254701e-01	1.096968e+00	1.678616e+00
TCGA-EF-5830-01A-01R-1660-07	7.417075e-01	4.004759e-01	3.120261e-01	1.088279e+00	1.003903e+00
TCGA-EF-5831-01A-01R-1660-07	9.540589e-01	5.576250e-01	0	0	2.701624e-01
TCGA-EI-6506-01A-11R-1736-07	7.112942e-01	1.664371e+00	6.412486e-02	1.302797e-01	1.212811e+00
TCGA-EI-6507-01A-11R-1736-07	1.171754e+00	2.972994e-01	3.830693e-01	0	2.584934e+00
TCGA-EI-6508-01A-11R-1736-07	8.822628e-01	1.303696e+00	0	3.679452e-01	6.395282e-01
TCGA-EI-6509-01A-11R-1736-07	9.969667e-01	2.575266e-01	2.662134e-01	1.218003e+00	1.315300e+00
TCGA-EI-6510-01A-11R-1736-07	3.527781e-01	1.286793e+00	1.156724e-01	1.406128e-01	1.639738e+00
TCGA-EI-6511-01A-11R-1736-07	8.216227e-01	4.645810e-01	3.226929e-01	7.263333e-02	7.458275e-01
TCGA-EI-6512-01A-11R-1736-07	4.905704e-01	1.013257e+00	1.798876e-01	6.960486e-01	1.625741e+00
TCGA-EI-6513-01A-21R-1736-07	7.517705e-01	2.397794e-01	1.212558e-01	7.886789e-01	6.772329e-01
TCGA-EI-6514-01A-11R-1736-07	1.625158e+00	4.939691e-01	1.328232e-01	7.295023e-01	0
TCGA-EI-6881-01A-11R-A32Z-07	3.133036e-01	8.648882e-01	2.536307e-01	7.452252e-01	1.354273e+00
TCGA-EI-6882-01A-11R-1928-07	3.707036e-01	1.298786e+00	0	0	2.247223e+00
TCGA-EI-6883-01A-31R-1928-07	1.126900e+00	6.058292e-01	2.783199e-01	7.231082e-01	9.070706e-01
TCGA-EI-6884-01A-11R-1928-07	1.041768e+00	1.439191e+00	0	2.271953e-01	1.071171e+00
TCGA-EI-6885-01A-11R-1928-07	1.455368e+00	1.299915e-01	4.198391e-01	4.111489e-01	2.869924e-01
TCGA-EI-6917-01A-11R-1928-07	1.321908e+00	2.054466e-01	2.756907e-01	0	1.912027e+00
TCGA-EI-7002-01A-11R-1928-07	1.299392e+00	5.073430e-01	1.815397e-01	2.497133e-01	3.708453e-01
TCGA-EI-7004-01A-11R-1928-07	2.100677e+00	9.486427e-01	0	0	1.892155e+00
TCGA-F5-6464-01A-11R-1736-07	2.203766e+00	3.124596e-01	0	4.004398e-01	1.004377e+00
TCGA-F5-6465-01A-11R-1736-07	1.559154e+00	6.446830e-01	1.700219e-01	1.720248e-01	1.408012e-01
TCGA-F5-6571-01A-12R-1830-07	1.585636e+00	3.964622e-01	2.701843e-02	8.540207e-01	0
