pValue	topAUC	KSstat	GSname
0.0000055583	0.4531	0.6775	MIPS_UTX_MLL2_3_COMPLEX
0.0000000013	0.3976	0.8043	FINETTI_BREAST_CANCERS_KINOME_GRAY
0.0006032170	0.3974	0.5507	BIOCARTA_VDR_PATHWAY
0.0000827751	0.3889	0.5351	HISTONE_ACETYLTRANSFERASE_ACTIVITY
0.0070552454	0.3541	0.5585	CGTCTTA,MIR-208
0.0000001093	0.3332	0.6398	KANG_DOXORUBICIN_RESISTANCE_DN
0.0045404738	0.3305	0.5786	TCGA_GLIOBLASTOMA_MUTATED
0.0028229178	0.3194	0.4981	AACGGTT,MIR-451
0.0024881826	0.2963	0.3863	N_ACETYLTRANSFERASE_ACTIVITY
0.0000032366	0.2931	0.5160	REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA
0.0007130510	0.2860	0.3601	RAS_GTPASE_ACTIVATOR_ACTIVITY
0.0097124118	0.2840	0.4690	MIPS_TFTC_TYPE_HISTONE_ACETYL_TRANSFERASE_COMPLEX
0.0078523650	0.2829	0.4996	MIPS_PTIP_HMT_COMPLEX
0.0000008751	0.2808	0.5287	REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION
0.0007556335	0.2762	0.5238	BIOCARTA_CARM1_PATHWAY
0.0093951842	0.2740	0.4065	BIOCARTA_PITX2_PATHWAY
0.0001872975	0.2737	0.4634	REACTOME_SIGNALING_BY_HIPPO
0.0013071818	0.2728	0.4466	MIPS_CTBP_COMPLEX
0.0099181205	0.2719	0.4893	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE
0.0000000000	0.2719	0.4639	DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN
0.0000000072	0.2667	0.5458	BONOME_OVARIAN_CANCER_POOR_SURVIVAL_UP
0.0085569860	0.2663	0.4554	LIPID_KINASE_ACTIVITY
0.0153796603	0.2607	0.4488	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_LIGHTYELLOW_UP
0.0000000000	0.2603	0.5162	GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_UP
0.0087843400	0.2592	0.3268	N_ACYLTRANSFERASE_ACTIVITY
0.0000000075	0.2569	0.5073	BURTON_ADIPOGENESIS_12
0.0000737277	0.2552	0.4454	REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION
0.0000000653	0.2530	0.6058	NIKOLSKY_BREAST_CANCER_19Q13.1_AMPLICON
0.0003064354	0.2527	0.3986	PID_VEGFR1_PATHWAY
0.0023001992	0.2514	0.5055	REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY
0.0024598631	0.2495	0.3557	ACETYLTRANSFERASE_ACTIVITY
0.0067741657	0.2464	0.4477	MIPS_ARC92_MEDIATOR_COMPLEX
0.0000000000	0.2461	0.4754	GABRIELY_MIR21_TARGETS
0.0068458634	0.2452	0.4473	MIPS_RNA_POLYMERASE_II_COMPLEX_CHROMATIN_STRUCTURE_MODIFYING_2
0.0137959345	0.2421	0.3692	REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR
0.0006947840	0.2405	0.5682	MIPS_ING5_COMPLEX
0.0001553733	0.2401	0.4381	FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_UP
0.0000000220	0.2400	0.4377	BCAT_BILD_ET_AL_DN
0.0000000000	0.2361	0.4498	DACOSTA_UV_RESPONSE_VIA_ERCC3_XPCS_DN
0.0000293122	0.2342	0.4114	PROTEIN_AMINO_ACID_AUTOPHOSPHORYLATION
0.0030346945	0.2303	0.4208	THYROID_HORMONE_RECEPTOR_BINDING
0.0000000000	0.2302	0.4310	BILD_CTNNB1_ONCOGENIC_SIGNATURE
0.0005323462	0.2292	0.5546	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_MAGENTA_DN
0.0016091918	0.2288	0.4823	MIPS_ARC_L_COMPLEX
0.0071415792	0.2286	0.3821	BIOCARTA_SPRY_PATHWAY
0.0000570211	0.2269	0.3932	PROTEIN_AUTOPROCESSING
0.0106016053	0.2266	0.4466	REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE
0.0000000000	0.2240	0.5549	GCM_ERBB2IP
0.0002513152	0.2209	0.4794	INOSITOL_OR_PHOSPHATIDYLINOSITOL_KINASE_ACTIVITY
0.0000613964	0.2200	0.3978	SIMBULAN_UV_RESPONSE_IMMORTALIZED_DN
