sampleID	D18.13_CHAN-INTERFERON-PRODUCING-DENDRITIC-CELL	D18.18_GNF2-TTN	D13.2_MIPS-UTX-MLL2-3-COMPLEX	D18.1_GNF2-MKI67	D8.8_NIELSEN-SYNOVIAL-SARCOMA-UP	D12.4_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D15.12_NIKOLSKY-BREAST-CANCER-12Q13-Q21-AMPLICON	D15.7_MODULE-211	D18.10_REACTOME-BETA-DEFENSINS	D12.8_REACTOME-BETA-DEFENSINS
TCGA-3B-A9HI-01A-11R-A38C-07	8.986288e-02	0	1.772440e+00	2.240311e+00	2.886336e-01	4.612191e-01	0	9.517932e-01	5.409612e-01	0
TCGA-3B-A9HJ-01A-11R-A38C-07	1.003589e+00	0	1.550207e+00	2.106242e+00	6.635034e-01	4.692944e-01	1.021956e-01	4.767189e-01	1.238185e-01	2.007810e-01
TCGA-3B-A9HL-01A-11R-A38C-07	0	0	1.821688e+00	2.234871e+00	4.238854e-01	3.692504e-01	1.583763e+00	0	8.678692e-01	2.685465e-01
TCGA-3B-A9HO-01A-11R-A38C-07	5.398810e-01	0	6.101080e-01	2.325928e+00	2.909020e-02	3.054471e-01	7.873945e-01	0	1.416776e+00	1.737370e-01
TCGA-3B-A9HP-01A-11R-A38C-07	7.012834e-02	0	1.449144e+00	2.034753e+00	2.061882e-01	1.953820e+00	1.649488e-01	6.011494e-01	0	1.096645e+00
TCGA-3B-A9HQ-01A-11R-A38C-07	5.139959e-01	0	1.478398e+00	2.336143e+00	0	3.219285e+00	0	0	0	4.655521e-01
TCGA-3B-A9HR-01A-11R-A38C-07	0	0	1.856407e+00	2.630151e+00	2.415131e-02	3.336163e+00	0	0	0	4.550799e-01
TCGA-3B-A9HS-01A-11R-A39D-07	3.853802e-01	4.022301e-02	1.690491e+00	2.255311e+00	6.814618e-01	3.107009e-01	1.166065e+00	6.217428e-01	3.077965e-01	4.758505e-03
TCGA-3B-A9HT-01A-11R-A39D-07	5.042198e-01	5.464650e-01	1.915949e+00	2.488325e+00	6.860013e-02	8.930580e-02	0	5.568724e-01	0	0
TCGA-3B-A9HU-01A-11R-A39D-07	6.241745e-01	0	1.482502e+00	2.411362e+00	0	2.900040e+00	0	0	0	4.101536e-01
TCGA-3B-A9HV-01A-11R-A39D-07	0	0	1.401186e+00	2.905755e+00	4.405117e-01	1.645943e+00	3.776532e-02	0	0	2.357584e+00
TCGA-3B-A9HX-01A-11R-A39D-07	0	0	1.894258e+00	2.189430e+00	0	1.143498e+00	1.581979e-02	1.166559e+00	0	1.184002e+00
TCGA-3B-A9HY-01A-11R-A39D-07	1.256879e-01	0	2.045120e+00	2.347131e+00	3.247355e-03	2.528903e+00	1.640288e-02	4.396489e-01	2.527582e-02	3.827500e-01
TCGA-3B-A9HZ-01A-11R-A39D-07	2.431313e-01	0	1.444927e+00	1.989360e+00	0	2.892855e+00	0	2.278751e-01	3.296466e-02	8.847160e-02
TCGA-3B-A9I0-01A-11R-A39D-07	3.249966e-01	0	1.252496e+00	2.568371e+00	0	3.535006e+00	0	0	0	0
TCGA-3B-A9I1-01A-11R-A39D-07	0	0	1.656170e+00	2.301966e+00	2.709169e-02	9.998318e-01	0	0	0	2.876532e+00
TCGA-3B-A9I3-01A-11R-A39D-07	9.185731e-02	0	1.584591e+00	2.267813e+00	4.403951e-01	2.094518e+00	2.339866e-01	4.778414e-01	0	4.967759e-01
TCGA-3R-A8YX-01A-11R-A37L-07	0	0	2.021808e+00	2.492045e+00	0	6.016122e-02	4.923124e-01	3.997143e-01	9.352269e-02	0
TCGA-DX-A1KU-01A-32R-A24X-07	0	0	2.306193e+00	1.815662e+00	1.108947e-01	3.950157e-01	8.581438e-01	1.940961e+00	0	1.418496e-01
TCGA-DX-A1KW-01A-22R-A24X-07	0	0	1.890196e+00	2.218219e+00	1.055306e+00	2.055617e-01	1.645050e+00	6.386401e-02	6.223065e-01	2.111265e-01
TCGA-DX-A1KX-01A-22R-A24X-07	9.616530e-02	0	1.572138e+00	2.175958e+00	3.561272e-01	2.058980e-02	1.999517e-01	2.798313e-01	1.655513e+00	9.493647e-02
TCGA-DX-A1KY-01A-11R-A24X-07	0	0	2.541540e+00	2.133351e+00	1.349261e+00	2.599495e-01	5.218983e-01	2.330250e-01	2.174659e-01	3.683313e-01
TCGA-DX-A1KZ-01A-11R-A24X-07	2.028649e-02	0	1.493645e+00	2.087794e+00	0	1.019311e-01	7.250365e-01	9.749246e-01	7.714268e-01	4.770116e-01
TCGA-DX-A1L0-01A-11R-A24X-07	0	0	2.066571e+00	2.224322e+00	5.721701e-01	3.380519e-01	1.632975e+00	2.733030e-01	8.240491e-01	2.058251e-01
TCGA-DX-A1L1-01A-11R-A24X-07	6.372684e-01	0	1.852886e+00	2.156672e+00	0	0	0	0	1.723371e+00	5.581882e-03
TCGA-DX-A1L2-01A-22R-A24X-07	0	0	2.152153e+00	1.711569e+00	0	2.451879e-01	6.635061e-02	0	1.828631e+00	7.588892e-02
TCGA-DX-A1L3-01A-11R-A24X-07	2.395051e-01	0	1.528582e+00	2.134777e+00	0	0	8.497627e-01	2.972479e-01	1.454399e+00	7.280171e-02
TCGA-DX-A1L4-01A-12R-A26T-07	1.752082e-01	0	1.632143e+00	1.741042e+00	0	9.660983e-02	1.901352e-01	2.652765e+00	3.191173e-01	0
TCGA-DX-A23R-01A-11R-A26T-07	0	0	2.415473e+00	2.348718e+00	1.412740e+00	0	1.710475e+00	4.659885e-01	0	3.498248e-01
TCGA-DX-A23T-01A-11R-A26T-07	3.686536e-01	0	1.251114e+00	2.049763e+00	2.150901e-01	4.067526e-01	6.929812e-01	9.360356e-01	3.984419e-01	0
TCGA-DX-A23U-01A-11R-A26T-07	0	0	1.702487e+00	1.734627e+00	2.096836e-01	1.702061e-01	3.137848e-01	1.770729e+00	4.758353e-01	1.209633e-01
TCGA-DX-A23V-01A-11R-A29R-07	2.525702e-01	0	1.318079e+00	1.871099e+00	1.141647e-01	0	1.672847e+00	0	1.314929e+00	6.237987e-01
TCGA-DX-A23Y-01A-11R-A27Q-07	4.763895e-01	0	1.885218e+00	2.302767e+00	0	1.028616e-01	6.418072e-01	0	1.277647e+00	0
TCGA-DX-A23Z-01A-11R-A27Q-07	6.772205e-02	0	1.480408e+00	1.906389e+00	3.903089e-01	5.193358e-01	1.753905e+00	9.624678e-01	5.909594e-01	5.224651e-01
TCGA-DX-A240-01A-32R-A27Q-07	0	0	1.616336e+00	2.080034e+00	4.500468e-01	2.083419e-01	4.701808e-01	2.078143e+00	2.901864e-01	5.945821e-01
TCGA-DX-A2IZ-01A-11R-A21T-07	0	0	2.369478e+00	2.422956e+00	2.114894e+00	2.764888e-02	2.760665e-01	0	0	3.014786e-01
TCGA-DX-A2J0-01A-11R-A21T-07	0	0	1.844096e+00	2.083679e+00	5.584215e-01	5.297250e-01	1.257250e+00	5.866820e-01	4.727939e-01	3.056864e-01
TCGA-DX-A2J1-01A-11R-A21T-07	3.295023e-01	0	7.733164e-01	2.177440e+00	9.253352e-02	2.548419e-01	7.251095e-01	1.258303e+00	4.502040e-01	1.379934e-02
TCGA-DX-A2J4-01A-32R-A21T-07	5.525872e-01	0	1.248086e+00	1.812045e+00	5.712005e-01	7.094431e-01	8.448990e-01	1.557865e+00	0	1.759758e-01
TCGA-DX-A3LS-01A-11R-A21T-07	0	0	2.255820e+00	1.961188e+00	4.833791e-01	4.712001e-01	5.311583e-01	1.109463e+00	0	0
TCGA-DX-A3LT-01A-12R-A21T-07	2.827396e-01	0	1.252878e+00	2.450802e+00	0	1.103044e-01	2.126706e-01	1.857876e+00	3.653485e-01	7.343452e-03
TCGA-DX-A3LU-01A-11R-A21T-07	5.478919e-01	0	2.588610e-01	2.566937e+00	0	0	1.301752e+00	0	1.351635e+00	6.769064e-01
TCGA-DX-A3LW-01A-21R-A21T-07	0	0	1.563413e+00	2.292711e+00	1.171175e+00	3.673135e-01	1.531247e+00	3.914598e-01	3.434256e-01	6.131902e-02
TCGA-DX-A3LY-01B-11R-A27Q-07	6.664235e-02	0	1.375932e+00	2.120823e+00	0	1.926687e-01	6.497545e-01	1.111910e-01	1.356927e+00	2.403219e-01
TCGA-DX-A3M1-01A-11R-A22K-07	0	0	1.764371e+00	2.318746e+00	6.849268e-01	4.267324e-01	1.163014e+00	9.953002e-01	2.383161e-01	0
TCGA-DX-A3M2-01A-21R-A22K-07	4.287638e-01	0	1.135727e-01	2.520583e+00	0	0	2.108221e-01	8.105724e-01	1.279275e+00	3.819929e-01
TCGA-DX-A3U5-01A-11R-A22K-07	0	0	1.392870e+00	2.339354e+00	0	1.462451e-01	1.341026e+00	0	1.428826e+00	2.758296e-01
TCGA-DX-A3U6-01A-11R-A29R-07	7.186747e-01	0	1.359450e+00	1.853769e+00	1.325572e-01	1.650032e-01	6.807331e-01	1.202459e+00	3.945378e-01	3.831380e-01
TCGA-DX-A3U7-01A-11R-A29R-07	0	0	1.856456e+00	2.874602e+00	0	2.479998e+00	0	4.521199e-01	9.234321e-02	0
TCGA-DX-A3U8-01A-11R-A29R-07	9.446987e-02	4.148584e-01	1.797402e+00	2.312753e+00	2.085705e-02	2.710166e-01	0	6.120265e-01	0	0
TCGA-DX-A3U9-01A-11R-A30C-07	0	0	1.723533e+00	2.571306e+00	1.708534e-02	2.749166e+00	0	5.228604e-01	0	4.810235e-02
TCGA-DX-A3UA-01A-12R-A30C-07	0	0	2.150368e+00	2.307189e+00	9.495632e-01	1.850934e-01	0	1.579421e+00	0	2.316108e-01
TCGA-DX-A3UB-01A-11R-A30C-07	0	8.460341e-03	1.051052e+00	1.766832e+00	7.274099e-01	1.608479e+00	0	9.592090e-01	3.187718e-02	9.652655e-01
