pValue	topAUC	KSstat	GSname
0.0000000000	0.8976	0.9357	GNF2_SPRR1B
0.0000000001	0.8863	0.9127	CORNIFIED_ENVELOPE
0.0000000000	0.8193	0.8878	GNF2_SERPINB5
0.0000000000	0.7826	0.8481	GNF2_CDH3
0.0000000116	0.7411	0.7617	KERATINOCYTE_DIFFERENTIATION
0.0000001827	0.7245	0.8681	LIU_CDX2_TARGETS_DN
0.0000000469	0.7226	0.7732	JI_CARCINOGENESIS_BY_KRAS_AND_STK11_UP
0.0000000000	0.6824	0.7495	MODULE_68
0.0000000000	0.6824	0.7495	MODULE_298
0.0000000000	0.6719	0.8028	SINGH_KRAS_DEPENDENCY_SIGNATURE_
0.0000000000	0.6667	0.7199	HUPER_BREAST_BASAL_VS_LUMINAL_UP
0.0000000000	0.6410	0.7899	BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE
0.0000000000	0.6394	0.7522	JAEGER_METASTASIS_DN
0.0000000000	0.6207	0.6660	MODULE_357
0.0000000000	0.6202	0.7403	AIGNER_ZEB1_TARGETS
0.0000000000	0.6157	0.6173	MODULE_153
0.0000000000	0.6099	0.6535	MODULE_297
0.0000005976	0.6001	0.7517	AUJLA_IL22_AND_IL17A_SIGNALING
0.0000000000	0.5886	0.6343	MODULE_154
0.0000000000	0.5764	0.6172	EPIDERMIS_DEVELOPMENT
0.0000331671	0.5668	0.5919	OVULATION_CYCLE
0.0000000000	0.5394	0.6540	ONDER_CDH1_TARGETS_3_DN
0.0000000000	0.5374	0.5723	ECTODERM_DEVELOPMENT
0.0000000000	0.5329	0.6235	RICKMAN_HEAD_AND_NECK_CANCER_C
0.0000000000	0.5297	0.6645	RICKMAN_HEAD_AND_NECK_CANCER_E
0.0000005064	0.5224	0.7838	EPITHELIAL_CELL_DIFFERENTIATION
0.0000001793	0.5111	0.5878	ROY_WOUND_BLOOD_VESSEL_DN
0.0000000000	0.5022	0.5659	CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP
0.0000007136	0.4873	0.5322	INTERMEDIATE_FILAMENT_CYTOSKELETON
0.0000007136	0.4873	0.5322	INTERMEDIATE_FILAMENT
0.0000019098	0.4858	0.5255	HINATA_NFKB_TARGETS_KERATINOCYTE_DN
0.0000000002	0.4780	0.5437	WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_DN
0.0015584701	0.4711	0.4834	EMBRYO_IMPLANTATION
0.0002953378	0.4692	0.4753	HUMMERICH_BENIGN_SKIN_TUMOR_UP
0.0067842745	0.4588	0.4840	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS
0.0146302642	0.4546	0.4715	PYEON_HPV_POSITIVE_TUMORS_DN
0.0000000000	0.4480	0.5450	RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_DN
0.0046536641	0.4389	0.4461	INAMURA_LUNG_CANCER_SCC_UP
0.0000567108	0.4331	0.5295	AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
0.0003972956	0.4249	0.5864	MODULE_211
0.0000662585	0.4154	0.5258	LOPEZ_EPITHELIOID_MESOTHELIOMA
0.0036756274	0.3955	0.4147	MURAKAMI_UV_RESPONSE_1HR_UP
0.0000000000	0.3905	0.4394	LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT
0.0000650697	0.3879	0.5410	KANG_FLUOROURACIL_RESISTANCE_DN
0.0000000001	0.3873	0.4769	CROMER_TUMORIGENESIS_DN
0.0004995145	0.3852	0.3950	WANG_BARRETTS_ESOPHAGUS_DN
0.0003306291	0.3850	0.5307	TISSUE_MORPHOGENESIS
0.0000000224	0.3590	0.4285	DOANE_BREAST_CANCER_ESR1_DN
0.0002296761	0.3534	0.5088	MORPHOGENESIS_OF_AN_EPITHELIUM
0.0000000000	0.3531	0.4113	ONDER_CDH1_TARGETS_2_DN
