sampleID	D6.6_GNF2-SPRR1B	D8.5_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D8.2_MODULE-103	D7.2_RUNNE-GENDER-EFFECT-UP	D6.2_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON
TCGA-3N-A9WB-06A-11R-A38C-07	6.690811e-01	1.294707e-02	2.871110e+00	3.342708e+00	1.342692e-01
TCGA-3N-A9WC-06A-11R-A38C-07	0	2.187645e+00	1.006463e+00	2.555924e+00	1.195996e+00
TCGA-3N-A9WD-06A-11R-A38C-07	5.589270e-01	1.791421e+00	1.150071e+00	1.795450e+00	1.987839e+00
TCGA-BF-A1PU-01A-11R-A18S-07	6.928368e-01	2.730378e-01	2.584401e+00	1.608824e+00	1.599203e+00
TCGA-BF-A1PV-01A-11R-A18U-07	4.386946e-01	2.176450e-01	1.824690e+00	2.992092e+00	7.814338e-01
TCGA-BF-A1PX-01A-12R-A18T-07	1.305406e+00	1.704355e+00	1.740791e+00	1.785521e+00	1.452863e+00
TCGA-BF-A1PZ-01A-11R-A18S-07	3.616375e-01	6.791083e-01	3.139727e+00	2.555259e+00	2.975535e-01
TCGA-BF-A1Q0-01A-21R-A18S-07	4.166889e-01	9.442313e-01	1.407872e+00	3.524995e+00	2.235204e+00
TCGA-BF-A3DJ-01A-11R-A20F-07	1.088423e+00	1.040185e+00	8.736105e-01	2.535416e+00	2.361490e+00
TCGA-BF-A3DL-01A-11R-A20F-07	2.010357e-01	3.973030e-01	4.817628e+00	2.268670e+00	7.887484e-01
TCGA-BF-A3DM-01A-11R-A20F-07	1.492921e-01	5.142656e-01	1.392184e+00	1.913849e+00	3.476632e+00
TCGA-BF-A3DN-01A-11R-A20F-07	4.159590e-01	8.513934e-01	5.434912e-01	1.669490e+00	3.517879e+00
TCGA-BF-A5EO-01A-12R-A27Q-07	1.037659e+00	8.105680e-01	3.464140e+00	1.474221e+00	1.294773e+00
TCGA-BF-A5EP-01A-12R-A27Q-07	1.686915e-01	1.404864e-01	3.150357e+00	2.671065e+00	2.294368e+00
TCGA-BF-A5EQ-01A-21R-A27Q-07	3.676393e-01	1.538846e+00	2.150175e+00	2.637124e+00	6.642689e-01
TCGA-BF-A5ER-01A-12R-A27Q-07	6.593168e-01	9.887859e-02	4.230656e+00	1.977222e+00	0
TCGA-BF-A5ES-01A-11R-A27Q-07	3.647532e-02	1.137941e+00	4.172440e+00	2.907440e+00	0
TCGA-BF-A9VF-01A-11R-A37K-07	1.009755e+00	0	3.780047e+00	2.455636e+00	0
TCGA-BF-AAOU-01A-12R-A39D-07	7.867208e-01	1.087240e+00	1.673600e+00	2.146902e+00	2.289383e+00
TCGA-BF-AAOX-01A-11R-A39D-07	1.020606e+00	3.012209e-01	2.973681e+00	2.613430e+00	0
TCGA-BF-AAP0-06A-11R-A39D-07	9.778931e-02	2.269575e+00	2.280347e+00	1.750346e+00	1.704984e+00
TCGA-BF-AAP1-01A-11R-A39D-07	5.197382e-01	4.495007e-01	1.303833e+00	1.643145e+00	2.358938e+00
TCGA-BF-AAP2-01A-11R-A40A-07	9.609648e-01	1.091835e+00	1.400192e+00	1.995427e+00	4.195159e-01
TCGA-BF-AAP4-01A-11R-A40A-07	1.869602e-01	1.416859e+00	3.133120e+00	2.934043e+00	9.219254e-02
TCGA-BF-AAP6-01A-11R-A40A-07	2.986407e-01	4.522756e-01	2.475160e+00	2.792722e+00	1.418505e+00
TCGA-BF-AAP7-01A-11R-A40A-07	1.036502e+00	1.682031e+00	1.962381e+00	9.919632e-01	1.524781e+00
