pValue	topAUC	KSstat	GSname
0.0000000000	0.9003	0.9789	REACTOME_TRANSLOCATION_OF_ZAP_70_TO_IMMUNOLOGICAL_SYNAPSE
0.0000000119	0.8827	0.9635	BIOCARTA_TCAPOPTOSIS_PATHWAY
0.0000000005	0.8767	0.9498	BIOCARTA_TCRA_PATHWAY
0.0000000000	0.8637	0.9682	CHAN_INTERFERON_PRODUCING_DENDRITIC_CELL
0.0000000000	0.8492	0.9509	REACTOME_PD1_SIGNALING
0.0000000000	0.8438	0.9471	REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS
0.0000000036	0.8205	0.8706	BIOCARTA_TCYTOTOXIC_PATHWAY
0.0000000004	0.8191	0.9539	BIOCARTA_BLYMPHOCYTE_PATHWAY
0.0000000036	0.8071	0.8706	BIOCARTA_THELPER_PATHWAY
0.0000000000	0.7764	0.8880	BIOCARTA_NO2IL12_PATHWAY
0.0000000001	0.7602	0.9198	BIOCARTA_CTL_PATHWAY
0.0000000000	0.7395	0.8742	FINETTI_BREAST_CANCER_KINOME_GREEN
0.0000000062	0.6904	0.8590	BIOCARTA_ASBCELL_PATHWAY
0.0000000000	0.6837	0.7416	REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES
0.0000000000	0.6776	0.8469	KEGG_ALLOGRAFT_REJECTION
0.0000000000	0.6761	0.7485	GNF2_ZAP70
0.0000000000	0.6684	0.7566	GNF2_CD7
0.0000000009	0.6667	0.8370	WATANABE_ULCERATIVE_COLITIS_WITH_CANCER_DN
0.0000001562	0.6596	0.7778	IMMUNOLOGICAL_SYNAPSE
0.0000000000	0.6529	0.8246	KEGG_GRAFT_VERSUS_HOST_DISEASE
0.0000000000	0.6483	0.7424	FARMER_BREAST_CANCER_CLUSTER_1
0.0000000012	0.6454	0.7209	BIOCARTA_CTLA4_PATHWAY
0.0000000000	0.6337	0.6922	KEGG_PRIMARY_IMMUNODEFICIENCY
0.0000000012	0.6297	0.7041	SU_THYMUS
0.0000000004	0.6097	0.7042	KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS_AND_CYCLIC_RGD
0.0000000002	0.5994	0.6716	GNF2_MATK
0.0002054948	0.5911	0.6971	ROETH_TERT_TARGETS_DN
0.0000000000	0.5798	0.7453	GNF2_CD48
0.0000002384	0.5762	0.6591	HAHTOLA_CTCL_PATHOGENESIS
0.0000000059	0.5762	0.6611	BIOCARTA_IL12_PATHWAY
0.0000000092	0.5687	0.6854	BIOCARTA_TH1TH2_PATHWAY
0.0000000000	0.5677	0.6488	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION
0.0000000975	0.5654	0.8289	MODULE_293
0.0000000000	0.5631	0.6515	VILIMAS_NOTCH1_TARGETS_UP
0.0000000000	0.5593	0.7004	GNF2_CASP8
0.0000001032	0.5538	0.7659	MODULE_143
0.0000000000	0.5511	0.6538	WINTER_HYPOXIA_DN
0.0000000000	0.5499	0.6644	KEGG_TYPE_I_DIABETES_MELLITUS
0.0000000000	0.5486	0.6143	GNF2_PTPN4
0.0000000000	0.5453	0.6859	WILENSKY_RESPONSE_TO_DARAPLADIB
0.0000000000	0.5450	0.6463	GNF2_VAV1
0.0000000000	0.5436	0.6235	GNF2_RAB7L1
0.0000000000	0.5408	0.6589	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL
0.0000000000	0.5358	0.6203	GNF2_IL2RB
0.0000000005	0.5338	0.7187	NIELSEN_SYNOVIAL_SARCOMA_DN
0.0010194010	0.5274	0.6078	MILICIC_FAMILIAL_ADENOMATOUS_POLYPOSIS_DN
0.0000000000	0.5268	0.6982	GNF2_ATM
0.0000004827	0.5265	0.6135	MARSON_FOXP3_CORE_DIRECT_TARGETS
0.0000000000	0.5244	0.5980	KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS
0.0000000000	0.5218	0.6674	GNF2_SNRK
