sampleID	D12.10_GNF2-SPRR1B	D6.2_NIELSEN-LEIOMYOSARCOMA-CNN1-UP	D17.11_REACTOME-TRANSLOCATION-OF-ZAP-70-TO-IMMUNOLOGICAL-SYNAPSE	D19.8_FARMER-BREAST-CANCER-CLUSTER-5	D9.7_REACTOME-CYTOSOLIC-SULFONATION-OF-SMALL-MOLECULES	D18.18_REACTOME-DOPAMINE-NEUROTRANSMITTER-RELEASE-CYCLE	D17.8_WEBER-METHYLATED-ICP-IN-SPERM-DN	D18.17_GNF2-SPINK1	D19.16_CHROMOSOME-CONDENSATION	D18.12_MARTINELLI-IMMATURE-NEUTROPHIL-DN	D17.6_chr11q11
TCGA-3M-AB46-01A-11R-A414-31	2.922326e-03	1.036273e+00	0	4.806227e-01	5.689078e-01	0	5.191198e-01	0	1.134588e-01	2.546819e-01	4.184832e-01
TCGA-3M-AB47-01A-22R-A414-31	0	2.679976e+00	4.216910e-01	4.896247e-01	1.018760e+00	1.862417e-02	0	5.369784e-02	0	2.551388e-01	3.815354e-01
TCGA-B7-5816-01A-21R-1602-13	3.144736e-02	1.563176e+00	3.714585e-01	7.496470e-01	0	0	0	0	0	5.646914e-01	8.267178e-01
TCGA-B7-5818-01A-11R-1602-13	3.797213e-02	6.445809e-01	2.569956e-01	4.713156e-01	0	0	0	0	0	0	1.464944e+00
TCGA-B7-A5TI-01A-11R-A31P-31	0	1.649957e+00	1.640695e-01	6.459872e-01	4.558694e-01	8.519308e-03	3.160417e-01	0	0	0	1.317974e+00
TCGA-B7-A5TJ-01A-11R-A31P-31	0	1.273774e+00	0	3.929283e-01	7.348439e-01	1.116549e-03	0	2.382701e-02	5.738691e-01	0	2.977250e-01
TCGA-B7-A5TK-01A-12R-A36D-31	2.395912e-01	2.182999e+00	4.932814e-01	4.567719e-01	0	0	0	0	0	5.298168e-02	7.422084e-01
TCGA-B7-A5TN-01A-21R-A31P-31	4.691056e-02	1.619066e+00	6.029114e-02	7.602297e-01	0	0	2.488090e-01	0	1.080790e-01	0	9.609169e-01
TCGA-BR-4187-01A-01R-1131-13	0	3.610155e+00	3.638330e-01	4.718198e-01	1.119521e+00	0	0	0	1.215819e-01	4.453073e-01	3.365412e-01
TCGA-BR-4191-01A-02R-1131-13	0	1.726605e+00	2.903720e-01	4.152990e-01	2.752587e-01	0	1.191945e-01	2.755459e-01	2.446538e-01	6.369666e-01	1.143830e+00
TCGA-BR-4201-01A-01R-1131-13	2.879917e-01	2.180266e+00	1.820645e-01	6.721757e-01	5.026481e-02	0	3.241084e-02	1.531737e-01	2.536621e-01	2.688039e-01	2.203874e-01
TCGA-BR-4253-01A-01R-1131-13	0	9.148488e-01	5.531495e-01	1.371023e-01	2.161244e-01	0	0	0	0	3.774747e-01	1.212643e+00
TCGA-BR-4255-01A-01R-1131-13	0	2.963031e+00	3.121059e-01	5.844384e-01	0	4.962749e-02	2.306714e-01	3.102907e-02	2.021717e-01	0	7.273602e-01
TCGA-BR-4256-01A-01R-1131-13	3.512283e-02	2.723294e+00	4.693164e-01	6.253825e-01	0	0	0	0	5.494749e-03	7.710739e-02	4.562762e-01
TCGA-BR-4257-01A-01R-1131-13	1.776758e-02	1.196966e+00	9.915917e-02	6.523492e-01	1.116105e-01	0	0	2.764080e-02	9.805142e-02	4.636982e-01	0
TCGA-BR-4267-01A-01R-1131-13	0	9.321984e-01	6.227561e-02	4.294982e-01	0	0	0	1.825574e-01	3.711775e-01	3.259216e-01	7.829789e-01
TCGA-BR-4279-01A-01R-1131-13	0	2.924128e+00	1.758278e-02	5.467321e-01	4.218514e-01	2.192550e-03	0	1.935715e-01	0	9.107534e-01	2.054124e-01
