pValue	topAUC	KSstat	GSname
0.0000000050	0.6781	0.8635	WEBER_METHYLATED_LCP_IN_FIBROBLAST_UP
0.0000000008	0.6663	0.8135	WEBER_METHYLATED_LCP_IN_SPERM_UP
0.0002067318	0.5638	0.6969	WEBER_METHYLATED_ICP_IN_SPERM_UP
0.0027895254	0.4460	0.5422	WEBER_METHYLATED_LCP_IN_FIBROBLAST_DN
0.0000169258	0.4294	0.4948	WEBER_METHYLATED_ICP_IN_FIBROBLAST
0.0000000000	0.4092	0.4659	GNF2_CCNA1
0.0094163783	0.4028	0.4349	BIOCARTA_CLASSIC_PATHWAY
0.0153919516	0.3991	0.4487	SPERM_MOTILITY
0.0000000000	0.3972	0.4414	GNF2_MLF1
0.0001976162	0.3968	0.4419	MODULE_130
0.0003745395	0.3886	0.4464	MODULE_58
0.0000001972	0.3716	0.4972	BOQUEST_STEM_CELL_CULTURED_VS_FRESH_DN
0.0015321839	0.3715	0.5009	LU_TUMOR_VASCULATURE_DN
0.0000002316	0.3675	0.5196	WEBER_METHYLATED_HCP_IN_SPERM_DN
0.0035312297	0.3526	0.4559	WEBER_METHYLATED_ICP_IN_SPERM_DN
0.0064274160	0.3457	0.3667	WANG_THOC1_TARGETS_DN
0.0100079351	0.3412	0.4324	REACTOME_REGULATION_OF_COMPLEMENT_CASCADE
0.0000003047	0.3304	0.4234	WEBER_METHYLATED_HCP_IN_FIBROBLAST_DN
0.0174726637	0.3253	0.3507	BIOCARTA_COMP_PATHWAY
0.0152249191	0.2964	0.4312	MODULE_190
0.0022511466	0.2785	0.4187	NIELSEN_LIPOSARCOMA_UP
0.0067848533	0.2708	0.2712	SMID_BREAST_CANCER_RELAPSE_IN_LUNG_DN
0.0061653260	0.2645	0.3078	REACTOME_COMPLEMENT_CASCADE
0.0034383797	0.2603	0.4168	BIOCARTA_LAIR_PATHWAY
0.0000025495	0.2574	0.2801	SMID_BREAST_CANCER_LUMINAL_A_UP
0.0076792712	0.2542	0.3610	WEBER_METHYLATED_HCP_IN_SPERM_UP
0.0168143755	0.2480	0.2554	COLIN_PILOCYTIC_ASTROCYTOMA_VS_GLIOBLASTOMA_UP
0.0000525657	0.2442	0.2531	NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN
0.0018668750	0.2373	0.4775	REACTOME_COMMON_PATHWAY
0.0002591345	0.2348	0.2527	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
0.0070763169	0.2217	0.3929	RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP
0.0000000000	0.2143	0.2161	BOQUEST_STEM_CELL_UP
0.0009133252	0.2017	0.2190	MIKKELSEN_IPS_HCP_WITH_H3_UNMETHYLATED
0.0149448381	0.1974	0.2661	MODULE_131
0.0155300617	0.1957	0.2047	REGULATION_OF_BODY_FLUID_LEVELS
0.0000020625	0.1909	0.2214	SEXUAL_REPRODUCTION
0.0045398299	0.1905	0.3158	REACTOME_STEROID_HORMONES
0.0172891014	0.1902	0.4099	BIOCARTA_EXTRINSIC_PATHWAY
0.0112647969	0.1810	0.2623	MEISSNER_BRAIN_HCP_WITH_H3_UNMETHYLATED
0.0053383527	0.1752	0.1876	WONG_ENDMETRIUM_CANCER_DN
0.0021748643	0.1750	0.3051	REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D
0.0025281219	0.1741	0.1692	MATZUK_SPERMATOZOA
0.0000221909	0.1729	0.6017	BIOCARTA_GRANULOCYTES_PATHWAY
0.0003251299	0.1719	0.1944	GAMETE_GENERATION
0.0078118034	0.1694	0.3014	PEDERSEN_METASTASIS_BY_ERBB2_ISOFORM_6
0.0006255714	0.1680	0.4333	NIELSEN_GIST_AND_SYNOVIAL_SARCOMA_DN
0.0055180819	0.1677	0.4131	MODULE_401
0.0020447102	0.1639	0.2945	MODULE_109
0.0165710342	0.1627	0.2757	GILDEA_METASTASIS
0.0000000000	0.1602	0.6176	chr11q11
