sampleID	D15.10_VALK-AML-CLUSTER-5	D14.4_KORKOLA-EMBRYONAL-CARCINOMA	D14.11_WEBER-METHYLATED-LCP-IN-FIBROBLAST-UP	D8.7_KORKOLA-YOLK-SAC-TUMOR	D16.16_CORNIFIED-ENVELOPE	D9.1_GNF2-GLTSCR2	D15.2_MIPS-UTX-MLL2-3-COMPLEX	D15.8_FU-INTERACT-WITH-ALKBH8	D8.3_NIKOLSKY-BREAST-CANCER-7P15-AMPLICON	D15.12_SUGAR-TRANSMEMBRANE-TRANSPORTER-ACTIVITY	D10.4_IONOTROPIC-GLUTAMATE-RECEPTOR-ACTIVITY	D18.6_MOSERLE-IFNA-RESPONSE
TCGA-2G-AAEW-01A-11R-A430-07	7.912605e-01	0	1.446543e-01	0	0	1.929696e+00	2.540892e+00	1.395774e+00	2.276808e-01	0	6.455322e-01	9.276502e-01
TCGA-2G-AAEX-01A-11R-A430-07	2.289771e-01	5.271498e-01	4.398389e-01	9.691407e-02	0	4.052395e+00	2.300421e+00	0	2.110840e-01	0	7.591807e-01	1.397620e+00
TCGA-2G-AAF1-01A-11R-A430-07	6.051131e-01	0	1.925917e-01	0	0	2.078300e+00	2.565582e+00	1.361163e+00	1.741943e-01	0	6.314216e-01	1.192677e+00
TCGA-2G-AAF4-01A-11R-A430-07	4.098694e-01	0	2.738790e-01	0	0	4.329076e+00	2.583292e+00	6.443261e-02	0	0	5.889019e-01	1.389013e+00
TCGA-2G-AAF6-01A-11R-A430-07	9.864404e-01	1.541973e-01	1.829514e-01	1.114389e-01	0	3.913415e+00	2.442445e+00	1.451485e-01	0	0	3.231891e-01	1.683251e-01
TCGA-2G-AAF8-01A-11R-A430-07	4.928572e-01	5.833076e-01	3.820080e-01	1.920203e-01	0	3.344262e+00	2.346431e+00	0	4.919049e-01	0	1.105330e+00	9.163029e-01
TCGA-2G-AAFE-01A-11R-A430-07	8.211514e-01	0	5.004114e-01	4.139161e-02	0	2.846758e+00	2.260610e+00	1.081099e+00	0	0	2.008463e-01	2.900516e-01
TCGA-2G-AAFG-05A-11R-A430-07	9.080728e-01	4.140022e-01	5.441736e-01	0	0	3.245547e+00	2.217720e+00	0	6.697449e-02	0	5.173424e-01	7.278859e-01
TCGA-2G-AAFG-01A-11R-A430-07	9.881726e-01	4.379877e-01	3.350695e-01	0	0	3.600922e+00	2.428617e+00	0	0	0	3.594296e-01	4.109861e-01
TCGA-2G-AAFH-01A-12R-A430-07	7.167738e-01	3.180656e-01	1.998179e-01	1.621557e-01	0	4.016481e+00	2.465827e+00	0	2.634153e-01	0	8.921819e-01	7.689943e-01
TCGA-2G-AAFI-01A-21R-A430-07	2.631268e-01	1.730059e+00	0	1.368524e+00	0	1.441173e-01	2.331483e+00	0	1.376677e+00	0	1.110748e+00	6.561102e-01
TCGA-2G-AAFJ-01A-11R-A430-07	5.288284e-02	0	0	1.501648e+00	2.439713e-01	2.568108e-01	2.351617e+00	0	5.172860e+00	4.353257e-01	3.162970e+00	0
TCGA-2G-AAFL-01A-21R-A430-07	5.266330e-01	1.446854e+00	1.241900e+00	3.349094e-01	0	1.149086e+00	1.743834e+00	0	4.280152e-01	0	6.213908e-01	5.844016e-01
TCGA-2G-AAFM-01A-11R-A430-07	5.853063e-01	1.885390e+00	8.381580e-01	2.008203e-01	0	1.112830e+00	1.424095e+00	0	5.653471e-01	0	7.802998e-01	7.980875e-01
TCGA-2G-AAFN-01A-31R-A430-07	3.468020e-01	2.127840e+00	2.937835e-01	9.434620e-01	0	5.955098e-01	1.637740e+00	0	1.098792e+00	0	1.177206e+00	6.695924e-01
TCGA-2G-AAFO-01A-31R-A430-07	4.561092e-01	1.464179e+00	1.208103e+00	3.179638e-01	3.436519e-02	1.139831e+00	1.703762e+00	0	4.234466e-01	0	6.888959e-01	7.792520e-01
TCGA-2G-AAFV-01A-11R-A430-07	4.757227e-01	0	5.103475e-01	3.418401e+00	0	8.444490e-01	2.261315e+00	0	1.377960e+00	5.816515e-02	1.288451e+00	2.397645e-01
TCGA-2G-AAFY-01A-11R-A430-07	6.500065e-01	1.719686e+00	4.148337e-01	1.222072e-01	0	4.564349e-01	2.242704e+00	0	1.038147e+00	0	1.291232e+00	7.096224e-01
TCGA-2G-AAFZ-01A-11R-A430-07	2.358336e-01	5.504505e-01	0	2.134399e+00	8.322698e-03	1.217845e-01	2.223341e+00	0	3.359727e+00	5.073691e-01	2.283995e+00	0
TCGA-2G-AAG0-01A-11R-A430-07	5.438945e-01	2.009864e+00	2.742965e-01	3.932589e-01	0	3.137102e-01	2.306700e+00	0	8.826159e-01	0	1.319982e+00	6.275122e-01
TCGA-2G-AAG3-01A-11R-A430-07	4.079519e-01	2.240216e-02	3.289492e-01	8.618183e-02	3.270536e-01	1.154024e+00	2.348333e+00	4.735665e-01	2.769162e+00	0	2.184470e+00	5.264027e-01
TCGA-2G-AAG5-01A-11R-A430-07	3.662848e-01	0	1.193862e-01	9.934785e-01	1.587117e-01	1.538488e-01	2.108292e+00	0	4.964648e+00	8.119907e-01	2.340488e+00	0
TCGA-2G-AAG6-01A-11R-A430-07	2.602778e-01	0	1.055172e-01	7.879622e-01	4.835160e-01	2.082189e-01	2.316932e+00	0	4.923146e+00	3.911683e-01	2.615335e+00	0
TCGA-2G-AAG7-01A-11R-A430-07	3.199055e-01	1.972860e+00	0	6.078794e-01	0	1.959873e-01	2.392874e+00	0	2.208986e+00	0	2.295344e+00	0
TCGA-2G-AAG8-01A-31R-A430-07	4.987537e-01	1.741765e+00	1.032920e+00	3.337766e-01	0	1.157676e+00	2.026375e+00	0	1.876981e-01	0	5.082343e-01	4.591457e-01
TCGA-2G-AAG9-01A-11R-A430-07	1.036594e+00	6.772247e-02	2.051724e-01	2.499002e-01	0	2.735108e+00	2.343051e+00	7.813579e-01	2.297439e-01	0	5.778978e-01	4.068068e-01
TCGA-2G-AAGA-01A-11R-A430-07	3.302061e-01	1.950594e+00	8.996457e-01	2.624580e-01	0	7.594399e-01	2.188047e+00	0	6.593863e-01	0	9.665766e-01	0
TCGA-2G-AAGC-01A-21R-A430-07	2.909537e-01	1.616814e+00	0	9.122286e-01	0	8.384618e-02	2.388793e+00	0	1.954860e+00	0	1.718649e+00	6.807960e-01
TCGA-2G-AAGE-01A-21R-A430-07	3.025640e-01	1.921114e+00	1.519500e-01	6.503800e-01	0	2.732358e-01	2.393635e+00	0	1.530312e+00	0	1.579975e+00	4.561895e-01
TCGA-2G-AAGF-01A-31R-A430-07	2.785535e-01	1.808295e+00	2.984155e-01	8.316157e-01	1.546226e-02	5.556071e-02	1.809532e+00	0	2.063339e+00	0	1.752002e+00	3.111528e-01
TCGA-2G-AAGG-01A-11R-A430-07	4.295782e-01	5.130332e-01	1.472383e-01	1.784485e+00	0	2.005013e-01	1.828157e+00	0	3.152400e+00	1.028601e+00	1.536007e+00	3.904949e-01
TCGA-2G-AAGI-05A-11R-A430-07	3.303671e-01	0	5.763498e-01	0	0	3.448531e+00	2.422172e+00	5.319348e-01	3.697947e-02	0	6.399603e-01	1.369915e+00
TCGA-2G-AAGI-01A-11R-A430-07	3.106536e-01	8.920099e-01	0	1.411983e+00	0	0	2.205230e+00	0	3.048864e+00	5.113796e-01	1.986020e+00	4.159261e-01
TCGA-2G-AAGJ-01A-11R-A430-07	6.863178e-01	1.878362e+00	1.850433e-01	6.444517e-01	0	7.865277e-01	2.400890e+00	0	7.129515e-01	0	1.018055e+00	4.120202e-01
TCGA-2G-AAGK-01A-11R-A430-07	4.942122e-01	1.599639e+00	0	1.800192e+00	0	3.657021e-01	2.263345e+00	0	8.685162e-01	1.322583e-01	7.286260e-01	7.387279e-01
