pValue	topAUC	KSstat	GSname
0.0000003194	0.6095	0.6189	FARMER_BREAST_CANCER_CLUSTER_5
0.0000000000	0.5769	0.5852	ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE
0.0000000481	0.5655	0.5750	GNF2_CDH11
0.0016981964	0.5281	0.5373	MODULE_211
0.0001153685	0.5047	0.5122	THUM_MIR21_TARGETS_HEART_DISEASE_UP
0.0000000821	0.4751	0.4750	GNF2_PTX3
0.0000021764	0.4209	0.4241	CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_DN
0.0008469909	0.4082	0.4156	MODULE_562
0.0000000000	0.3988	0.7178	chr11q11
0.0000000002	0.3953	0.6374	chryp11
0.0057526759	0.3861	0.4000	KANG_AR_TARGETS_UP
0.0016823380	0.3846	0.3803	COLLAGEN
0.0019650524	0.3842	0.3843	LU_TUMOR_ENDOTHELIAL_MARKERS_UP
0.0000000000	0.3693	0.6605	REACTOME_BETA_DEFENSINS
0.0000915495	0.3660	0.4097	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX
0.0000001053	0.3648	0.3483	TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP
0.0000000048	0.3411	0.3354	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION
0.0030438661	0.3350	0.3315	MODULE_210
0.0000001720	0.3309	0.3269	TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN
0.0000089296	0.3291	0.3198	REACTOME_COLLAGEN_FORMATION
0.0000000000	0.3191	0.5983	REACTOME_DEFENSINS
0.0021688135	0.3166	0.3187	GNF2_MMP1
0.0000000000	0.3143	0.7488	REACTOME_OLFACTORY_SIGNALING_PATHWAY
0.0000144704	0.3130	0.3012	CROMER_TUMORIGENESIS_UP
0.0008027919	0.3116	0.3098	REACTOME_NCAM1_INTERACTIONS
0.0025799463	0.3069	0.3100	ROZANOV_MMP14_TARGETS_SUBSET
0.0000000000	0.2932	0.6929	KEGG_OLFACTORY_TRANSDUCTION
0.0138106717	0.2915	0.2856	LU_TUMOR_VASCULATURE_UP
0.0016941549	0.2768	0.2720	PID_SYNDECAN_1_PATHWAY
0.0000000013	0.2755	0.4757	chryq11
0.0006358154	0.2750	0.2813	ROY_WOUND_BLOOD_VESSEL_UP
0.0003094718	0.2619	0.2538	PID_INTEGRIN1_PATHWAY
0.0144880524	0.2596	0.2594	WESTON_VEGFA_TARGETS_12HR
0.0019571177	0.2509	0.2490	MODULE_234
0.0108723487	0.2441	0.2387	TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_UP
0.0001216175	0.2438	0.2386	KEGG_ECM_RECEPTOR_INTERACTION
0.0013019943	0.2310	0.4892	EMBRYO_IMPLANTATION
0.0000002398	0.2248	0.2128	VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP
0.0093613988	0.2217	0.4351	VERRECCHIA_RESPONSE_TO_TGFB1_C4
0.0046876957	0.2119	0.2267	CROONQUIST_STROMAL_STIMULATION_UP
0.0000001713	0.2018	0.1892	MODULE_47
0.0050185882	0.2005	0.1920	YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16
0.0035042450	0.1941	0.1787	PROTEINACEOUS_EXTRACELLULAR_MATRIX
0.0003464132	0.1924	0.3008	RICKMAN_HEAD_AND_NECK_CANCER_B
0.0037883271	0.1921	0.1767	EXTRACELLULAR_MATRIX
0.0000000403	0.1900	0.2319	chr14q32
0.0047390024	0.1882	0.4454	BIOCARTA_PLATELETAPP_PATHWAY
0.0001739756	0.1862	0.1804	MODULE_122
0.0005709214	0.1774	0.6286	MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_25
0.0102675479	0.1772	0.1690	ZHU_CMV_24_HR_DN
